科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"112,573,789.00","112,879,543.93","50,996,934.86","39,628,947.60","30,777,614.61","25,028,380.10","17,848,232.60","14,329,687.50","30,346,111.82","31,296,430.14","20,665,013.84","28,932,073.06","62,790,665.10","14,450,751.31","36,538,694.25","55,169,109.93","77,619,828.30","73,482,262.94","53,579,963.82","44,744,312.75","79,987,793.71","39,257,334.74","50,905,901.94","58,827,362.54","103,884,907.93","70,406,887.70","57,624,236.53","82,337,513.19","84,029,120.55","94,783,316.30","23,998,476.43","40,238,572.77","562,509.88","4,931,617.68","4,828,885.26","2,995,475.17","3,441,809.46","58,377,637.24","101,176,423.31","50,455,548.59","17,516,203.49","30,194,500.51","67,061,163.19","134,087,000.73","93,812,617.47","97,097,313.32","99,497,481.84","110,742,026.29","106,948,829.21"
短期借款,"522,500,000.00","507,500,000.00","449,000,000.00","390,000,000.00","335,000,000.00","360,918,940.00","324,000,000.00","218,000,000.00","218,000,000.00","209,500,000.00","189,000,000.00","186,000,000.00","186,000,000.00","184,500,000.00","181,000,000.00","170,000,000.00","170,000,000.00","156,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","55,000,000.00","55,000,000.00","74,207,983.07","55,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,659,917.81","39,305,271.92","90,154,109.59","50,149,589.05",,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"50,000.00",,,"400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,"9,000,000.00","9,000,000.00",,,"40,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"40,350,533.38","71,045,561.42","80,248,789.56","68,486,126.28","74,634,837.17","65,527,132.93","90,525,310.44","156,120,367.87","89,157,799.90","30,108,865.48","40,302,715.15","76,771,941.20","38,498,302.04","58,208,633.85","50,692,882.69","58,877,937.67","47,391,036.32","63,146,231.43","71,842,673.55","84,687,766.14","70,548,073.37","75,447,727.41","100,209,441.91","74,201,022.55","62,014,782.17","61,449,239.44","60,395,776.00","56,281,073.63","118,779,511.22","142,539,131.82","189,217,955.28","213,559,228.47","177,198,546.28","164,389,674.62","153,762,733.18","112,137,977.55","200,824,581.85","154,186,496.43","160,656,601.96","111,510,653.63","135,213,007.19","122,749,520.45","135,713,382.64","109,646,226.71","111,021,856.70","118,323,311.45","119,927,461.86","28,545,901.32","35,031,248.18"
应付账款,"68,928,616.20","51,592,232.56","56,453,107.83","148,944,090.43","113,412,875.23","93,348,300.42","67,365,216.63","123,282,453.59","120,335,719.29","35,920,382.27","26,631,671.93","43,430,603.71","99,632,219.12","46,323,826.83","29,552,684.71","39,048,912.69","38,557,699.95","55,328,183.07","61,112,160.35","70,855,129.94","67,821,581.37","49,632,244.04","83,334,264.63","60,891,531.90","68,406,206.19","71,376,944.45","86,904,712.67","76,254,196.27","64,915,127.18","138,979,181.30","116,103,115.47","156,863,957.03","67,115,357.41","57,001,472.24","16,876,693.89","42,577,141.76","19,892,662.25","29,562,178.38","29,683,676.44","27,340,610.98","35,528,341.77","16,522,908.89","16,428,653.93","13,718,885.08","14,369,580.30","14,452,646.80",,"11,682,363.43",
预付款项,"45,275,719.66","46,066,188.05","182,794.29","11,098,027.24","2,761,282.45","831,687.95","16,533,761.65","4,270,573.64","13,100,365.02","8,579,424.74","8,930,752.64","19,471,400.00","24,838,662.21","23,281,308.94","9,095,329.83","9,730,793.49","9,602,500.00","9,180,000.00","9,242,628.62","13,949,327.10","9,458,261.05","9,509,818.26","10,614,524.90","5,833,676.16","12,117,670.89","17,440,286.70","15,180,126.30","12,391,569.77","5,815,451.64","22,362,571.38","12,620,195.20","5,895,284.50","6,468,667.78","22,234,155.25","16,542,336.65","2,585,967.02","4,413,957.22","2,944,098.32","2,910,464.52","1,468,437.63","2,047,451.99","1,298,042.43","1,344,408.10","97,856.90","30,545,436.90","2,502,495.10","2,595,060.69","1,864,435.34","2,937,045.32"
预收款项,"10,313,344.77","34,152,044.74",,"3,917,850.89",,,,"2,513,784.97","4,500,000.00","4,566,453.25","4,745,876.48","2,738,251.63","430,577.14","5,808,113.53","450,998.91","3,269,774.72","266,208.25","3,891,862.17","1,815,390.67","7,045,721.32","603,464.36","6,180,846.32","455,824.68","7,041,966.92","6,120,895.55","6,577,676.62","3,403,982.15","3,386,717.98","2,143,859.43","4,140,220.43","767,196.09","5,657,594.51","5,866,174.64","4,813,550.52","9,637,997.88","5,310,790.55","570,231.49","279,025.90","221,700.65","585,053.48","1,042,638.46","731,234.86","548,506.45","425,713.38","211,168.50","2,176,493.73","3,300,954.53","1,228,996.19","4,341,454.86"
