科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"232,922,926.91","279,012,089.12","287,027,636.66","117,118,079.42","166,600,477.90","300,948,857.42","80,719,759.84","187,611,513.14","271,732,517.62","440,961,401.70","145,633,911.65","307,329,729.66","434,148,843.90","540,173,675.65","121,529,136.07","269,271,766.01","421,990,660.09","577,419,129.85","176,471,041.28","272,182,055.32","499,901,003.46","723,098,773.26","124,507,573.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"110,210,980.20",,,,"86,508,954.43","11,387,640.00",,,"142,456,370.39",,"9,406,650.00","9,406,650.00","20,176,069.91",
收到的税费返还,,,,,,,,,,,,,,,,"10,633.75",,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,114,950.16","5,943,157.73","6,314,020.29","5,436,642.31","8,250,787.09","11,827,457.87","2,539,356.34","5,657,517.59","5,932,214.96","15,210,990.66","10,101,903.73","5,538,696.38","12,421,497.83","5,993,211.73","11,579,254.88","8,659,621.83","10,678,325.25","17,834,874.07","3,008,545.95","33,010,944.83","18,446,093.52","15,142,633.14","3,480,880.98"
投资活动现金流出小计,"36,094,336.33","28,455,190.78","26,185,278.09","12,224,481.90","13,699,099.40","18,343,208.29","4,792,053.99","18,446,812.42","157,687,674.53","150,165,381.39","10,580,713.03","22,663,037.06","31,383,079.25","138,974,683.08","18,851,038.81","46,181,269.07","142,670,791.10","187,386,303.88","27,280,024.65","25,672,565.01","19,963,505.03","213,463,124.24","2,311,422.39"
经营活动现金流入小计,"235,037,877.07","284,955,246.85","293,341,656.95","122,554,721.73","174,851,264.99","312,776,315.29","83,259,116.18","193,269,030.73","277,664,732.58","456,172,392.36","155,735,815.38","312,868,426.04","446,570,341.73","546,166,887.38","133,108,390.95","277,942,021.59","432,668,985.34","595,254,003.92","179,479,587.23","305,193,000.15","518,347,096.98","738,241,406.40","127,988,453.99"
投资活动产生的现金流量净额,"-32,094,336.33","-28,455,190.78","-26,185,278.09","-12,224,481.90","-13,699,099.40","-18,303,985.00","-4,792,053.99","-18,446,812.42","-139,854,232.03","-150,165,381.39","-10,580,713.03","-22,561,869.28","-31,281,911.47","-138,873,405.30","-18,851,038.81","-46,181,269.07","-142,670,791.10","-187,386,303.88","-27,280,024.65","-25,149,236.70","-19,683,890.52","-212,019,484.20","80,887,549.78"
购买商品、接受劳务支付的现金,"165,912,716.51","172,452,412.34","196,486,389.15","79,074,665.12","135,170,796.78","237,915,499.97","78,878,084.67","128,268,026.94","144,195,980.87","248,376,383.17","75,633,115.17","178,911,253.72","247,328,895.57","302,047,949.96","74,970,115.90","191,786,402.36","249,785,932.36","399,128,601.54","112,298,640.56","167,809,512.93","372,305,887.77","530,618,626.12","125,940,653.56"
吸收投资收到的现金,"27,044,681.87",,"2,400,000.00","228,831,800.00","228,966,800.00","229,190,429.86",,"4,000,000.00","38,764,825.00","38,764,825.00",,,,"4,362,480.00",,,,,,"285,245,110.17","285,245,110.17","286,245,110.17",
支付给职工以及为职工支付的现金,"13,643,140.80","19,882,416.27","21,510,132.10","13,330,619.36","18,753,700.12","25,525,612.77","7,186,712.12","15,983,134.03","19,866,312.33","30,328,757.08","13,472,013.80","29,456,295.86","36,842,062.41","40,074,424.77","12,929,982.25","20,698,264.09","26,958,154.66","42,722,625.84","9,774,653.24","5,343,350.19","28,288,541.40","44,423,449.25","10,158,601.45"
