科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"496,882,694.04","451,189,416.12","345,169,313.88","476,986,274.36","590,834,799.17","146,386,679.03","309,091,876.66","517,762,750.03","903,069,352.92","278,331,444.68","478,029,303.17","727,006,274.15","1,056,782,127.38","267,810,140.57","492,051,229.59","805,143,182.96","1,291,164,910.40","317,756,797.64","658,125,991.09","1,053,738,336.08","1,553,010,630.05","375,434,601.32","1,023,265,576.45","1,700,239,636.75","2,429,673,166.54","615,665,085.91","1,258,826,708.53","1,871,797,998.92","2,589,170,846.06","654,214,997.56","1,517,600,805.40","2,501,635,074.54","3,360,668,382.81","883,620,074.00","1,778,674,509.69","2,645,413,734.53","3,642,464,104.89","739,343,973.47"
二、营业利润,"150,371,832.48","66,663,422.37","62,636,610.83","86,263,286.80","103,399,338.47","23,145,585.35","46,476,206.16","85,515,253.81","139,844,911.86","38,410,392.05","62,258,799.41","104,528,053.69","143,261,924.84","38,982,450.69","73,117,449.88","118,098,707.76","206,311,531.58","50,875,560.78","104,978,654.51","169,475,341.34","261,606,798.21","52,766,071.83","176,573,156.65","292,541,371.45","422,864,714.11","82,953,442.79","275,466,305.94","401,141,415.56","508,029,415.26","88,386,646.45","318,576,563.79","487,209,357.18","519,210,618.32","61,892,207.35","163,240,212.75","351,254,938.04","69,193,507.42","56,830,913.06"
减:营业成本,"327,657,991.47","264,703,469.64","214,487,668.63","296,966,267.02","366,736,734.92","89,528,828.63","191,480,555.70","319,906,901.53","579,894,321.76","178,185,792.75","298,594,246.29","443,374,083.73","668,289,526.08","158,256,796.66","289,755,647.15","486,507,528.36","799,115,769.22","175,061,636.29","369,429,114.11","596,831,901.65","867,415,436.17","194,780,005.69","542,048,939.78","907,056,335.55","1,218,868,946.49","284,227,241.73","592,562,272.75","853,866,545.52","1,207,104,025.02","307,645,179.39","754,064,092.14","1,228,436,942.54","1,699,818,422.38","469,330,095.11","892,799,688.67","1,342,025,354.37","2,092,912,562.93","361,788,616.63"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,995,559.39","4,529,124.00","3,425,314.33","5,603,690.35","6,670,811.71","1,796,960.77","3,141,363.37","5,615,514.48","10,207,922.07","4,925,116.95","8,026,457.17","11,779,956.43","14,902,413.76","4,485,668.88","7,882,677.71","12,762,146.13","17,739,896.66","2,499,820.98","5,917,399.92","9,076,010.26","14,115,360.69","3,892,469.97","9,697,866.96","16,021,603.70","22,485,349.52","6,736,767.91","13,626,546.84","18,420,639.95","27,614,399.19","5,640,773.57","12,447,360.29","19,887,626.67","30,319,848.06","6,009,703.84","14,132,136.70","21,348,625.61","29,510,140.00","9,247,935.82"
营业外收入,"2,233,117.63","4,367,012.04","3,015,537.01","3,695,005.70","15,576,175.70","5,610,429.00","7,342,402.00","9,916,877.22","12,906,068.72","6,729,596.26","7,368,176.96","9,757,973.66","15,912,762.94","1,228,428.62","5,719,606.62","10,587,143.14","13,594,264.76","943,819.98","2,389,327.51","5,754,333.47","10,644,475.41","2,362,108.55","6,888,192.56","8,762,055.25","22,525,225.35","8,158,887.94","18,750,121.72","21,661,096.29","45,805,633.59","4,256,612.30","15,875,125.13","21,887,507.16","49,408,871.35","3,424,116.96","2,793,375.80","10,488,862.09","8,133,445.34","426,657.61"
销售费用,"28,298,222.69","47,325,084.55","25,215,001.46","34,089,436.94","48,329,297.62","17,136,714.88","35,943,232.13","54,248,678.41","80,898,217.52","30,450,573.93","54,799,959.14","82,818,257.74","111,397,002.91","29,697,993.43","55,833,206.90","88,119,590.95","126,036,557.12","42,705,401.26","86,068,000.93","134,414,086.08","198,593,738.32","59,653,716.73","145,105,097.53","233,194,552.50","365,803,044.62","89,384,810.67","190,040,101.84","297,884,204.15","429,546,929.01","105,094,754.33","243,016,968.12","392,587,291.04","586,687,312.10","144,594,838.41","314,890,683.56","470,726,194.63","675,053,627.48","133,233,997.61"
减:营业外支出,"1,483,931.60","1,726,547.12","283,000.00","388,000.00","1,027,479.08","260,925.00","660,152.59","5,382,087.35","5,354,188.51","263,096.94","1,329,171.52","6,197,527.22","6,250,176.57","33,094.05","183,562.41","460,351.15","2,540,740.40","2,108.27","2,848,667.91","3,188,204.61","3,731,577.03","159,322.89","492,190.71","1,873,239.85","3,181,261.06","787,590.61","704,019.98","4,268,459.17","4,307,751.38","42,926.76","608,366.93","2,011,854.60","5,632,679.21","735,194.11","2,067,840.00","4,975,706.15","6,686,548.35","305,459.87"
管理费用,"39,351,075.55","56,855,126.58","33,673,434.85","47,023,108.55","59,656,333.04","15,700,301.39","34,045,222.10","56,495,037.29","87,954,903.52","30,695,267.06","60,422,466.23","92,256,409.45","122,272,779.84","36,199,754.16","66,859,430.43","99,064,253.16","142,701,407.96","46,720,051.13","90,042,931.09","138,257,798.33","200,032,354.08","62,308,820.33","141,182,333.49","236,074,683.59","366,504,520.82","118,195,892.52","243,468,015.39","353,911,346.66","477,961,356.60","112,986,757.21","257,733,732.18","433,028,025.19","597,775,528.71","178,800,766.59","362,140,432.18","546,090,238.52","810,236,006.37","147,024,275.44"
其中:非流动资产处置净损失,"242,932.39",,,,,,,"20,142.89","39,569.05","9,346.94","13,420.85","50,788.01","9,629.44","17,734.62","18,202.98","18,202.98","25,533.83",,"21,930.76","70,413.11","126,446.28","38,483.11","171,059.63","462,234.65","421,572.29","308,955.32","218,703.56","2,162,499.25","1,393,653.63","20,258.95","562,562.11","568,880.16","2,001,977.43","342,719.69","848,348.69","1,216,403.68",,
