科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,073,629,202.54","1,102,460,382.22","1,202,400,091.80","786,751,663.54","1,102,381,641.31","350,077,521.57","603,973,323.79","966,941,830.76","1,422,184,999.57","752,455,819.95","1,268,209,690.97","1,772,754,141.12","2,063,016,574.82","860,010,730.02","1,545,378,654.14","2,198,904,293.49","2,445,786,606.52","745,881,207.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,"251,873,890.06","251,873,890.06","251,890,660.06",,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"200,000,000.00",
收到其他与经营活动有关的现金,"6,312,573.31","2,010,519.98","3,004,312.12","1,039,545.82","1,646,350.87","1,891,389.80","2,025,635.27","8,068,998.63","5,062,952.57","2,602,301.65","4,173,863.87","4,761,591.25","22,300,614.00","3,670,465.42","5,862,512.75","7,563,210.81","18,223,621.81","9,477,804.33"
投资活动现金流出小计,"17,528,336.24","2,669,180.53","21,799,940.40","1,166,181.17","7,501,859.67","3,849,530.00","278,711,470.06","384,149,270.33","616,590,083.12","289,803,665.48","301,632,844.19","405,464,417.39","416,369,582.60","8,185,721.06","22,612,782.03","31,494,840.64","396,396,335.23","13,491.38"
经营活动现金流入小计,"1,079,941,775.85","1,104,470,902.20","1,205,404,403.92","787,791,209.36","1,104,027,992.18","351,968,911.37","605,998,959.06","975,010,829.39","1,427,247,952.14","755,058,121.60","1,272,383,554.84","1,777,515,732.37","2,085,317,188.82","863,681,195.44","1,551,241,166.89","2,206,467,504.30","2,464,010,228.33","755,359,011.74"
投资活动产生的现金流量净额,"-6,132,092.53","-2,669,180.53","-21,178,940.40","-1,166,181.17","-7,501,859.67","-3,849,530.00","-278,711,470.06","-384,149,270.33","-566,180,905.04","-248,119,887.70","-253,470,262.26","-357,301,835.46","-338,203,000.67","12,242,580.31","-2,184,480.66","43,962,019.63","-120,939,474.96","2,126,638.79"
购买商品、接受劳务支付的现金,"921,231,139.98","1,138,099,854.41","1,161,650,698.58","916,648,886.56","1,083,496,829.83","371,908,100.62","548,369,677.87","978,908,462.48","1,406,030,864.56","831,825,015.89","1,158,935,039.93","1,603,080,897.65","1,777,647,487.41","690,219,195.50","1,192,712,967.45","1,729,737,881.12","2,205,323,984.45","567,140,697.81"
吸收投资收到的现金,"88,580,000.00",,"1,420,000.00",,,"431,204,255.00","431,204,255.00","431,204,255.00","431,204,255.00",,,,,,,,,
支付给职工以及为职工支付的现金,"24,657,750.17","31,855,870.48","40,976,577.96","31,562,506.23","46,065,569.99","12,794,519.39","26,052,534.45","40,975,540.65","55,319,320.32","13,720,455.36","28,841,205.76","46,185,041.66","59,276,643.91","15,749,287.71","33,917,217.05","47,575,936.86","64,903,500.46","16,670,191.21"
取得借款收到的现金,"103,300,000.00","360,700,000.00","359,000,000.00","505,000,000.00","565,000,000.00","180,000,000.00","705,000,000.00","1,215,000,000.00","1,485,000,000.00","915,000,000.00","1,500,000,000.00","2,090,000,000.00","2,461,670,000.00","730,000,000.00","1,109,172,000.00","1,645,000,000.00","2,185,189,768.12","484,120,000.00"
支付的各项税费,"64,298,289.08","75,469,783.55","81,918,165.91","64,853,530.57","82,746,298.41","17,610,757.67","49,535,610.94","75,401,057.57","100,885,603.56","21,862,779.48","48,449,236.96","68,259,724.94","91,170,012.67","39,033,812.58","83,103,016.97","110,160,400.55","98,892,222.79","37,766,919.00"
收到其他与筹资活动有关的现金,,,,,,,,,"1,000,000.25",,,"1,200,000.00","12,000,000.00",,,,,
