科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,"8,437,301.82",,,,"1,100,000.00",,"2,710,597.06",,,,,,,,,,,"300,000,000.00","1,040,000,000.00","1,986,000,000.00","2,519,500,000.00","483,899,852.60","1,493,299,852.60","2,213,471,596.98","2,363,067,484.53","1,631,343,144.93","1,978,000,000.00","1,806,000,000.00","9,128,868,473.74","1,096,269,871.31","2,272,394,245.78","2,333,394,245.78","6,083,852,520.31","260,000,000.00","270,000,000.00","4,976,957,161.07"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"14,280,675.79","14,280,675.79","29,186.60","51,277,587.65","47,626,645.19","47,626,645.19",,"36,361,527.99","36,663,605.96","36,361,527.99",,"44,623,418.49","44,623,418.49","46,623,418.49","49,317,586.21","49,317,586.21","49,317,586.21","49,317,586.21","28,414,827.21","28,414,827.21","28,465,757.21","28,414,827.21","500,000.00","32,546,600.10","32,546,600.10","29,890,000.10","895,985.91","34,927,516.68","36,336,380.55","38,838,273.61","3,011,239.50","100,535,113.01","33,543,250.31","112,230,257.77","12,798,587.54","33,738,247.22","83,252,752.34","334,839,281.97","4,000,000.00","8,232,464.27","94,317,493.92"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"26,515.50",,"22,645.00","244,815.00",,740.00,"90,003.20","293,534.20","349,599.20","483,395.22","2,720,362.06","6,368,976.67","9,147,078.10","27,759,060.18","41,170.00","28,100,629.96","28,148,629.96","31,287,129.69","13,400.00","12,474,168.00","12,496,746.14","12,568,707.41","30,521,156.04","30,614,018.31","31,158,632.31","32,514,226.08","22,612.00","96,398.96","135,669.26","288,594.25","933,967.56","940,178.56","48,458.56","1,520,217.07","147,453.42","334,300.17","484,300.17","540,942.19","71,702.73","155,897.29","12,876,527.20"
向其他金融机构拆入资金净增加额,"-98,000,000.00","-98,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"400,000,000.00",,,,,,,,,,,"-4,000,000.00",,"-414,000,000.00","-90,000,000.00","-90,000,000.00","1,110,000,000.00"
投资活动现金流入小计,"14,307,191.29","14,280,675.79","51,831.60","51,522,402.65","47,626,645.19","56,064,687.01","90,003.20","36,655,062.19","37,013,205.16","37,944,923.21","2,720,362.06","53,702,992.22","53,770,496.59","74,382,478.67","49,358,756.21","77,418,216.17","77,466,216.17","80,604,715.90","28,428,227.21","40,888,995.21","40,962,503.35","40,983,534.62","331,021,156.04","1,103,160,618.41","2,049,705,232.41","2,581,904,226.18","484,818,450.51","1,528,323,768.24","2,249,943,646.79","2,402,194,352.39","1,635,288,351.99","2,079,475,291.57","1,839,591,708.87","9,242,618,948.58","1,109,015,912.27","2,306,466,793.17","2,417,131,298.29","6,419,232,744.47","264,071,702.73","278,388,361.56","5,084,151,182.19"
收取利息、手续费及佣金的现金,"1,563,208,704.57","7,966,380,595.40","360,630,287.33","722,527,532.02","948,055,572.43","1,175,248,015.94","336,035,581.72","753,275,481.67","1,274,484,774.31","1,791,804,527.95","428,705,381.43","1,133,144,433.08","1,186,964,716.94","1,758,008,286.01","378,628,428.75","699,401,842.63","992,167,055.02","1,242,735,492.87","306,532,522.84","628,850,681.24","867,991,413.76","1,147,323,733.01","339,767,254.46","679,020,905.61","1,134,388,416.51","1,568,467,583.30","504,795,336.56","914,636,511.49","1,580,511,872.98","2,629,242,856.06","995,847,038.07","2,992,681,632.31","4,354,299,249.59","5,785,773,124.98","991,424,040.82","1,886,233,323.42","2,944,884,535.78","4,162,045,172.31","830,787,882.39","1,640,294,071.94","2,609,578,370.13"
投资支付的现金,,,,,,,,,,,,,,"40,500,000.00","35,251,200.00","35,251,200.00","66,001,200.00","146,001,200.00","10,593,980.00","50,593,980.00","50,593,980.00","200,593,980.00","456,584,112.00","1,266,584,112.00","2,465,684,851.73","2,934,184,851.73","651,014,370.72","1,586,201,024.15","2,298,618,476.67","2,208,741,852.60","1,782,857,757.24","2,059,000,000.00","1,860,000,000.00","11,162,274,169.54","1,721,290,729.91","1,838,074,099.94","1,731,754,188.19","4,628,397,311.30","187,615,018.40","169,815,000.00","4,777,149,062.56"
