科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"282,264,349.57","376,130,800.33","505,182,057.97","137,373,072.37","245,319,608.10","357,896,333.69","612,190,915.06","201,193,927.96","383,067,876.75","526,180,816.46","763,439,286.96","289,315,783.50","450,734,557.27","590,535,951.97","856,131,572.78","226,272,821.09","407,294,286.84","527,243,687.22","803,469,517.86","220,329,793.72","386,972,499.78","581,162,047.88","819,203,467.12","324,873,224.35","449,949,043.73","627,566,657.05"
取得子公司及其他营业单位支付的现金净额,"21,390.00",,,,,,,"100,000.00","100,000.00","100,000.00",,,,,"-1,063,371.43",,,"275,722,972.57","273,046,026.39",,,,,,"-58,572,536.62","127,427,463.38"
收到的税费返还,,"11,175.13","57,114.73",,,,,,,,"46,113.36",,,,,,,,,,,,,,,"11,939.06"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","112,000,000.00"
收到其他与经营活动有关的现金,"263,398.09","1,749,130.90","7,809,771.13","1,457,904.16","3,187,795.95","3,898,451.46","16,155,565.40","33,576,523.35","22,795,339.07","27,597,592.21","36,398,399.04","9,967,053.96","27,751,207.63","34,950,838.06","45,431,951.26","6,751,221.62","17,936,603.35","26,507,884.55","52,247,753.79","6,393,690.78","24,582,637.36","48,727,026.82","57,152,697.47","17,331,987.45","30,357,178.59","294,478,470.38"
投资活动现金流出小计,"18,843,251.96","68,383,720.56","37,935,394.56","16,680,346.37","51,474,965.83","96,016,733.80","170,707,437.43","165,896,798.91","288,954,720.26","530,559,011.25","801,596,428.70","66,351,023.11","117,656,420.71","174,976,461.90","251,923,679.79","52,147,633.60","138,210,345.24","518,639,343.57","611,653,862.56","65,184,321.61","105,339,120.58","165,558,884.38","235,761,893.67","101,021,833.36","54,544,213.90","365,078,186.46"
经营活动现金流入小计,"282,527,747.66","377,891,106.36","513,048,943.83","138,830,976.53","248,507,404.05","361,794,785.15","628,346,480.46","234,770,451.31","405,863,215.82","553,778,408.67","799,883,799.36","299,282,837.46","478,485,764.90","625,486,790.03","901,563,524.04","233,024,042.71","425,230,890.19","553,751,571.77","855,717,271.65","226,723,484.50","411,555,137.14","629,889,074.70","876,356,164.59","342,205,211.80","480,306,222.32","922,057,066.49"
投资活动产生的现金流量净额,"-18,843,251.96","-68,337,120.56","-37,935,394.56","-16,520,346.37","-51,314,965.83","-95,856,733.80","-170,296,258.95","-165,896,798.91","-288,954,720.26","-510,492,900.14","-438,015,174.41","-66,351,023.11","-116,593,049.28","-173,913,090.47","-250,281,509.79","-52,047,633.60","-138,110,345.24","-518,539,343.57","-609,553,862.56","-65,084,321.60","-105,239,120.57","-165,458,884.37","-235,661,893.66","1,353,893.09","99,053,847.01","-205,587,912.73"
购买商品、接受劳务支付的现金,"106,865,526.78","159,539,519.12","224,360,138.89","104,419,016.22","166,788,606.68","241,775,696.57","328,595,948.24","137,519,877.88","260,308,785.49","365,854,599.60","471,793,554.36","164,335,931.37","255,810,519.44","347,154,520.34","447,705,412.64","105,387,128.89","188,501,962.54","281,062,845.58","413,572,215.84","131,647,763.69","234,453,580.71","354,263,283.23","462,561,800.33","129,396,045.52","230,868,519.76","358,276,146.44"
吸收投资收到的现金,,,,"659,070,000.00","695,000,000.00","699,700,000.00","663,900,000.00","37,700,000.00","70,700,000.00","70,700,000.00","70,700,000.00",,,238.96,252.78,,138.32,138.92,"5,318,239.63",,"7,515,301.58","850,818,745.45","859,209,543.60",,"2,484,914.84","217,484,907.60"
支付给职工以及为职工支付的现金,"27,159,641.22","34,953,929.55","45,098,543.18","12,966,980.31","26,720,098.05","39,529,596.32","67,093,586.56","28,211,663.28","55,470,490.14","81,724,448.79","114,915,571.45","38,872,163.29","72,255,806.77","100,738,223.91","123,706,321.57","35,931,661.96","68,875,159.28","91,302,700.67","134,310,418.60","43,435,028.73","80,873,205.94","114,043,040.93","159,617,684.85","43,196,541.38","81,617,443.53","119,113,261.86"
取得借款收到的现金,"53,000,000.00","155,000,000.00","80,000,000.00","30,000,000.00","30,000,000.00","66,000,000.00","146,000,000.00","120,000,000.00","275,000,000.00","408,000,000.00","583,000,000.00","124,000,000.00","223,663,021.73","322,720,476.89","410,810,778.85","211,879,207.22","610,934,869.82","653,167,487.88","967,248,465.95","213,707,711.95","362,595,908.64","537,777,849.81","673,894,362.73","200,000,000.00","200,000,000.00","200,000,000.00"
