科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"244,015,253.16","262,838,762.35","324,341,568.47","166,413,890.35","263,526,932.19","317,684,783.27","93,440,807.34","188,361,841.35","281,047,453.59","279,387,506.95","111,267,253.30","236,642,870.99","393,925,655.13","276,846,734.37","86,873,249.14","111,590,794.37","395,123,736.80","556,550,975.69","294,835,314.32"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"474,854,424.82",
收到的税费返还,"50,350.12","400,468.54","56,381.81",,,"68,656.41",,,,"3,408,428.76",,,,"1,486,184.92",,"1,355,534.43","19,568,132.80","31,501,847.47","28,226,411.90"
支付其他与投资活动有关的现金,"75,000.00",,"50,000.00",,,"2,574.20",,,,"200,000,000.00",,"20,000,000.00","20,000,000.00","200,000,000.00",,,,,
收到其他与经营活动有关的现金,"12,305,437.93","5,920,479.33","2,625,229.14","3,963,795.21","3,984,703.82","1,731,700.61","4,077,801.01","3,480,711.33","4,062,262.63","5,139,052.86","1,660,142.52","3,170,953.64","11,302,193.49","17,630,742.98","906,450.54","4,546,562.22","20,818,390.33","25,560,649.70","6,910,798.12"
投资活动现金流出小计,"9,595,092.56","44,240,594.23","21,310,010.60","11,041,605.05","25,190,943.93","33,160,472.00","37,706,297.22","73,695,115.05","104,834,825.29","341,043,699.42","51,250,439.96","117,042,134.55","159,165,187.50","350,323,789.37","77,557,362.77","91,413,375.80","614,125,617.97","671,611,098.45","72,662,396.56"
经营活动现金流入小计,"256,371,041.21","269,159,710.22","327,023,179.42","170,377,685.56","267,511,636.01","319,485,140.29","97,518,608.35","191,842,552.68","285,109,716.22","287,934,988.57","112,927,395.82","239,813,824.63","405,227,848.62","295,963,662.27","87,779,699.68","117,492,891.02","435,510,259.93","613,613,472.86","329,972,524.34"
投资活动产生的现金流量净额,"-8,857,205.63","-43,924,122.23","-21,131,637.94","-10,389,954.15","-24,539,293.03","-32,461,395.30","-36,992,312.82","-72,981,130.65","-104,120,840.89","-340,138,460.85","-51,055,522.22","85,263,119.54","64,071,224.04","-146,857,058.11","-77,557,362.77","112,551,525.15","-409,900,156.11","-467,233,701.98","-72,662,396.56"
购买商品、接受劳务支付的现金,"158,076,080.61","166,505,686.79","198,133,591.44","108,743,913.64","161,037,100.30","197,509,374.40","48,213,513.36","106,888,312.85","165,699,249.91","109,360,148.66","74,936,084.31","153,371,460.37","253,926,150.97","186,734,159.70","71,542,084.14","95,168,363.92","303,393,725.96","318,802,662.59","178,088,831.63"
吸收投资收到的现金,,,,"164,750,000.00","164,750,000.00","164,750,000.00",,,"496,957,965.36","496,957,965.36",,,,,,,,,
支付给职工以及为职工支付的现金,"35,068,556.70","39,899,648.30","44,699,009.64","25,040,817.48","34,640,412.47","50,159,129.17","16,116,025.05","32,445,425.56","48,515,419.70","78,597,207.96","26,342,163.54","53,725,922.13","82,126,872.15","126,217,430.55","40,817,748.57","82,268,003.42","130,308,666.25","242,221,203.50","72,213,535.92"
取得借款收到的现金,"63,000,000.00","107,500,000.00","70,140,230.00","30,100,000.00","40,100,000.00","40,100,000.00","5,500,000.00","13,280,000.00","18,280,000.00","18,280,000.00","20,000,000.00","35,000,000.00","80,000,000.00","110,000,000.00","50,000,000.00","135,000,000.00","675,757,173.78","832,060,766.75","69,000,000.00"
