科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"222,197,968.11","221,477,319.22","303,872,000.30","35,291,005.13","82,242,343.93","118,287,999.13","183,424,921.77","31,470,922.06","86,467,621.48","140,004,205.11","254,277,206.63","42,280,231.49","120,540,881.44","144,044,223.98","253,922,739.62","67,288,081.71","120,461,082.88","149,455,229.34","240,124,557.67","33,170,535.37","73,850,259.51","137,583,817.08","195,689,249.00","28,849,908.87","56,384,682.16","90,251,171.31","207,865,535.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"960,965.34",,,,,,,,,,,,,,,,,"2,699,786.08",,,,"618,385.31","1,695,541.19",,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"1,561,200.00",,,,"440,000,000.00","120,000,000.00","170,000,000.00","245,000,000.00","486,000,000.00","126,000,000.00","191,000,000.00","257,000,000.00","349,000,000.00"
收到其他与经营活动有关的现金,"17,544,557.47","19,945,184.47","20,556,063.44","4,446,867.29","7,547,919.23","8,892,290.02","18,705,204.73","4,509,557.66","8,600,277.10","13,211,573.81","17,701,879.79","3,050,204.73","5,288,604.94","9,673,293.38","6,642,359.61","4,280,600.50","6,763,226.46","9,256,730.41","6,586,573.80","5,960,404.56","7,512,216.91","10,484,572.96","3,946,385.09","1,451,128.91","7,588,039.24","10,406,633.84","8,012,351.11"
投资活动现金流出小计,"478,256.08","507,857.93","51,894,227.38","14,380,777.00","14,316,401.23","15,371,717.50","15,697,160.09","19,800.00","865,122.00","1,162,326.00","52,397,164.37","50,471,330.00","53,835,053.80","54,933,081.46","58,138,008.83","1,735,844.12","2,217,554.12","43,739,070.41","445,016,737.75","120,275,900.00","170,927,322.00","246,009,958.00","486,478,985.99","126,037,594.00","191,089,692.80","257,089,692.80","349,145,792.80"
经营活动现金流入小计,"240,703,490.92","241,422,503.69","324,428,063.74","39,737,872.42","89,790,263.16","127,180,289.15","202,130,126.50","35,980,479.72","95,067,898.58","153,215,778.92","271,979,086.42","45,330,436.22","125,829,486.38","153,717,517.36","260,565,099.23","71,568,682.21","127,224,309.34","161,411,745.83","246,711,131.47","39,130,939.93","81,362,476.42","148,686,775.35","201,331,175.28","30,301,037.78","63,972,721.40","100,657,805.15","215,877,886.37"
投资活动产生的现金流量净额,"493,073.11","19,602,472.07","-51,894,227.38","-14,380,777.00","-14,316,401.23","-15,371,717.50","-15,697,160.09","-19,800.00","-865,122.00","-1,162,326.00","-52,394,754.37","-50,471,330.00","27,099,983.63","26,001,955.97","22,797,028.60","-1,735,844.12","-298,598.12","-1,597,867.83","-1,300,669.70","-40,015,845.21","-90,416,801.46","-74,929,300.47","-119,675,350.98","-4,118,451.54","31,631,497.61","57,542,108.29","58,087,963.91"
购买商品、接受劳务支付的现金,"149,945,685.08","138,903,355.90","191,676,896.99","55,997,295.43","113,369,315.41","142,154,131.48","197,201,662.03","43,896,985.41","103,000,937.35","157,979,108.96","250,931,618.88","23,858,514.73","100,141,872.13","128,261,127.19","227,725,293.95","54,705,082.47","90,383,379.74","118,679,252.35","198,554,742.54","14,926,471.77","44,129,785.95","71,598,170.11","112,465,586.41","23,282,924.51","61,651,445.48","98,812,834.81","165,077,574.49"
吸收投资收到的现金,,"16,763,571.12",,,"270,600,000.00","270,600,000.00","270,600,000.00",,,"7,224,840.00","7,224,840.00",,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"18,691,575.81","24,463,918.31","21,315,576.93","6,216,233.77","12,600,357.64","18,198,063.20","21,960,064.97","7,271,235.43","14,115,336.01","22,769,089.49","36,281,947.34","9,054,774.50","17,782,274.98","26,875,489.22","32,821,574.16","9,690,621.82","18,210,894.50","27,686,502.14","37,800,219.84","14,576,880.04","25,234,689.91","36,189,275.73","46,992,324.16","13,266,032.22","24,356,172.06","34,901,616.05","43,034,118.47"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"16,700,311.87","20,605,066.97","26,665,612.37","9,852,058.59","16,408,150.81","23,904,890.67","24,974,041.78","2,871,623.61","5,616,889.07","7,861,061.15","8,794,110.61","2,538,144.54","12,103,338.54","18,062,257.68","16,385,753.89","1,207,623.23","2,442,478.63","4,377,603.29","3,977,107.86","6,038,842.21","11,315,985.25","12,895,176.04","15,382,808.23","1,978,243.66","4,854,694.31","11,386,832.73","12,028,709.79"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"88,784.23",,,,,,,,,
