科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"35,406,151.58","101,380,222.18","207,968,189.36","44,141,118.49","108,522,680.19","184,164,094.69","276,104,036.31","68,008,927.64","149,566,315.31","227,246,554.12","328,086,182.79","58,077,338.05","144,738,397.62","231,799,670.50","342,386,893.99","54,108,771.15","156,025,887.72","242,896,128.17","358,534,531.43","68,976,571.96","150,454,032.40","241,215,508.82","360,926,548.11","146,612,283.40","253,952,934.27","356,524,547.80","543,965,799.38","129,388,004.29","261,012,383.61","380,711,124.64","537,430,709.26","140,869,497.06","396,603,544.49","619,767,211.13","1,006,074,208.32","306,111,149.71","694,972,873.49","1,062,716,956.25","1,530,334,266.10","358,477,109.43","887,732,373.83","1,728,864,607.63","3,193,515,816.65","914,404,711.96","1,960,076,878.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"64,783,101.05",,"56,041,569.71","118,937,430.12","191,455,033.38","21,238,440.21","23,561,802.32","23,561,802.32","248,272,738.48","-7,604,787.24","145,247,684.81","535,641,837.14","413,271,715.32",,,"-6,270,883.35","174,870,110.05",,,,"2,365,376,908.36",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,140,189.13",,"918,494.63","918,494.63","7,853,987.24",,
支付其他与投资活动有关的现金,,,"100,634.00",,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00",,,"1,050,000.00","145,693,750.00",,,,"244,980,000.00","8,027,575.21","1,525,000.00","3,687,371.00","443,499,179.42",,"12,400,000.00","24,797,225.00","50,000.00",,"21,469,730.00"
收到其他与经营活动有关的现金,"188,107.97","1,221,776.20","3,817,647.49","128,238.48","928,036.87","5,562,385.35","9,495,620.09","10,000.00","190,328.96","1,033,268.97","6,151,288.32","49,939.26","1,884,899.95","1,952,695.43","5,274,278.19","190,554.30","1,081,492.04","1,709,821.43","7,963,437.74","887,325.63","1,373,116.34","3,073,683.69","10,627,633.69","7,021,459.80","4,642,942.40","4,997,808.29","10,111,570.62","6,558,757.07","22,605,466.00","100,482,481.93","75,319,900.61","6,278,536.87","25,661,471.16","114,902,656.32","93,016,430.54","11,072,348.49","148,518,420.15","184,127,644.90","38,336,707.24","10,848,759.31","19,599,693.08","153,146,087.47","89,640,102.33","7,624,049.23","21,173,194.41"
投资活动现金流出小计,"566,400.00","1,339,235.17","14,750,426.62","2,311,187.30","18,948,654.59","32,430,747.52","55,722,429.40","10,336,239.00","36,174,627.20","50,654,447.43","86,489,373.10","9,517,390.00","14,280,266.21","17,074,778.31","28,821,324.87","748,942.00","1,018,822.00","5,242,427.97","9,457,964.02","33,002,005.00","70,100,138.12","72,250,103.25","73,853,060.61","121,431,858.00","182,474,712.67","248,880,470.80","333,714,866.79","58,250,765.45","143,490,679.53","307,178,071.42","420,658,248.62","85,450,870.42","264,214,165.00","816,087,937.35","1,237,611,194.22","61,659,452.43","119,296,152.06","197,209,494.92","1,218,106,330.49","209,909,235.49","1,039,278,787.96","2,195,094,717.10","2,939,942,007.52","75,309,337.81","186,608,068.58"
经营活动现金流入小计,"35,594,259.55","102,601,998.38","211,785,836.85","44,269,356.97","109,450,717.06","189,726,480.04","285,599,656.40","68,018,927.64","149,756,644.27","228,279,823.09","334,237,471.11","58,127,277.31","146,623,297.57","233,752,365.93","347,661,172.18","54,299,325.45","157,107,379.76","244,605,949.60","366,497,969.17","69,863,897.59","151,827,148.74","244,289,192.51","371,554,181.80","153,633,743.20","258,595,876.67","361,522,356.09","554,077,370.00","135,946,761.36","283,617,849.61","481,193,606.57","612,750,609.87","147,148,033.93","422,265,015.65","734,669,867.45","1,099,090,638.86","317,183,498.20","843,491,293.64","1,246,844,601.15","1,569,811,162.47","369,325,868.74","908,250,561.54","1,882,929,189.73","3,291,009,906.22","922,028,761.19","1,981,250,072.69"
投资活动产生的现金流量净额,"-520,035.00","-1,339,235.17","-14,750,426.62","-2,311,187.30","-18,948,654.59","-32,430,747.52","-51,112,429.40","-10,324,637.98","-36,163,026.18","-50,628,846.41","-84,803,633.12","-9,502,390.00","-14,261,266.21","-17,055,778.31","-28,802,324.87","-745,792.00","-1,015,672.00","-5,239,277.97","-9,404,814.02","-33,002,005.00","-70,100,138.12","-72,242,103.25","-73,725,060.61","-121,431,858.00","-182,181,712.67","-248,322,470.80","-333,151,866.79","-58,249,765.45","-143,490,679.53","-307,171,666.42","-420,635,843.62","-85,450,870.42","-265,618,339.11","-817,492,111.46","-1,221,003,368.33","18,371,337.21","-28,430,192.60","-105,092,677.43","-637,523,577.44","-209,907,494.49","-615,626,306.16","-1,771,441,543.30","-2,491,750,884.18","-65,104,358.65","-174,000,708.70"
购买商品、接受劳务支付的现金,"11,611,934.05","37,494,152.34","96,860,317.14","7,961,118.02","27,619,435.20","61,731,689.64","107,387,299.04","26,228,640.88","49,952,812.08","105,714,664.83","161,513,771.92","25,421,402.93","53,275,633.59","87,293,300.79","126,599,376.03","20,727,729.12","42,952,676.78","64,767,927.70","106,276,344.74","13,802,537.92","29,551,234.43","53,448,055.05","86,644,276.72","26,684,390.13","53,085,012.33","75,646,002.55","128,487,151.21","51,550,614.87","95,297,675.96","148,860,678.96","205,804,338.03","55,331,458.09","180,727,599.65","214,926,702.08","480,200,105.50","120,942,153.77","451,013,890.63","1,045,181,000.97","1,570,654,249.62","246,210,611.33","501,823,079.46","1,122,112,598.58","1,758,265,493.74","386,242,989.25","658,066,272.17"
吸收投资收到的现金,,,,"131,912,000.00","131,912,000.00","131,912,000.00","131,912,000.00",,,,,,,,,,,,,,,,,"66,447,080.00","66,447,080.00","66,447,080.00","66,447,080.00",,"-1,393,780.00","-1,393,780.00","-1,393,780.00",,"2,642,641,555.00","2,642,641,555.00","2,622,641,555.00",,,,,,,,,,
