科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"4,803,535,344.52","3,769,498,186.15","4,018,821,978.53","852,050,265.07","1,801,880,660.46","2,606,853,511.85","3,360,083,607.93","663,068,584.87","1,495,425,319.02","2,314,468,153.12","3,163,257,003.52","920,944,405.87","1,957,066,153.16","2,922,945,823.30","4,031,240,286.92","1,150,373,499.75","2,427,776,387.50"
二、营业利润,"264,538,191.62","266,563,627.18","289,331,908.72","62,302,729.49","123,170,975.54","184,281,509.33","223,051,258.12","64,473,967.00","144,025,520.96","225,019,914.43","276,241,120.50","76,748,703.35","178,916,680.57","278,736,722.61","412,809,789.59","110,338,278.42","264,025,020.95"
减:营业成本,"4,411,466,755.06","3,368,353,235.62","3,579,630,639.24","758,807,976.68","1,613,359,240.78","2,332,650,026.53","3,025,056,370.76","577,287,762.73","1,299,569,887.66","2,014,848,239.05","2,774,971,967.82","801,093,354.38","1,684,866,637.54","2,489,340,464.17","3,392,044,836.86","976,114,173.61","2,050,264,579.17"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"9,590,535.66","20,905,840.26","25,126,548.04","3,138,256.05","6,349,230.62","8,752,737.42","11,518,293.60","3,093,888.87","6,905,732.79","10,620,432.16","19,330,835.00","7,602,566.91","12,165,036.89","21,731,537.98","31,023,669.43","15,921,569.53","29,432,083.17"
营业外收入,"8,438,516.61","10,849,071.11","32,241,206.41","425,717.23","25,152,001.55","45,522,648.00","46,778,841.71","829,110.98","15,281,587.42","20,731,208.98","23,489,568.25","1,984,783.89","18,794,617.36","31,271,229.76","61,669.08","3,242.13","3,242.13"
销售费用,"27,613,296.31","31,100,361.44","33,492,888.46","7,681,992.71","16,977,716.73","26,137,820.13","33,799,355.26","7,920,255.90","17,800,713.87","25,562,587.61","34,612,566.69","10,319,243.06","21,912,203.86","31,272,506.19","42,535,734.19","13,154,592.50","24,346,775.44"
减:营业外支出,"7,586,372.45","6,472,361.47","7,687,336.61","943,626.28","1,976,348.42","3,826,020.44","5,659,886.14","1,396,152.16","2,564,043.16","3,712,910.04","4,515,210.22","1,423,080.41","1,962,007.03","3,311,861.74","5,528,040.99","3,000,000.00","3,007,813.59"
管理费用,"44,706,399.21","53,021,599.32","62,577,557.00","16,263,286.67","34,396,256.00","51,395,768.62","68,944,492.32","18,102,515.05","44,312,147.33","63,961,340.88","89,624,825.36","31,981,591.39","73,563,303.81","121,270,478.58","209,451,286.72","61,452,799.57","111,967,271.88"
其中:非流动资产处置净损失,"370,894.99",,"587,753.44","5,258.27","18,103.48","21,213.43","23,252.93","145,248.98","145,248.98","145,248.98","237,647.40","901,735.00","940,661.62","1,790,516.33",,,
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"47,823,185.86","29,987,972.80","32,164,132.75","7,111,474.00","5,675,998.83","3,839,667.26","547,012.63","-1,295,358.63","-2,714,260.09","-3,408,851.50","-6,885,808.61","-413,814.40","-1,262,855.00","566,965.39","2,183,432.06","4,260,813.83","6,707,540.81"
三、利润总额,"265,390,335.78","270,940,336.82","313,885,778.52","61,784,820.44","146,346,628.67","225,978,136.89","264,170,213.69","63,906,925.82","156,743,065.22","242,038,213.37","295,215,478.53","77,310,406.83","195,749,290.90","306,696,090.63","407,343,417.68","107,341,520.55","261,020,449.49"
