科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"12,140,926.84","23,616,841.20","47,433,353.02","72,300,077.69","612,083,941.81","492,392,487.66","455,521,299.43","353,829,006.35","426,187,364.50","362,904,874.91","449,004,661.41","356,656,740.32","319,357,268.00","354,680,666.10","222,358,768.20","290,166,754.52","154,135,083.55","116,224,250.25","70,635,159.94","73,857,327.81","123,790,748.15","168,390,384.48","69,546,373.34","68,325,701.06","88,452,901.31","68,355,005.13","275,883,978.05","209,873,001.23","196,894,672.79","100,728,223.78","59,776,061.77","138,942,183.90","116,577,982.90","151,674,876.36","117,221,251.55"
短期借款,"48,000,000.00","85,000,000.00","70,000,000.00","160,000,000.00","239,880,000.00","172,603,331.51","153,522,393.79","105,000,000.00","75,000,000.00",,"240,000,000.00","295,000,000.00","318,000,000.00","431,450,855.18","391,450,855.18","531,450,855.18","518,000,000.00","578,000,000.00","618,000,000.00","618,000,000.00","688,000,000.00","713,000,000.00","705,000,000.00","806,000,000.00","806,000,000.00","983,000,000.00","618,000,000.00","391,000,000.00","223,000,000.00","141,000,000.00","126,000,000.00","220,000,000.00","250,000,000.00","418,000,000.00","450,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"13,860.00","3,000,000.00","2,000,000.00","3,000,000.00","9,207,600.00","11,045,500.00","10,511,500.00","18,850,000.00","15,577,070.04","10,729,856.00","2,865,276.80","1,900,000.00","5,460,000.00","110,000.00","1,486,000.00","3,030,000.00","3,557,800.00","1,057,800.00","5,098,600.00","3,222,804.28","3,028,592.22","2,200,000.00","2,451,000.00","1,666,378.10","14,726,059.70","10,365,880.00","37,027,440.00","43,596,000.00","33,651,279.00","12,920,889.00","1,171,999.40","14,035,841.22","5,030,000.00"
应付票据,,"2,226,675.00",,"3,530,359.10","22,611,296.82",,,,,"119,908.00","119,908.00",,,"2,050,000.00","2,795,164.00","9,098,178.00","11,903,888.25","5,577,554.70","36,589,128.95","42,579,895.43","22,875,664.33","23,294,300.67","34,239,383.13","62,902,558.13","41,645,597.03","13,964,429.08","32,414,564.75","60,605,539.66","18,529,609.17","10,989,888.97","34,497,202.15","46,022,231.33","42,050,866.49","89,237,358.09","75,711,788.91"
应收账款,"8,894,176.92","10,393,528.02","11,127,061.30","13,479,590.61","12,948,046.81","14,014,482.33","17,823,272.48","31,636,462.23","25,203,871.74","19,319,271.67","14,766,178.91","24,577,347.18","10,539,160.03","11,455,635.02","18,255,033.25","16,657,244.27","21,204,636.55","12,064,303.51","16,627,331.64","20,266,431.46","25,892,042.50","22,513,751.66","22,611,452.63","21,705,479.75","22,795,109.63","24,682,051.12","25,752,891.24","31,770,330.26","25,686,545.20","31,854,565.27","50,753,197.77","31,647,914.65","33,919,862.35","41,930,540.82","48,461,713.06"
应付账款,"16,251,057.12","28,752,110.64","51,554,453.52","53,759,358.82","35,640,442.62","33,188,454.88","30,176,350.23","27,212,968.14","27,519,768.13","50,441,339.62","17,128,104.21","39,113,195.57","37,038,279.10","68,347,259.38","50,678,735.46","76,673,138.53","90,741,279.12","188,691,146.92","186,622,060.60","165,622,218.22","157,091,407.65","177,819,866.74","171,158,282.44","148,807,394.98","140,562,907.13","190,667,976.85","126,950,686.73","76,404,738.95","87,471,330.37","164,404,567.93","113,065,686.09","88,183,511.95","92,949,184.04","143,925,107.54","147,194,179.71"
预付款项,"8,678,351.43","15,769,548.16","41,485,082.51","53,775,972.99","63,388,225.88","76,112,098.14","78,741,876.45","72,588,871.12","57,967,409.17","49,237,481.65","74,660,075.34","48,248,709.79","56,534,471.31","40,633,227.98","40,025,042.58","47,581,606.26","67,222,902.69","22,663,940.41","46,117,696.52","42,812,102.85","52,886,278.21","23,783,992.81","29,682,439.61","26,282,566.34","23,076,603.84","20,774,378.45","25,961,890.27","25,034,798.78","40,212,162.00","53,092,325.21","52,747,238.95","41,245,513.91","50,203,904.96","21,305,890.03","38,404,589.71"
预收款项,"10,293,573.42","9,770,486.43","6,578,905.41","4,959,605.57","5,184,137.67","12,373,973.87","8,512,829.13","10,211,885.49","5,951,147.83","6,609,784.71","14,643,938.96","12,335,444.81","8,072,719.63","11,166,919.16","10,766,475.00","9,570,805.13","12,173,854.64","8,518,467.56","9,801,546.84","10,802,961.46","13,187,020.50","16,331,858.86","8,639,497.56","9,982,629.15","12,120,277.90","11,828,632.94","27,460,977.62","18,773,609.56","40,674,995.24","23,966,188.65","12,760,789.32","10,018,025.61","13,412,350.39","14,330,341.05","9,860,166.09"
