科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"10,781,926.67","9,006,446.69","7,228,877.11","1,024,970.83","765,812.76","162,144.75","130,376.76","506,802.72","145,281.70","106,016.41","236,577.71","1,255,560.35","1,175,385.27","1,195,120.39","1,417,968.30","16,076,698.09","11,302,170.96","36,604,398.80","36,631,778.81","35,410,017.86","32,949,854.89","27,322,411.33","23,574,181.21","5,017,879.79","2,677,575.62","6,145,752.51","888,662.60","5,772,050.64","3,968,865.78","19,179,615.89"
短期借款,"54,888,480.69","55,788,480.69","56,988,480.69","32,900,000.00","23,800,000.00","24,700,000.00","25,600,000.00","26,500,000.00","27,100,000.00","27,100,000.00","27,100,000.00",,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,"2,119,940.00","1,969,940.00","1,500,000.00","1,500,000.00","500,000.00","550,000.00","5,333,124.50","6,888,124.50",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"1,520,164.63","1,320,777.13","1,533,052.74","27,067.59","877,067.59","1,910,827.04","3,410,827.04","10,827.04","10,827.04",,,,,,,,,,,,,,,"7,337,937.65","5,759,810.10","7,805,492.35","22,939,237.50","7,955,017.09","15,196,368.52","57,026,603.09"
应付账款,"22,630,899.22","22,715,761.82","22,598,195.22","23,685,845.22","23,517,175.22","23,048,001.88","22,424,881.88","23,018,633.84","22,644,268.04","22,675,149.84","22,673,938.84","22,430,871.57","5,292,114.14","22,361,673.83","22,362,718.87","22,605,694.50","21,613,591.58","20,790,709.74","20,719,155.61","20,738,078.47","20,703,824.95","191,344.93","251,344.93","436,069.93","430,739.93","288,664.93","520,255.75","2,031,034.46","791,344.92","11,425,325.36"
预付款项,"17,065,617.81","17,000,499.93","17,300,057.81","17,033,477.81","17,117,363.42","17,020,091.31","17,200,091.31","18,034,098.89","17,941,098.89","17,582,156.71","17,882,397.65","17,145,410.06",,"17,145,410.06","17,145,410.06","8,758.89",,,,"34,553.09",,"43,509.27","4,173,277.49","9,611,075.01","7,789,162.61","6,629,195.61","-260,648.28","4,701,528.75","795,226.11","3,494,581.34"
预收款项,"2,667,116.31","2,617,116.31","3,224,117.16","2,907,792.16","3,257,792.16","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","2,544,291.69","64,922.50","64,922.50","64,922.50","64,922.50","64,922.50","2,986,380.50","95,937.50","101,302.50","396,595.58"
