科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"69,214,770.08","80,831,485.50","56,835,912.09","104,456,814.59","38,515,962.63","68,290,193.39","79,845,602.16","40,261,954.99","58,954,407.26","101,667,099.93","131,931,408.18","54,782,841.44","122,441,322.90","146,628,896.04","188,494,916.64","39,323,012.22","71,100,511.90","122,304,478.76","167,338,459.91","32,402,592.29","71,700,871.70","105,941,466.65","166,173,081.48","43,930,343.55","89,180,641.43","133,475,593.23","297,879,856.81","167,803,527.57","337,993,157.03","456,750,047.06","495,316,041.49","224,918,406.87","505,940,955.03","693,614,279.63","759,198,628.76","270,015,153.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"327,714,883.96",,,,,,,,,
收到的税费返还,"190,235.80",,"106,293.80","106,293.80",,,,,,,,,,,,,"169,712.26","169,712.26",,,,,,,"41,707.76","85,552.97","48,692.78",,"15,154.31","666,879.35","669,909.32",,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,10.50,,,,,,,,,,384.62,,,,,,,"20,000,000.00","20,007,800.00","20,000,000.00","56,191.00",,,"270,000,000.00",
收到其他与经营活动有关的现金,"3,208,574.03","6,636,776.91","1,392,880.10","4,074,615.73","5,281,546.08","3,066,993.69","8,562,864.14","1,771,465.68","6,642,709.47","12,078,834.00","12,812,066.80","609,002.35","4,942,564.75","8,435,089.41","10,164,068.82","3,057,463.52","3,955,974.16","11,815,246.26","20,844,797.84","5,662,683.19","2,806,831.69","5,444,068.30","9,195,529.69","2,433,140.70","8,562,995.07","16,415,936.83","25,309,967.63","27,156,942.09","42,550,828.14","68,356,758.11","14,856,610.77","4,660,547.66","13,786,210.19","36,847,500.86","6,019,077.52","11,773,065.74"
投资活动现金流出小计,"13,758,353.31","6,133,410.37","182,209.00","18,043,847.00","2,033,496.00","2,428,495.00","2,655,037.83","137,075.90","4,155,842.57","16,956,618.75","17,602,995.03","4,543,299.44","11,034,163.11","23,460,918.22","31,121,014.26","3,960,088.49","8,095,053.97","12,462,640.38","15,488,343.60","13,104,952.17","4,624,668.36","6,503,904.57","10,465,379.44","54,562,568.08","57,311,468.85","61,258,749.07","341,726,972.21","11,938,369.94","93,241,919.50","201,215,089.69","218,566,476.22","8,020,321.22","10,669,329.52","147,768,079.83","453,008,369.52","5,562,564.78"
经营活动现金流入小计,"72,613,579.91","87,468,262.41","58,335,085.99","108,637,724.12","43,797,508.71","71,357,187.08","88,408,466.30","42,033,420.67","65,597,116.73","113,745,933.93","144,743,474.98","55,391,843.79","127,383,887.65","155,063,985.45","198,658,985.46","42,380,475.74","75,226,198.32","134,289,437.28","188,183,257.75","38,065,275.48","74,507,703.39","111,385,534.95","175,368,611.17","46,363,484.25","97,785,344.26","149,977,083.03","323,238,517.22","194,960,469.66","380,559,139.48","525,773,684.52","510,842,561.58","229,578,954.53","519,727,165.22","730,461,780.49","765,217,706.28","281,788,219.34"
投资活动产生的现金流量净额,"-13,758,353.31","-6,133,410.37","-182,209.00","-18,043,847.00","-2,033,496.00","-2,428,495.00","-2,655,037.83","-137,075.90","-4,155,842.57","-16,886,618.75","-17,532,995.03","-4,543,299.44","-10,924,163.11","-23,350,918.22","-30,595,083.49","-3,800,170.17","-7,916,782.29","-12,289,336.22","-15,025,039.44","-13,104,952.17","154,450.87","-1,724,400.72","-6,018,244.53","-54,562,568.08","-57,311,468.85","-61,236,749.07","-326,210,688.77","-11,940,894.21","-25,662,735.86","-131,396,094.05","-116,888,023.12","-8,020,321.22","-10,648,816.70","-147,692,066.16","-452,996,916.53","269,909,129.32"
购买商品、接受劳务支付的现金,"33,795,412.73","57,197,688.81","16,279,526.86","29,980,572.17","22,403,858.99","46,797,036.92","70,898,608.28","30,609,231.21","43,120,793.25","76,700,938.32","98,344,105.08","13,182,814.20","45,524,275.19","62,770,649.93","85,827,294.80","25,999,294.57","39,260,222.32","70,564,647.75","93,930,713.09","23,663,705.25","33,715,025.79","54,481,781.01","85,121,263.16","16,779,423.26","62,518,730.22","94,296,125.10","128,710,089.80","122,093,750.59","266,587,763.65","387,808,636.98","388,068,730.78","187,708,639.30","325,990,770.65","487,970,617.16","425,889,780.87","92,880,000.40"
吸收投资收到的现金,"4,350,000.00","19,800,000.00",,,,"273,700,000.00","273,700,000.00",,,,"8,712,500.00",,,,,,,,,,"8,265,949.17","8,265,949.17","9,015,949.17","2,389,662.00","2,389,662.00","2,389,662.00","403,039,662.00",,"12,178,879.00","12,178,879.00","12,178,879.00","600,000.00","600,000.00","473,039,936.10","473,089,936.10",
