科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"291,105,161.12","406,343,284.78","169,936,199.26","318,484,989.05","397,914,655.54","116,892,513.07","203,149,405.94","332,896,500.08","539,031,737.58","165,124,774.16","375,716,958.64","526,972,114.23","824,027,423.33","163,294,989.09","316,695,471.39","517,287,970.37","896,348,656.56","166,081,473.59","360,430,167.55","606,058,300.65","1,026,876,247.21","235,003,308.14","504,686,318.95","774,289,525.37","1,363,373,381.39","237,700,390.78","597,373,591.08","960,712,770.77","1,535,482,781.62","334,352,401.42","640,942,733.52","986,016,241.57","1,739,185,354.15","351,865,624.45","860,494,548.06","1,342,119,557.90","2,084,047,635.92","463,245,717.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"553,680.60",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"7,581,077.85","5,308,932.15","3,666,435.21","4,791,215.42","7,496,506.79",,"5,662,753.45","6,173,342.70","6,173,342.70",,"7,537,792.74","7,537,792.74","6,690,699.89",,"2,292,689.62","10,960,188.20","10,960,188.20","7,354,831.72","8,575,767.57","8,349,241.96","8,349,241.96","8,754,066.49","8,667,913.13","8,667,913.13","9,824,038.14","8,829,600.16","8,829,600.16","8,829,600.16","16,729,400.17","3,016,467.20","4,549,055.08","11,036,537.88","18,575,173.83","2,185,509.89","6,522,351.04","6,522,351.04","19,881,904.59",503.38
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,009,400,838.51","1,009,400,838.51","965,000,000.00",,"45,490,000.00","82,500,000.00",,"4,764,000.00"
收到其他与经营活动有关的现金,"11,828,379.02","28,116,232.83","6,119,215.25","8,403,889.46","20,467,283.56","8,745,191.59","24,804,157.05","70,960,715.89","182,661,680.15","7,117,144.23","10,287,401.77","17,561,767.09","63,584,123.89","10,133,769.45","37,577,033.94","67,338,493.41","102,154,599.89","27,613,251.75","35,737,270.47","43,978,032.30","63,138,543.77","11,316,094.84","56,507,642.97","76,186,213.73","135,219,805.26","15,452,582.64","54,912,023.36","102,457,257.27","160,814,485.32","50,954,319.38","139,577,740.58","192,516,133.00","291,048,749.39","33,560,407.83","120,235,321.46","176,152,979.31","250,924,629.67","50,331,313.53"
投资活动现金流出小计,"28,584,879.98","41,854,072.60","11,045,343.93","17,697,159.94","30,814,854.18","14,776,743.49","29,558,497.62","40,148,495.58","53,545,813.65","7,607,159.11","34,538,097.05","39,175,025.45","222,455,863.63","13,807,643.99","53,929,564.21","137,987,518.72","195,848,781.21","31,021,723.47","64,046,220.12","127,835,794.41","155,734,815.79","54,875,402.83","111,316,013.52","174,719,623.54","193,527,071.65","105,202,762.62","156,547,539.15","216,630,231.30","270,566,422.99","47,805,887.54","1,097,892,428.64","1,244,157,929.37","1,467,846,911.62","68,796,683.06","218,576,805.82","550,119,323.41","695,616,487.36","190,572,557.35"
经营活动现金流入小计,"310,514,617.99","439,768,449.76","179,721,849.72","331,680,093.93","425,878,445.89","125,637,704.66","233,616,316.44","410,030,558.67","727,866,760.43","172,241,918.39","393,542,153.15","552,071,674.06","894,302,247.11","173,428,758.54","356,565,194.95","595,586,651.98","1,009,463,444.65","201,049,557.06","404,743,205.59","658,385,574.91","1,098,364,032.94","255,073,469.47","569,861,875.05","859,143,652.23","1,508,417,224.79","261,982,573.58","661,115,214.60","1,071,999,628.20","1,713,026,667.11","388,323,188.00","785,069,529.18","1,189,568,912.45","2,048,809,277.37","387,611,542.17","987,252,220.56","1,524,794,888.25","2,354,854,170.18","513,577,534.45"
投资活动产生的现金流量净额,"-28,225,879.98","-41,425,613.23","-11,019,343.93","-17,670,464.94","-28,609,516.18","-14,709,943.49","-29,491,697.62","-39,973,195.58","-53,342,621.77","-7,518,156.84","-34,324,345.10","-38,795,560.32","-221,988,854.12","-13,796,481.16","-53,906,590.83","-137,962,431.93","-195,820,631.88","-31,009,352.26","-61,880,882.35","-127,660,436.93","-155,552,282.82","-54,860,257.66","-110,708,532.87","-174,103,646.93","-192,860,419.66","-105,143,475.70","-156,464,261.74","-216,541,386.68","-167,771,069.69","-47,785,222.09","-1,092,639,185.76","-1,238,882,004.74","-1,402,330,123.45","30,856,844.06","-156,548,198.99","-361,233,586.81","-531,841,245.65","250,443,651.90"
购买商品、接受劳务支付的现金,"189,326,824.17","287,123,218.67","167,250,485.12","299,185,270.35","317,931,633.95","83,478,062.27","173,159,448.95","273,400,068.48","430,897,802.65","144,751,970.46","307,466,091.48","471,514,124.51","695,467,198.18","171,081,466.27","310,448,267.37","482,269,009.32","620,715,042.48","184,596,334.49","340,913,220.14","551,374,082.70","741,231,985.33","212,398,814.17","435,351,554.48","715,975,479.16","959,609,807.23","279,662,880.90","556,598,021.43","908,555,074.82","1,189,367,781.70","311,153,694.61","635,420,819.40","907,774,698.62","1,422,216,299.08","442,958,373.69","853,005,386.41","1,383,670,842.27","1,863,320,997.62","526,926,211.53"
吸收投资收到的现金,,"48,000,000.00",,,"586,900,000.00",,,,,,,,,,,,,,,,,,,,,,,,"2,975,999,995.20",,,,,,,,,
