科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"119,165,801.78","155,028,799.25","192,366,900.59","42,527,022.51","94,206,179.20","141,749,711.74","207,548,143.71","45,677,357.28","107,041,220.15","159,385,542.06","255,573,324.71","101,029,446.88","212,212,211.64","295,535,640.09","382,109,453.03","57,375,054.35","118,259,017.31","172,579,221.82","251,053,920.13","66,099,850.07","142,258,614.67","200,382,311.95","291,916,097.74","79,177,840.62","161,173,948.01","228,719,290.62","316,593,978.88","76,889,222.52","162,210,667.60","242,527,130.13"
二、营业利润,"8,235,158.94","12,225,667.13","24,261,352.05","5,207,928.60","13,934,009.48","16,742,098.07","25,199,411.63","6,489,901.84","15,643,718.46","26,029,667.46","42,443,231.88","16,553,487.79","27,133,465.90","37,502,074.41","43,225,786.55","3,911,135.99","5,704,979.15","3,772,764.37","3,691,667.39","1,985,473.26","3,425,425.14","4,480,094.64","3,737,971.33","3,302,763.81","8,127,693.33","11,544,156.94","17,976,818.28","6,060,989.31","14,542,276.61","18,511,247.36"
减:营业成本,"93,058,759.90","125,630,516.23","145,579,910.92","31,395,304.28","68,744,214.69","104,131,659.26","153,707,936.16","32,630,595.81","73,633,802.20","106,460,904.46","170,868,427.61","73,538,673.27","157,203,926.00","219,820,026.37","286,519,757.89","44,562,849.17","92,611,022.09","137,952,751.34","203,922,648.00","54,700,679.08","117,773,666.97","162,989,198.68","236,253,929.32","66,604,495.85","131,566,915.58","183,827,430.68","251,732,113.55","60,888,528.43","128,752,755.88","190,941,572.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"504,998.72","700,225.69","1,437,610.36","267,669.75","657,311.62","961,819.46","1,345,895.10","49,346.14","452,844.25","786,558.95","1,308,561.04","831,773.37","1,607,258.30","1,986,717.14","2,176,363.35","250,099.41","253,714.90","301,058.83","739,685.68","372,541.60","1,041,497.48","1,291,014.13","2,074,015.70","752,442.16","1,245,654.97","1,258,916.38","3,133,908.76","624,895.58","1,390,873.28","2,410,233.72"
营业外收入,"3,346,261.81","1,493,384.14","1,432,843.33","86,050.29","1,084,547.19","1,202,911.04","3,972,807.77","274,143.15","1,668,920.19","1,893,892.84","2,134,522.52","1,672,954.13","3,295,962.94","3,639,799.57","8,556,677.58","456,111.89","1,021,718.83","1,783,203.43","2,801,797.32","1,270,899.84","1,697,399.13","2,086,839.90","3,827,636.72","377,494.80","1,793,672.77","4,012,857.53","7,145,402.40","704,239.57","1,654.92","76,662.70"
销售费用,"3,329,651.76","3,858,636.70","5,269,932.36","1,415,882.82","2,929,601.69","7,046,111.42","11,570,269.58","3,134,818.93","9,330,448.36","11,945,740.21","18,256,297.25","2,714,216.07","10,289,434.69","13,905,209.60","17,979,119.65","2,847,555.61","6,473,698.26","10,562,789.55","14,507,522.76","2,990,117.68","6,378,681.45","10,275,101.63","19,086,959.95","4,185,566.49","9,625,016.35","14,545,084.75","19,922,016.35","3,973,623.67","7,160,340.44","11,344,132.29"
减:营业外支出,"199,842.46","182,707.09","96,253.16","47,980.69","47,980.69","87,489.58","87,489.58","20,018.00","35,518.00","246,913.42","2,733,500.10","332,225.37","392,225.37","512,025.37","563,212.83","1,788.78","1,788.79","1,788.79","1,788.79","20,000.00","70,000.01","80,000.01","180,000.00","4,925.00","18,295.11","64,302.49","2,328,034.65","19,958.00","164,420.17","164,420.17"
管理费用,"8,852,685.27","7,520,622.46","10,688,983.68","3,015,745.74","5,719,211.09","9,687,795.23","12,549,470.14","3,058,426.99","7,818,035.22","12,691,351.61","19,631,026.21","5,038,680.43","11,608,423.07","15,692,788.53","21,728,547.47","4,330,738.72","9,966,291.67","14,759,318.79","20,798,620.76","3,970,467.69","9,197,896.12","14,148,437.14","22,517,886.02","6,067,923.24","13,092,336.65","20,916,033.49","27,415,154.15","5,392,897.91","11,727,962.37","21,275,872.65"
其中:非流动资产处置净损失,"55,070.38","148,827.44","23,000.00",,,,"10,940.00",,,,"2,587,982.10",,"332,225.37","332,225.37","338,359.98",,,,,,,,,,"13,370.11","43,127.49","2,306,859.65",,"74,462.17","74,462.17"
