科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"4,477,788,986.19","7,002,324,403.54","6,946,422,540.50","3,719,723,628.28","5,609,281,294.62","7,486,015,294.21","1,856,144,626.73","4,047,544,579.89","6,341,829,530.76","8,533,354,432.84","1,911,670,816.05","4,044,592,068.92","5,980,793,894.89","7,966,930,995.02","1,902,239,247.03","3,751,786,885.72","5,711,165,950.21","7,978,014,979.14","1,566,702,793.27","3,262,679,920.80","5,162,405,979.78","7,308,257,703.36","1,786,218,860.52","4,008,327,416.40","6,293,801,128.03","8,715,345,271.66","2,050,544,594.05"
二、营业利润,"59,544,923.82","125,730,939.31","122,363,017.41","56,463,925.60","78,809,334.28","94,492,977.23","20,394,670.06","50,837,755.01","76,671,808.83","105,599,252.71","20,140,865.70","55,947,978.27","94,172,193.73","143,063,354.09","28,695,729.86","70,256,381.32","124,242,366.16","178,358,727.64","36,438,946.25","153,786,164.93","258,267,203.11","255,092,158.20","78,915,324.78","195,277,917.16","278,961,477.30","354,045,925.72","98,855,883.55"
减:营业成本,"4,185,001,748.56","6,599,675,958.93","6,499,879,421.50","3,505,227,111.34","5,284,831,618.43","7,048,040,544.13","1,754,754,261.42","3,832,558,290.12","6,006,649,076.86","8,065,936,602.75","1,800,632,732.19","3,796,884,923.14","5,595,944,933.38","7,407,944,157.47","1,763,055,440.47","3,444,096,809.79","5,223,550,873.70","7,282,556,523.35","1,406,372,934.04","2,870,758,292.29","4,523,896,364.05","6,376,515,115.44","1,561,051,168.60","3,519,341,128.49","5,562,460,169.90","7,714,998,711.63","1,803,032,762.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"12,878,404.79","17,874,761.68","21,546,456.00","6,575,856.12","10,830,523.91","13,486,748.20","956,216.16","2,020,003.29","3,946,168.84","7,202,966.21","2,519,746.55","5,751,584.27","7,629,627.40","8,306,088.00","452,522.08","1,168,309.14","1,630,297.73","1,703,366.55","603,144.00","1,944,072.99","3,193,294.75","7,169,543.38","1,481,532.21","3,450,389.73","5,693,298.68","8,999,822.45","1,739,310.86"
营业外收入,"10,620,000.72","6,083,250.41","11,055,290.22","6,188,456.66","6,296,754.40","8,968,385.49","489,788.16","3,140,848.97","3,904,014.13","7,208,850.18","5,586,777.39","9,244,304.40","10,984,187.38","12,685,428.97","4,510,958.88","15,321,097.00","19,047,033.98","20,988,504.27","2,635,953.26","19,569,587.19","20,368,104.51","24,094,542.73","3,345,770.09","4,672,658.37","6,164,070.91","7,065,269.85","4,144,668.20"
销售费用,"125,227,623.46","143,625,688.42","166,240,369.49","94,446,074.98","149,694,993.52","203,746,026.35","52,937,134.12","106,422,987.92","162,643,507.37","222,548,632.72","57,387,001.84","117,260,829.72","180,134,168.57","245,806,005.61","73,527,122.48","155,954,778.59","244,234,522.78","340,862,508.17","79,693,089.88","163,132,440.15","253,557,351.27","352,526,048.30","89,830,354.92","186,805,798.21","286,999,286.38","391,119,292.07","100,261,263.44"
减:营业外支出,"403,520.49","373,734.51","399,317.81","70,707.19","265,692.62","551,870.92","265,183.05","455,630.69","533,898.02","1,016,448.27","542,274.34","936,089.25","1,350,314.88","1,782,898.37","59,164.80","542,402.71","1,114,204.24","3,243,952.19","165,275.81","357,319.02","1,444,765.20","1,939,892.16","71,837.73","388,386.04","585,026.67","1,804,196.45","1,339,064.36"
管理费用,"80,642,431.43","94,621,252.13","103,639,622.46","44,013,124.05","70,268,512.83","103,660,753.62","24,768,936.23","48,371,098.97","79,706,302.29","113,440,961.60","26,207,488.04","57,757,947.81","88,259,144.01","131,135,851.67","30,197,403.73","67,451,414.20","101,452,929.66","143,230,832.26","35,323,458.91","59,968,870.25","112,127,697.09","206,468,574.25","54,322,746.68","104,860,453.36","160,249,932.85","233,191,457.23","53,823,123.66"
其中:非流动资产处置净损失,"55,622.77","266,198.59",,"34,924.55","125,789.15","248,848.03","218,750.22","305,525.70","349,800.43","788,623.93","24,585.80","206,930.68","583,180.53","822,646.25","24,133.02","433,344.98","951,416.66","1,090,966.58","120,772.11","174,805.35","224,825.14","267,822.92","61,550.06","335,881.29","375,652.22",,
