科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"528,722,589.89","636,483,034.89","702,846,630.05","116,564,256.50","255,286,424.39","405,078,630.83","696,735,362.14","56,272,907.77","254,847,742.00","332,176,688.72","638,872,098.00","99,356,540.17","253,805,459.90","314,183,997.53","697,410,129.92","65,988,206.73","216,956,773.08","248,284,484.53","349,281,703.10","52,171,219.84","602,910,864.38","948,653,925.63","1,360,718,285.33","329,637,900.17","722,974,093.34","1,117,061,471.91","1,542,358,597.10","455,022,559.77","938,023,361.86","1,451,514,500.44","2,344,834,887.05","480,390,605.75","944,704,305.40","1,503,306,471.66"
二、营业利润,"35,926,166.64","36,065,975.78","45,300,135.91","-1,516,179.96","-9,907,323.14","-20,035,586.82","24,276,172.47","-21,535,588.37","-30,881,515.43","-53,293,617.33","10,901,156.70","-23,611,083.14","-45,911,960.60","-81,870,048.36","-66,468,761.06","-39,218,006.02","-65,024,370.24","-121,356,885.89","-141,044,958.42","-9,342,658.27","99,032,268.44","159,853,104.05","254,496,572.89","50,042,834.43","118,973,234.61","190,877,533.63","291,888,262.91","76,089,572.54","169,796,139.48","270,723,041.11","434,072,904.52","71,647,894.59","196,963,661.85","322,960,781.49"
减:营业成本,"423,034,998.82","508,568,081.12","558,611,193.40","94,607,799.03","221,559,236.91","354,349,025.54","561,544,342.47","48,485,537.95","221,176,098.39","275,419,055.07","461,563,688.09","73,642,161.88","194,623,482.78","253,496,410.68","573,022,650.80","56,668,760.42","184,011,967.69","206,129,889.02","275,101,048.88","36,406,998.41","450,389,459.99","708,294,204.89","968,350,926.51","234,579,104.44","518,158,710.51","795,682,507.41","1,043,389,395.93","321,205,735.14","655,545,146.26","1,021,987,434.50","1,626,925,480.47","338,403,898.47","675,107,720.23","1,052,664,194.37"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,634,736.85","4,205,902.74","5,633,910.92","1,051,745.93","1,832,638.50","2,691,877.50","6,177,009.56","852,755.54","2,955,589.53","5,050,682.02","10,235,732.93","897,285.20","2,687,243.92","1,435,243.63","634,455.93","272,563.14","510,264.97","720,276.79","2,492,962.98","117,270.14","12,939,923.91","16,412,086.93","23,095,408.20","3,577,415.55","10,729,848.08","14,081,891.01","23,505,998.24","8,656,504.19","17,571,508.85","21,307,089.82","24,919,973.49","3,792,744.10","5,529,403.91","7,090,354.76"
营业外收入,"7,326,871.68","9,188,441.70","5,844,212.22","2,926,016.00","3,236,993.79","3,843,587.70","4,918,709.83","3,643,044.84","4,040,044.84","4,041,306.84","5,866,910.68",,"873,110.18","5,814,758.23","9,695,663.26","47,863.25","130,153.85","3,734,808.82","10,166,482.31","8,199.67","6,277,516.86","22,326,840.17","36,688,147.78","3,615,566.99","9,672,358.55","52,438,014.04","55,132,119.88","4,383,061.65","13,141,450.54","26,566,990.66","41,199,059.24","10,870,964.17","5,186,475.32","561,726.01"
销售费用,"8,890,671.47","13,130,457.30","13,573,352.63","3,465,294.55","6,423,488.09","10,525,348.74","16,685,024.58","4,347,493.13","8,224,506.01","12,478,449.64","18,398,458.38","4,634,899.78","10,129,203.14","16,141,920.09","20,892,895.63","5,028,722.85","9,160,783.52","11,464,687.77","15,078,789.29","2,339,921.15","19,170,250.76","29,071,097.19","48,722,265.69","10,665,605.68","20,973,457.57","34,607,476.14","54,400,358.64","19,610,927.39","39,250,692.80","59,153,449.16","71,668,023.03","17,295,567.04","35,795,302.86","55,275,084.83"
减:营业外支出,"1,401.17","268,000.00","150,000.00",,"5,774.60","5,856.75","5,856.75",,,"15,000.00","16,792.20","212,854.64","314,233.23","351,576.89","438,550.19",,20.42,"105,897.68","110,407.58","41,045.07","3,672.79","3,794.44","47,667.52","7,994.85","73,714.50","752,416.73","897,848.50","103,968.99","108,481.49","192,011.71","6,334,168.97","55,666.26","5,009,308.95","5,101,721.17"
管理费用,"50,541,401.34","66,588,677.11","74,249,384.75","18,303,049.58","34,592,730.53","57,095,745.15","86,833,823.95","23,608,324.99","52,166,115.48","90,212,240.19","135,993,153.39","43,093,166.21","87,580,467.30","119,219,792.31","158,998,293.26","42,737,642.69","83,082,300.68","113,591,584.16","158,147,771.57","22,273,158.24","34,102,869.64","50,989,957.07","83,660,408.56","31,956,001.15","58,898,901.78","81,895,349.61","124,316,850.43","45,494,988.59","86,832,152.21","131,582,652.66","199,572,431.01","55,550,934.71","99,191,820.61","163,827,144.48"
其中:非流动资产处置净损失,,,,,,,,,,,"1,792.20","211,854.64","92,853.23","96,687.84","146,511.64",,,"83,190.54","85,895.50",,"1,652.00","1,652.00","45,381.39",,"11,329.82","66,510.80","754,385.83","69,531.29","70,143.79","130,473.83","6,231,493.06","29,367.67","3,559,943.77","3,608,709.39"
