科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"181,712,798.92","163,698,334.64","225,131,613.05","203,509,148.18","372,762,653.83","203,618,140.69","339,525,367.25","395,920,874.84","263,153,772.62","300,953,973.59","340,541,727.46","330,194,351.21","265,274,990.90","219,305,941.72","301,360,175.06","237,973,862.18"
短期借款,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"5,720,000.00",,"3,000,000.00","1,000,000.00","10,300,000.00",,"200,000.00","2,300,000.00",,,,,,,"1,395,869.60",
应付票据,"84,599,115.90","81,307,984.34","62,507,133.57","64,419,555.65","78,089,800.23","75,541,935.51","63,569,721.56","50,558,358.21","70,309,839.45","85,361,551.57","86,562,324.99","88,567,221.45","95,825,158.73",,"93,055,730.19",
应收账款,"85,513,665.07","104,820,545.22","126,650,374.95","134,843,484.87","149,787,903.47","137,494,115.08","131,867,584.02","132,248,371.83","149,549,134.30","162,403,299.97","154,052,824.59","128,558,610.46","129,725,575.49","161,735,933.94","146,494,466.41","153,628,406.84"
应付账款,"111,702,815.03","132,607,782.42","119,945,555.30","124,283,868.77","117,225,612.98","116,137,535.90","123,673,816.24","114,041,501.23","134,317,973.50","145,769,749.74","139,129,692.93","138,638,017.99","155,206,781.26",,"182,118,649.01",
预付款项,"16,084,617.31","8,179,507.00","16,138,797.02","23,944,368.11","21,372,451.75","27,945,885.93","22,108,172.59","28,213,139.65","35,015,204.23","45,065,362.68","23,052,063.16","37,343,620.64","39,509,845.72","70,582,016.06","24,870,476.14","27,879,677.86"
预收款项,"302,878,383.48","306,688,094.51","331,706,621.02","305,951,656.40","317,991,621.83","292,881,886.88","309,392,548.94","316,454,458.45","310,625,307.59","346,653,509.29","354,428,175.00","387,320,688.22","334,641,061.62","368,362,110.95","423,373,578.00","382,232,225.08"
其他应收款,"5,878,198.65","3,238,104.95","2,101,709.87","2,365,083.20","2,861,078.17","2,621,311.00","1,497,131.46","3,164,384.18","1,211,016.25","1,601,815.30","1,010,556.86","2,390,027.73","2,083,596.34","11,737,523.20","2,872,700.59","2,886,235.28"
