科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"10,533,905,232.00","11,654,636,723.00","11,888,571,159.00","5,958,438,798.52","8,652,362,287.88","12,104,384,583.10","2,658,761,504.57","5,835,265,291.75","8,501,013,586.88","11,664,639,956.72","2,513,442,717.64","5,526,311,854.83","7,760,860,509.04","9,774,840,619.81","2,465,805,538.70","5,649,465,364.78","8,427,089,966.68","10,159,448,631.12","2,738,708,966.72","5,395,996,826.22","7,675,682,035.39","9,449,607,124.08","2,068,824,107.97","4,046,531,675.85","5,679,739,479.50","7,077,067,312.62","1,558,243,409.59","3,442,748,680.05"
取得子公司及其他营业单位支付的现金净额,,"119,917,669.00","91,691,534.00","15,522,798.51","15,522,798.51","313,234,238.51","126,978,619.33","127,279,210.14","127,279,210.14","128,045,767.48",,"40,391,854.48","40,391,854.48","37,255,584.76",,,,,,,,,,,,"5,283,896.52",,
收到的税费返还,"49,786,194.00","48,727,059.00","70,597,542.00","24,780,298.40","32,709,803.90","46,194,752.91","4,480,887.36","13,598,944.56","27,515,855.20","44,276,669.02","20,849,652.42","28,078,960.95","36,602,254.57","44,425,394.37","7,874,710.92","23,161,023.73","31,734,362.57","55,853,125.40","17,412,364.91","21,166,012.10","26,989,641.12","33,593,473.23","13,257,063.85","16,456,639.56","23,459,112.93","35,635,006.64","24,714,463.73","46,184,165.70"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,,,,,
收到其他与经营活动有关的现金,"220,854,229.00","1,057,567,220.00","1,057,898,244.00","179,066,669.76","-309,376,858.89","415,616,583.37","-567,158,047.73","-708,598,798.26","-511,376,043.41","-323,816,488.14","-343,053,957.87","-514,453,798.31","-1,155,292,437.43","283,918,877.46","-528,159,661.44","-425,109,505.43","91,094,185.13","89,960,837.82","56,421,328.77","87,361,142.92","21,141,344.12","76,256,639.30","46,267,425.51","51,622,625.29","75,759,333.87","332,549,938.91","17,380,738.69","17,582,776.91"
投资活动现金流出小计,"204,679,560.00","1,019,057,188.00","891,431,005.00","355,020,950.32","616,687,551.53","898,748,836.71","245,784,149.08","453,816,885.76","693,637,739.33","742,124,657.27","380,923,032.80","1,011,114,737.32","1,378,324,488.23","854,114,402.79","222,343,552.79","928,910,453.05","1,073,067,644.62","958,054,838.39","160,224,214.65","553,323,866.65","677,565,449.97","773,205,858.35","174,334,310.43","212,987,585.44","629,037,389.31","624,436,364.11","199,663,722.16","235,581,443.17"
经营活动现金流入小计,"10,804,545,655.00","12,760,931,002.00","13,017,066,945.00","6,162,285,766.68","8,375,695,232.89","12,566,195,919.38","2,096,084,344.20","5,140,265,438.05","8,017,153,398.67","11,385,100,137.60","2,191,238,412.19","5,039,937,017.47","6,642,170,326.18","10,103,184,891.64","1,945,520,588.18","5,247,516,883.08","7,660,000,283.74","9,712,765,641.83","2,748,712,228.08","5,543,251,331.78","7,295,375,061.45","10,237,459,124.52","2,172,484,857.50","3,870,549,870.03","5,825,413,542.45","8,111,603,091.70","1,251,921,898.04","3,346,333,253.43"
投资活动产生的现金流量净额,"-54,193,610.00","-863,852,183.00","-593,329,703.00","-231,651,292.48","-482,903,437.27","-747,469,097.08","-190,219,736.77","-362,126,485.49","-496,017,216.83","-516,092,225.98","-378,365,379.51","-666,163,511.97","-751,564,907.97","-651,099,306.24","-53,280,448.74","-665,197,231.67","-776,438,531.81","-643,001,833.63","-156,236,209.93","-336,699,358.99","-601,233,385.80","-679,988,523.01","-161,138,099.60","465,510,144.17","-357,810,861.93","-308,423,718.05","672,659,303.10","703,192,493.85"
购买商品、接受劳务支付的现金,"8,960,528,209.00","9,946,191,202.00","10,226,453,006.00","5,148,367,657.79","7,418,403,433.07","9,575,627,206.49","2,220,890,989.95","4,925,592,628.58","7,093,452,019.16","9,155,470,042.37","2,061,615,798.06","3,824,729,899.69","5,438,800,534.05","7,412,911,085.98","1,683,558,248.06","3,268,505,005.88","4,649,670,112.86","6,153,518,040.32","1,468,169,108.41","3,745,481,592.14","4,888,449,393.08","6,809,240,522.03","1,809,924,118.55","3,805,648,723.87","4,903,583,022.37","6,280,170,107.48","1,371,296,245.75","2,824,666,434.40"
吸收投资收到的现金,"54,818,000.00","22,000,000.00","6,600,000.00","15,400,000.00","876,350,000.00","876,350,000.00","50,960,000.00","50,960,000.00","50,960,000.00","50,960,000.00",,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"545,581,089.00","658,603,778.00","761,359,591.00","383,915,787.82","577,104,764.54","967,094,321.58","274,121,745.71","548,183,635.18","819,123,471.45","1,108,913,235.28","294,926,872.33","567,178,422.92","859,859,122.46","1,158,039,580.57","291,225,705.22","608,412,477.34","903,625,230.31","1,231,694,475.04","315,030,710.91","626,608,804.77","924,129,494.15","1,235,418,041.24","323,237,438.41","602,526,396.59","906,631,637.43","1,208,209,391.29","296,685,237.02","547,113,586.05"
取得借款收到的现金,"307,000,000.00","1,322,482,970.00","1,991,860,461.00","578,531,024.13","1,196,998,972.13","1,244,114,482.26","121,701,300.00","239,833,700.00","278,155,167.94","1,900,913,867.94","120,000,000.00","490,000,000.00","1,690,007,740.00","1,852,805,450.91",,"154,231,070.00","1,419,231,400.00","1,627,890,025.00","23,609,830.00","30,829,380.00","777,803,230.00","1,628,696,680.00","36,722,250.00","36,722,250.00","1,753,202,850.00","2,932,328,850.00","150,000,000.00","537,807,500.00"
