科目,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"33,842,930.30","189,994,734.59","132,127,856.06","94,828,065.60","90,965,007.62","140,864,385.57","98,495,815.07","81,441,770.57","138,396,915.50","136,263,361.05","69,776,844.16","52,725,227.37","86,261,268.64","120,683,876.42","80,483,218.89","176,215,498.98","133,045,113.17","186,895,116.79","91,292,720.84","148,549,257.65","168,318,867.34","179,900,211.08","132,625,454.12","139,920,673.65","125,208,112.78","94,800,681.78","108,386,196.96","77,753,896.64","51,312,819.98","74,599,031.94","38,882,571.79","28,193,420.37","37,755,161.68","106,808,340.54","100,739,119.50","96,361,086.38","67,698,885.71","109,588,689.21","93,459,139.67","89,305,110.91","51,723,856.64"
短期借款,"42,850,000.00","82,750,000.00","82,850,000.00","84,000,000.00","98,000,000.00","111,000,000.00","111,000,000.00","125,500,000.00","183,520,000.00","191,900,000.00","366,000,000.00","370,000,000.00","413,295,000.00","453,144,221.31","460,223,495.31","621,195,395.60","580,100,000.00","486,590,000.00","402,990,000.00","460,574,184.07","511,634,184.07","520,600,000.00","549,628,121.34","563,265,279.16","529,360,000.00","444,480,000.00","484,509,148.38","351,100,000.00","218,000,000.00","168,000,000.00","90,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"2,100,000.00","1,100,000.00",,,"459,486.60","400,000.00",,"1,400,000.00",,"6,500,000.00",,"701,899.90","965,485.40","1,467,017.00","6,674,904.97","10,392,137.34","5,190,000.00","610,000.00","4,524,567.60","2,795,056.00","1,300,000.00","1,520,000.00","4,750,000.00","4,050,000.00","1,130,000.00","4,050,000.00","950,000.00","8,354,000.00","3,795,354.62","2,472,621.36","8,039,118.54","20,422,705.40","5,032,500.00",,"37,419,402.21","34,662,506.53","34,334,265.08","23,648,177.01","28,715,425.32"
应付票据,,,,,"19,749,386.60","19,990,152.50","19,990,152.50","20,000,000.00","61,441,000.00","61,441,000.00","20,000,000.00","20,000,000.00","46,660,000.00","41,660,000.00","20,000,000.00","21,080,000.00","14,600,000.00","84,749,610.98","127,419,615.19","82,662,503.81","67,579,429.44","63,507,014.53","109,190,088.90","139,433,483.19","170,464,898.19","128,261,415.00","144,708,732.61","103,567,710.00","15,000,000.00","3,000,000.00",,"2,500,000.00","3,130,186.00",,,,,,,,
应收账款,"62,706,235.77","130,910,223.71","67,276,082.87","73,786,201.49","123,188,221.17","121,507,722.87","94,668,065.57","140,044,064.97","129,336,748.19","189,001,881.11","157,001,585.62","156,912,910.32","209,561,667.08","218,219,467.51","191,557,961.11","284,059,850.60","329,764,556.81","284,148,245.52","167,921,381.81","346,093,362.31","230,114,312.34","202,616,267.12","171,729,531.28","216,158,115.55","215,123,984.96","264,860,377.71","261,775,602.20","96,378,300.70","128,217,631.68","80,754,637.29","81,783,176.53","81,964,626.46","116,257,598.50","92,901,273.75","96,636,402.65","88,275,756.33","78,027,303.86","71,692,652.86","97,532,423.39","127,726,673.53","127,905,260.81"
应付账款,"36,600,821.96","73,764,444.67","5,084,065.46","18,664,442.10","24,137,408.85","7,904,103.02","2,933,366.48","39,044,444.44","26,510,805.55","45,983,921.65","40,479,760.92","24,957,257.80","88,021,948.48","78,409,953.90","86,608,781.93","86,014,020.79","120,893,155.47","163,022,148.59","69,294,789.70","121,388,203.06","91,745,816.66","145,248,771.06","41,946,904.94","66,061,564.44","28,485,725.80","37,272,703.86","49,466,574.72","87,174,916.49","42,104,080.58","42,146,826.91","48,352,077.35","26,869,700.41","33,131,467.23","82,299,000.66","83,514,487.83","87,993,530.72","86,447,639.17","44,314,562.41","42,892,177.68","60,982,171.36","66,594,432.36"
预付款项,"15,314,728.00","11,197,045.39","31,623,082.32","60,557,137.18","20,414,374.35","12,301,953.80","36,524,818.62","85,847,297.54","101,016,461.45","117,413,681.13","128,483,448.92","190,331,008.68","209,719,316.50","115,454,918.58","178,139,125.88","180,873,250.15","146,702,221.62","114,918,531.45","187,931,696.52","97,379,128.67","99,874,469.92","63,991,184.51","87,892,700.90","144,889,036.60","93,943,997.59","25,843,447.21","28,276,585.70","9,126,669.30","21,452,382.22","5,972,563.07","13,288,679.99","20,742,339.93","357,143.22","1,503,882.67","5,889,579.95","1,825,608.98","2,113,606.22","1,266,825.43","832,396.17","10,068,289.25","21,898,318.35"
预收款项,"8,788,524.80","6,508,705.84","9,334,324.54","33,530,165.49","31,122,307.19","9,007,492.25","21,520,435.88","128,957,875.28","154,693,992.34","174,115,073.25","213,981,849.73","374,127,829.61","245,664,744.83","27,348,557.36","192,147,335.32","438,054,859.55","276,138,208.19","113,244,499.11","204,612,566.77","307,503,427.50","247,920,536.55","43,251,330.54","26,276,322.73","121,767,249.97","72,384,328.41","27,749,946.41","57,573,236.55","45,284,364.42","43,609,211.92","26,066,671.62","33,498,637.70","26,841,421.92","28,750,871.67","30,365,303.47","23,673,337.02","8,694,876.52","13,764,376.69","9,181,700.00","8,278,500.00","14,965,363.95","27,111,840.32"
