科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"240,203,954.36","600,296,269.06","576,834,746.59","319,599,575.06","714,027,854.98","120,231,394.80","295,053,667.19","431,681,892.88","823,709,111.83","192,032,967.08","328,718,634.50","519,317,306.63","959,429,769.50","149,922,831.30","291,439,689.67","554,722,054.61","931,977,746.73","160,509,420.55","381,852,526.67","693,492,780.79","959,049,850.78","239,875,154.36","381,616,281.57"
取得子公司及其他营业单位支付的现金净额,"1,483,042.20",,,,,,,,,,,"3,034,518.76","5,013,434.31","149,090,000.00","136,042,225.92","136,042,225.92","135,595,225.92","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,
收到的税费返还,"2,618,902.79","1,562,881.03","726,471.83","556,161.78","807,384.88","298,654.41","349,175.27","511,503.47","2,366,316.20","600,578.95","1,053,235.87","1,931,921.88","3,626,151.28","736,510.49","1,772,249.29","4,142,749.27","6,715,737.52","2,244,166.71","3,482,857.63","6,335,473.34","8,244,053.24","1,331,436.66","3,169,007.66"
支付其他与投资活动有关的现金,,,,,,"30,000,000.00","341,092,421.39","389,894,671.39","463,146,894.35","25,588,321.67","107,668,077.80","107,969,324.10","283,078,920.44","50,090.16","118,841.97","50,203,458.21","10,487,699.01","21,080,901.70","1,512,250.95","110,071,195.10","791,683,374.90","137,118,239.31","10,000,000.00"
收到其他与经营活动有关的现金,"11,308,039.40","5,647,834.82","7,134,105.50","1,478,391.27","14,049,084.70","7,644,190.21","16,357,686.49","23,741,124.67","18,689,813.28","9,171,066.01","12,908,590.38","25,440,672.62","20,805,055.30","26,970,557.45","31,541,404.54","37,294,218.02","25,355,636.07","15,380,521.51","26,985,476.42","24,941,420.20","26,843,301.29","10,297,576.79","12,462,955.06"
投资活动现金流出小计,"34,557,663.29","40,525,268.37","30,351,322.27","6,581,942.79","12,621,131.21","34,913,115.00","348,871,467.62","403,836,589.57","482,731,226.78","27,167,786.67","114,386,316.63","123,581,561.69","305,247,552.25","210,185,574.16","219,323,246.35","315,584,223.73","278,383,990.55","62,943,007.70","46,216,134.96","157,111,205.96","853,196,864.67","145,741,593.71","24,198,964.84"
经营活动现金流入小计,"254,130,896.55","607,506,984.91","584,695,323.92","321,634,128.11","728,884,324.56","128,174,239.42","311,760,528.95","455,934,521.02","844,765,241.31","201,804,612.04","342,680,460.75","546,689,901.13","983,860,976.08","177,629,899.24","324,753,343.50","596,159,021.90","964,049,120.32","178,134,108.77","412,320,860.72","724,769,674.33","994,137,205.31","251,504,167.81","397,248,244.29"
投资活动产生的现金流量净额,"-19,966,763.10","-39,602,585.51","-27,736,177.33","-3,744,368.59","-11,768,321.71","-34,870,115.00","-288,605,369.82","-341,999,195.13","-380,027,182.47","19,456,928.50","-55,013,883.35","-44,732,447.50","-230,560,408.06","-50,867,015.34","30,581,660.74","-26,527,946.55","-142,866,146.46","-56,572,750.87","-41,739,658.44","-148,565,464.32","-832,808,976.94","-24,599,755.82","206,158,680.33"
购买商品、接受劳务支付的现金,"148,731,342.42","403,645,909.98","328,903,212.68","170,762,234.74","379,361,864.57","69,145,508.63","212,938,989.20","288,453,310.16","448,805,534.68","176,246,690.32","297,515,155.95","408,565,449.28","576,023,619.92","138,590,667.55","254,136,880.29","332,410,856.25","453,999,552.13","138,915,049.40","275,520,525.23","394,861,747.55","497,367,372.35","126,855,255.18","228,798,222.30"
吸收投资收到的现金,,"28,750,000.00",,,,"207,720,969.02","216,534,296.20","250,644,296.20","216,534,296.20",,,,,"218,000.00","1,218,000.00","2,922,300.00","2,922,300.00",,,,"629,920,720.21",,"900,000.00"
支付给职工以及为职工支付的现金,"19,885,655.99","41,660,717.43","55,528,738.31","36,467,684.91","66,548,202.56","23,148,016.73","38,417,599.26","53,702,756.95","69,816,687.63","29,859,906.65","45,866,353.01","61,460,706.74","80,451,518.91","32,962,223.31","56,375,511.90","77,732,793.07","99,396,374.39","39,139,736.61","64,675,461.85","86,990,875.26","111,069,863.37","42,548,533.09","65,790,623.50"
取得借款收到的现金,"30,000,000.00",,,,,,,,,,,,"2,930,635.16","1,481,779.52","1,238,999.49","330,561.21",,,,,,"2,921,096.91","4,287,908.57"
支付的各项税费,"22,653,390.79","41,673,012.95","70,094,219.41","30,489,435.70","81,352,033.97","25,206,625.59","42,033,300.48","71,498,894.63","102,400,219.82","55,701,257.55","48,818,408.32","78,886,261.18","108,582,390.70","21,446,727.93","37,210,944.07","64,502,661.08","109,068,173.11","23,240,089.92","42,798,684.02","60,462,253.44","80,918,472.93","40,708,207.61","53,038,587.60"
收到其他与筹资活动有关的现金,,,,,,,,,"34,110,000.00",,"5,300,150.00","5,300,150.00","5,300,150.00",,,,,,,,,,"5,000,000.00"
支付其他与经营活动有关的现金,"20,444,092.05","34,807,542.24","39,212,897.75","17,278,285.82","39,256,359.90","9,815,856.16","17,476,320.13","45,590,165.29","47,944,576.56","12,106,097.43","31,493,870.47","53,396,232.23","58,027,304.91","9,340,587.52","29,642,573.25","53,717,873.95","61,109,254.99","13,770,473.81","28,000,058.11","43,977,618.66","64,179,684.59","17,023,645.07","44,921,114.07"
筹资活动现金流入小计,"30,000,000.00","28,750,000.00",,,,"207,720,969.02","216,534,296.20","250,644,296.20","250,644,296.20",,"5,300,150.00","5,300,150.00","8,230,785.16","1,699,779.52","2,456,999.49","3,252,861.21","2,922,300.00",,,,"629,920,720.21","2,921,096.91","10,187,908.57"
经营活动现金流出小计,"211,714,481.25","521,787,182.60","493,739,068.15","254,997,641.17","566,518,461.00","127,316,007.11","310,866,209.07","459,245,127.03","668,967,018.69","273,913,951.95","423,693,787.75","602,308,649.43","823,084,834.44","202,340,206.31","377,365,909.51","528,364,184.35","723,573,354.62","215,065,349.74","410,994,729.21","586,292,494.91","753,535,393.24","227,135,640.95","392,548,547.47"
偿还债务支付的现金,,"30,000,000.00",,,,,,,,,,,,,,"2,500,000.00","629,952.91","630,015.55","17,156.73","2,300,682.25","2,300,682.25",,
经营活动产生的现金流量净额,"42,416,415.30","85,719,802.31","90,956,255.77","66,636,486.94","162,365,863.56","858,232.31","894,319.88","-3,310,606.01","175,798,222.62","-72,109,339.91","-81,013,327.00","-55,618,748.30","160,776,141.64","-24,710,307.07","-52,612,566.01","67,794,837.55","240,475,765.70","-36,931,240.97","1,326,131.51","138,477,179.42","240,601,812.07","24,368,526.86","4,699,696.82"
分配股利、利润或偿还利息支付的现金,"31,680,508.42","833,786.16",,,"75,000,000.00",,"39,640,000.00","39,640,000.00","39,640,000.00",,"47,604,000.00","47,604,000.00","47,876,840.00",,"47,938,883.82","47,967,446.93","48,408,730.33","17,357.75","54,153,440.77","54,236,548.41","54,899,873.97","23,608.51","32,819,781.61"
收回投资收到的现金,"1,019,718.44",,,,,,,,,,,,,,,,,,,,"3,000,000.00","17,043,000.00","14,043,000.00"
支付其他与筹资活动有关的现金,"3,000,000.00",,,,,,"8,971,887.18","8,971,887.18","9,085,198.13",,"230,790.98","270,790.98","94,750.00",,,,"3,240,186.00",,"74,650.00","74,650.00","540,467.07","1,704,300.00","1,808,400.09"
取得投资收益收到的现金,,,,,,,"261,205.48","261,205.48","962,575.34","411,178.09","524,493.16","776,659.83","776,659.82",,,,"15,066.83",,,,"967,475.66",,"9,022,311.00"
筹资活动现金流出小计,"34,680,508.42","30,833,786.16",,,"75,000,000.00",,"48,611,887.18","48,611,887.18","48,725,198.13",,"47,834,790.98","47,874,790.98","47,971,590.00",,"47,938,883.82","50,467,446.93","52,278,869.24","647,373.30","54,245,247.50","56,611,880.66","57,741,023.29","1,727,908.51","34,628,181.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"61,819.59","40,000.00","1,865.51",,"852,809.50","43,000.00","4,892.32","102,346.61","247,194.74","28,000.00","426,700.00","429,090.00","439,460.57","50,000.00","85,000.00","365,000.00","415,705.61","270,000.00","270,000.00","271,110.00","515,593.10",,
筹资活动产生的现金流量净额,"-4,680,508.42","-2,083,786.16",,,"-75,000,000.00","207,720,969.02","167,922,409.02","202,032,409.02","201,919,098.07",,"-42,534,640.98","-42,574,640.98","-39,740,804.84","1,699,779.52","-45,481,884.33","-47,214,585.72","-49,356,569.24","-647,373.30","-54,245,247.50","-56,611,880.66","572,179,696.92","1,193,188.40","-24,440,273.13"
处置子公司及其他营业单位收到的现金净额,"12,854,785.25",,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-580,508.89","-236,112.78",,"59,474.37",,-172.66,-172.66,"-98,893.84",,"-83,905.38","-83,905.38","-617,144.51","-8,073.80","-46,409.98","50,098.36","1,648,222.54","-224,496.82","-93,993.55","-953,904.80","-641,387.59","-550,346.64","1,002,999.37"
收到其他与投资活动有关的现金,"654,576.91","882,682.86","2,613,279.43","2,837,574.20",,,"60,000,000.00","61,473,842.35","101,494,274.23","46,185,537.08","58,421,240.12","77,643,364.36","73,471,023.80","159,268,558.82","249,819,907.09","288,691,277.18","135,087,071.65","6,100,256.83","4,206,476.52","8,274,631.64","15,904,818.97","104,098,837.89","207,292,334.17"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
