科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"998,495,114.51","1,573,380,563.61","2,243,785,809.63","803,888,599.41","1,605,790,454.19","2,490,223,582.94","3,403,794,331.49","955,215,438.98","1,849,872,278.49","2,862,687,103.10","4,175,506,000.00","1,326,158,000.00","2,696,661,000.00","4,154,536,000.00","5,911,918,000.00","1,690,859,000.00","3,636,215,000.00","5,706,374,000.00","7,966,133,000.00","2,402,595,000.00","4,961,973,000.00","7,625,162,000.00","10,341,836,000.00","2,937,207,000.00","6,123,666,000.00","9,277,091,000.00","12,761,479,000.00","3,529,709,000.00","7,294,292,000.00","11,086,335,000.00","15,356,750,000.00","4,401,527,000.00","9,007,461,000.00","14,124,299,000.00","19,516,224,000.00","6,075,851,000.00","12,046,048,000.00","17,939,821,000.00","23,645,017,000.00","6,433,416,000.00","12,315,997,000.00","18,574,792,000.00","25,314,320,000.00","6,581,443,000.00","13,522,210,000.00","21,228,582,000.00","28,930,304,000.00","8,123,629,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"931,769,476.63","1,459,158,427.21","2,061,826,518.07","663,432,995.72","1,373,307,233.51","2,156,071,128.04","2,890,737,791.20","751,406,475.15","1,572,906,329.42","2,485,088,726.59","3,553,900,000.00","1,147,730,000.00","2,373,953,000.00","3,682,558,000.00","5,114,567,000.00","1,480,436,000.00","3,077,207,000.00","4,888,794,000.00","6,832,988,000.00","2,053,475,000.00","4,338,214,000.00","6,700,913,000.00","9,215,572,000.00","2,703,736,000.00","5,426,553,000.00","8,279,897,000.00","11,258,689,000.00","3,141,794,000.00","6,352,720,000.00","9,845,481,000.00","13,354,681,000.00","3,730,342,000.00","7,598,074,000.00","11,636,164,000.00","15,616,714,000.00","4,464,306,000.00","8,618,824,000.00","12,903,285,000.00","17,060,419,000.00","4,805,944,000.00","8,603,368,000.00","12,606,073,000.00","16,388,978,000.00",,"8,532,489,000.00","13,722,407,000.00","19,120,253,000.00","4,609,796,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"1,378,133,853.20","2,221,923,294.12","3,120,572,649.00","1,070,967,829.62","2,371,553,083.88","3,785,790,411.72","4,959,221,748.74","1,140,772,304.40","2,348,878,159.48","3,749,055,899.74","5,382,437,000.00","1,820,890,000.00","3,865,917,000.00","6,281,532,000.00","9,071,827,000.00","3,170,374,000.00","6,693,667,000.00","10,349,130,000.00","14,554,602,000.00","4,078,587,000.00","8,297,255,000.00","12,814,629,000.00","17,839,752,000.00","5,951,606,000.00","11,697,166,000.00","17,375,000,000.00","23,494,890,000.00","6,757,313,000.00","13,993,051,000.00","20,931,606,000.00","28,175,470,000.00","7,621,319,000.00","15,679,762,000.00","23,805,729,000.00","31,831,062,000.00","8,533,897,000.00","16,778,788,000.00","25,338,871,000.00","33,753,534,000.00","9,257,793,000.00","17,819,921,000.00","27,343,046,000.00","36,524,250,000.00",,"20,057,933,000.00","31,351,685,000.00","42,871,208,000.00","10,757,891,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"446,364,376.57","762,764,866.91","1,058,746,130.93","407,534,833.90","998,245,850.37","1,629,719,283.68","2,068,483,957.54","389,365,829.25","775,971,830.06","1,263,967,173.15","1,828,537,000.00","673,160,000.00","1,491,964,000.00","2,598,974,000.00","3,957,260,000.00","1,689,938,000.00","3,616,460,000.00","5,460,336,000.00","7,721,614,000.00","2,025,112,000.00","3,959,041,000.00","6,113,716,000.00","8,624,180,000.00","3,247,869,000.00","6,270,613,000.00","9,095,103,000.00","12,236,201,000.00","3,615,519,000.00","7,640,331,000.00","11,086,125,000.00","14,820,789,000.00","3,890,977,000.00","-8,081,688,000.00","12,169,565,000.00","16,214,348,000.00","4,069,591,000.00","8,159,964,000.00","12,435,586,000.00","16,693,115,000.00","4,451,849,000.00","9,216,553,000.00","14,736,973,000.00","20,135,272,000.00",,"11,525,444,000.00","17,629,278,000.00","23,750,955,000.00","6,148,095,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"66,447,162.26","112,712,888.45","171,297,625.78","83,654,909.36","173,045,255.04","313,943,454.28","375,327,686.70","94,433,767.23","210,382,799.20","319,391,356.88","451,521,000.00","145,442,000.00","260,275,000.00","361,066,000.00","488,581,000.00","176,606,000.00","250,179,000.00","650,324,000.00","719,131,000.00","250,266,000.00","433,640,000.00","658,123,000.00","981,762,000.00","359,320,000.00","790,253,000.00","1,226,064,000.00","1,619,336,000.00","642,247,000.00","1,232,506,000.00","1,821,958,000.00","2,485,043,000.00","817,288,000.00","1,743,056,000.00","2,905,747,000.00","3,989,790,000.00","1,541,563,000.00","3,128,256,000.00","4,690,068,000.00","6,046,615,000.00","1,657,900,000.00","3,331,973,000.00","4,731,192,000.00","5,899,937,000.00",,"2,859,261,000.00","4,298,666,000.00","5,794,164,000.00","1,775,684,000.00"
营业税金及附加,"62,968,712.62","98,882,036.90","139,784,653.51","48,008,797.46","107,228,439.67","167,680,027.04","226,684,864.34","55,159,141.70","114,882,489.90","182,156,881.85","272,466,000.00","95,856,000.00","199,123,000.00","299,638,000.00","366,365,000.00","112,167,000.00","238,392,000.00","390,780,000.00","551,735,000.00",,"315,035,000.00","499,371,000.00","682,715,000.00",,"423,695,000.00",,"771,271,000.00","202,949,000.00","413,584,000.00",,"866,826,000.00",,"506,422,000.00",,"1,057,183,000.00",,"445,203,000.00","492,524,000.00","563,896,000.00","24,866,000.00","85,428,000.00","150,486,000.00","247,472,000.00",,"109,548,000.00","161,166,000.00","200,084,000.00","48,131,000.00"
