科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"496,977,543.55","543,405,853.95","538,883,946.29","582,841,542.22","1,285,587,561.74","835,475,731.22","1,001,881,927.80","844,381,860.24","972,916,875.83","959,461,073.78","1,026,410,827.18","761,310,109.31","774,298,810.05","811,986,527.53","829,919,761.38"
短期借款,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,
应收账款,"21,250,279.88","21,130,695.58","28,435,925.25","12,817,021.94","19,880,451.00","21,575,840.79","12,362,784.66","17,534,658.86","15,909,015.02","25,646,428.89","27,062,302.95","21,875,489.51","28,766,742.50","41,829,257.65","41,755,759.17"
应付账款,"455,558,871.71","413,572,477.94","508,299,839.64","317,088,347.32","346,032,026.41","538,871,969.33","365,994,717.78","314,932,998.69","476,397,067.12","678,799,418.40","473,292,201.26","392,579,903.71",,"620,793,170.82",
预付款项,"97,583,491.30","101,096,299.05","108,919,635.58","103,043,378.92","91,984,817.25","99,050,223.57","96,016,801.06","104,763,634.49","112,834,874.36","128,990,571.01","135,441,861.56","149,184,218.52","149,299,273.09","127,670,208.35","137,670,465.33"
预收款项,"134,469,655.55","123,228,773.45","135,386,032.23","120,504,445.23","121,498,780.47","135,997,016.44","126,270,908.14","120,639,451.44","125,268,074.84","124,515,304.62","132,630,066.09","99,421,481.15","111,126,051.19","114,211,814.93","111,992,520.47"
其他应收款,"60,764,564.48","61,159,348.90","68,282,824.31","58,969,866.74","51,550,858.36","45,972,412.14","46,000,733.48","42,158,939.45","50,739,495.78","52,537,938.36","55,415,492.57","58,078,421.37","58,682,093.55","57,928,665.18","57,760,490.44"
应付职工薪酬,"256,867.35","823,508.88","812,183.79","2,001,695.52","2,184,583.74","953,402.81","19,604,001.56","1,878,261.88","2,171,809.59","3,947,277.87","7,187,349.57","2,188,875.21","3,346,597.03","3,679,722.37","11,869,993.30"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"24,343,360.56","46,166,605.81","35,793,495.72","20,376,660.53","40,678,450.91","58,763,716.81","48,994,506.94","23,379,209.17","41,489,069.00","35,612,535.73","52,353,542.30","27,276,423.34","36,215,767.03","30,877,963.94","34,991,307.76"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"1,080,032.00","1,080,032.00","492,624.00","492,624.00"
存货,"272,076,095.12","224,584,002.59","267,369,570.01","134,144,094.08","169,231,932.07","293,508,318.04","182,714,090.98","163,296,119.94","261,502,922.25","417,450,142.68","264,522,146.09","228,244,660.52","259,789,718.08","384,615,289.77","241,803,723.84"
其他应付款,"73,316,487.22","96,998,585.40","115,126,696.67","132,536,645.88","136,250,587.64","151,252,760.94","167,148,206.15","169,309,607.47","217,919,956.28","176,772,540.14","165,516,490.64","139,336,773.41","143,641,041.92","161,590,631.63","152,350,543.55"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,"20,203,444.40","20,203,444.40"
其他流动资产,,,,,,"625,194,362.60","511,221,564.43","510,094,935.47","520,860,197.89","552,339,479.18","496,265,997.66","521,931,518.20","525,782,454.98","530,720,079.70","525,464,623.71"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"948,651,974.33","951,376,200.07","1,011,891,901.44","891,815,903.90","1,618,235,620.42","1,920,776,888.36","1,850,197,902.41","1,682,230,148.45","1,934,763,381.13","2,136,425,633.90","2,005,118,628.01","1,740,624,417.43","1,796,619,092.25","1,954,750,028.18","1,834,374,823.87"
流动负债合计,"687,945,242.39","680,789,951.48","795,418,248.05","592,507,794.48","646,644,429.17","885,838,866.33","728,012,340.57","630,139,528.65","863,245,976.83","1,019,647,076.76","830,979,649.86","661,883,488.82","742,710,918.24","951,356,748.09","761,166,983.77"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,"67,021,786.00","67,021,786.00","65,534,066.00","47,575,409.60","21,700,087.20","21,700,087.20"
长期股权投资,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,
投资性房地产,"142,740,946.56","191,173,757.31","185,406,367.48","182,522,672.56","181,080,825.12","194,381,690.57","192,618,096.15","190,854,501.74","189,090,907.33","187,327,312.92","185,563,718.50","183,800,124.10","182,379,340.04","180,272,935.29","178,509,436.55"
预计负债,"630,000.00",,,,,,,,,,,,,,
固定资产,"321,980,766.51","248,383,071.69","528,601,388.94","515,852,861.86","513,666,919.59","497,252,973.73","492,898,070.35","525,092,709.31","520,850,826.33","530,697,527.69","527,227,371.67","522,794,900.31","520,343,124.38","530,623,565.16","519,447,633.55"
递延所得税负债,,"977,016.33","1,012,700.77","994,689.49","1,044,543.92","1,030,529.61","1,032,689.36","1,001,579.48","1,097,781.89","1,508,693.36","1,588,876.93","1,988,442.07","2,215,146.85","2,783,203.00","2,592,034.53"
在建工程,"4,659,358.05","124,686,009.52","36,930,406.38","36,930,406.38","38,849,225.38","36,930,406.38","36,930,406.38",,,"1,366,037.74","1,366,037.74","1,594,339.62","2,926,853.78","2,324,137.96","3,788,095.07"
其他非流动负债,,,,,"2,581,483.21",,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"1,123,633.32","3,825,549.61","3,708,634.01","3,614,322.71","3,626,027.13","8,623,862.81","8,425,372.55","8,193,612.66","8,011,665.06","75,166,212.52","74,968,246.08","73,601,941.21","55,591,839.58","36,480,346.35","34,963,366.90"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"689,068,875.71","684,615,501.09","799,126,882.06","596,122,117.19","650,270,456.30","894,462,729.14","736,437,713.12","638,333,141.31","871,257,641.89","1,094,813,289.28","905,947,895.94","735,485,430.03","798,302,757.82","987,837,094.44","796,130,350.67"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","243,719,300.00","243,719,300.00","243,719,300.00","341,207,020.00","341,207,020.00","340,756,360.00","340,756,360.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"380,661,527.86","388,970,839.86","388,970,839.86","388,970,839.86","989,181,839.86","990,908,198.42","990,908,198.42","990,908,198.42","1,059,298,684.42","1,068,826,179.75","1,074,699,136.18","982,963,584.13","988,221,301.36","980,893,113.60","983,334,435.98"
无形资产,"51,933,060.97","37,841,851.09","35,251,464.76","34,171,734.14","33,651,711.89","33,131,689.64","32,611,752.98","32,261,948.16","31,919,230.53","32,095,040.89","31,827,463.63","31,799,545.65","31,561,866.06","33,051,429.23","32,668,110.89"
盈余公积,"25,624,515.07","30,108,443.98","33,295,174.94","33,295,174.94","33,295,174.94","37,726,357.10","37,726,357.10","37,726,357.10","37,726,357.10","48,342,690.56","48,342,690.56","48,342,690.56","48,342,690.56","60,054,426.06","60,054,426.06"
开发支出,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,"67,021,786.00","67,021,786.00","67,021,786.00","65,534,066.00","47,575,409.60","41,903,531.60","49,141,990.09"
商誉,,,,,,,,,,,,,,,
未分配利润,"261,639,167.41","347,911,674.90","476,313,447.36","545,559,420.29","556,483,010.58","605,997,003.00","680,657,920.88","608,603,925.48","622,157,638.30","612,750,571.84","655,074,250.37","552,276,551.26","528,670,621.25","513,660,103.21","578,497,096.12"
长期待摊费用,"52,042,382.68","58,130,996.77","60,853,528.23","67,116,670.81","67,203,396.37","68,457,411.51","64,446,301.14","69,861,212.52","72,873,347.41","91,047,487.03","87,582,673.05","94,867,730.22","102,573,860.19","102,720,212.03","89,473,327.77"
少数股东权益,,,,,,,,,,,,,,,
递延所得税资产,"14,985,596.95","20,014,573.38","18,771,286.99","15,537,302.63","16,542,782.92","18,163,227.47","16,027,660.11","15,271,102.13","17,640,142.97","22,471,205.26","22,075,594.45","19,260,152.65","20,764,844.69","29,534,905.86","26,591,243.04"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,"8,020,352.00","24,778,008.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"588,342,111.72","680,230,259.76","865,814,442.78","852,131,648.38","850,994,861.27","848,317,399.30","835,532,287.11","833,341,473.86","832,374,454.57","865,004,611.53","855,642,859.04","854,116,792.55","860,549,889.14","886,547,537.53","875,255,854.87"
所有者权益(或股东权益)合计,"847,925,210.34","946,990,958.74","1,078,579,462.16","1,147,825,435.09","1,818,960,025.38","1,874,631,558.52","1,949,292,476.40","1,877,238,481.00","1,895,880,193.82","1,906,616,956.15","1,954,813,591.11","1,859,255,779.95","1,858,866,223.57","1,853,460,471.27","1,913,500,328.07"
资产总计,"1,536,994,086.05","1,631,606,459.83","1,877,706,344.22","1,743,947,552.28","2,469,230,481.68","2,769,094,287.66","2,685,730,189.52","2,515,571,622.31","2,767,137,835.71","3,001,430,245.43","2,860,761,487.05","2,594,741,209.98","2,657,168,981.39","2,841,297,565.71","2,709,630,678.74"
负债和所有者(或股东权益)合计,"1,536,994,086.05","1,631,606,459.83","1,877,706,344.22","1,743,947,552.28","2,469,230,481.68","2,769,094,287.66","2,685,730,189.52","2,515,571,622.31","2,767,137,835.71","3,001,430,245.43","2,860,761,487.05","2,594,741,209.98","2,657,168,981.39","2,841,297,565.71","2,709,630,678.74"
