科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"3,665,097.28","5,336,888.40","49,751,335.52","28,669,041.16","189,822,497.15","959,277,458.80","990,560,465.37","969,753,536.81","905,978,246.43","364,353,549.92","379,088,117.27","813,750,140.95","907,739,720.91","1,075,241,606.14","1,470,958,032.26","1,506,523,262.75","1,159,118,849.42","1,283,581,053.99","1,484,418,686.62","1,625,366,096.48","2,637,360,522.28","2,644,613,497.27","2,733,342,938.23","3,209,640,391.98","2,766,456,762.53","437,778,849.49","361,614,519.43","1,013,516,821.78","1,616,623,775.60","868,244,750.46","2,700,871,846.79","1,499,084,840.93","1,570,690,889.42","192,643,994.18","508,901,733.15"
短期借款,"88,000,000.00","80,800,000.00","101,500,000.00","210,000,000.00","290,000,000.00","290,000,000.00","315,000,000.00","290,000,000.00","230,000,000.00","510,000,000.00","510,000,000.00","630,000,000.00","1,030,000,000.00","1,231,381,850.40","1,709,381,850.40","943,000,000.00","796,000,000.00","968,000,000.00","1,158,000,000.00","1,511,000,000.00","1,604,000,000.00","1,604,000,000.00","1,621,000,000.00","2,221,000,000.00","2,382,800,000.00","2,860,000,000.00","2,960,000,000.00","3,350,000,000.00","4,110,000,000.00","4,960,000,000.00","4,578,686,968.02","3,812,309,576.15","3,676,148,275.07","3,655,190,000.00","3,818,159,021.14"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"100,000.00",,,"842,000.00","950,000.00",,"9,000,000.00",,,"1,000,000.00","5,380,000.00",,"1,050,000.00",,"5,471,348.00","130,000.00","2,000,000.00","986,591.00","4,728,079.91","3,325,261.10","200,000.00","2,435,031.30","2,036,900.00","2,036,137.88","2,991,520.00","400,000.00","3,784,665.00","7,552,899.54","8,146,231.20","5,379,913.30","26,692,728.93","10,221,670.62"
应付票据,,"40,000,000.00","66,000,000.00","64,000,000.00","26,900,000.00","9,900,000.00","17,000,000.00","10,000,000.00",,,,,,"100,000,000.00","100,000,000.00",,,,,,,,,,,,,,,,,,,,
应收账款,"8,296,122.16","38,003,959.40","67,847,294.29","44,884,285.08","46,614,891.30","54,846,545.30","66,627,228.39","72,462,811.66","82,137,935.40","21,895,522.20","72,332,250.79","85,659,925.61","74,871,311.38","59,656,249.95","65,994,061.14","65,999,662.78","62,642,754.50","63,425,974.25","61,102,766.47","66,882,309.10","79,777,097.81","70,507,401.65","64,737,965.26","88,428,263.65","87,779,544.71","80,560,191.17","59,077,695.13","75,446,424.85","85,681,607.86","106,843,247.98","107,926,167.86","113,058,682.66","135,398,739.16","151,324,723.05","292,432,533.49"
应付账款,"68,611,868.39","19,315,868.78","17,591,332.52","13,292,409.76","15,681,873.96","12,556,374.42","22,911,331.09","18,463,445.98","13,366,602.35","16,619,071.43","18,921,849.92","20,997,503.06","28,214,826.34","45,556,090.80","32,409,973.68","76,778,554.91","68,581,521.99","111,464,640.04","88,421,733.83","95,496,685.39","103,038,257.45","101,874,865.99","122,309,197.10","112,313,437.38","208,804,286.85","530,658,322.71","219,242,099.63","1,584,242,524.15","1,738,413,598.34","587,400,389.73","390,093,329.86","319,116,569.50","394,164,760.98","348,381,284.01","408,704,585.27"
预付款项,"21,446,553.51","37,802,802.95","121,657,385.04","177,409,253.02","184,007,558.49","106,138,344.18","86,867,279.13","99,097,171.09","228,787,936.71","653,326,183.98","624,657,016.88","397,239,709.75","398,074,165.33","258,012,082.19","329,761,365.91","348,542,223.81","342,935,693.07","141,772,176.20","166,461,540.12","179,745,352.86","331,223,091.98","91,926,718.79","60,833,320.47","269,584,563.55","637,070,027.56","29,383,912.85","60,218,235.81","19,320,593.76","29,315,461.23","40,934,007.32","127,542,849.94","98,238,900.65","119,743,476.94","60,121,043.27","707,877,027.98"
预收款项,"9,130,717.34","5,636,319.42","8,155,854.13","9,200,272.91","21,415,008.57","13,595,690.25","14,014,982.24","19,983,451.67","40,703,688.56","3,668,865.87","6,604,931.94","20,018,902.43","15,081,907.94","11,323,738.93","9,654,622.59","14,758,896.23","13,841,169.57","7,921,732.42","11,220,963.02","9,252,789.78","13,653,767.85","5,670,993.24","5,770,244.56","20,558,417.71","4,974,132.36","4,684,982.37","5,528,016.09","9,435,352.54","10,954,547.26","4,765,798.87","9,445,697.37","11,152,981.28","20,604,240.33","14,133,079.80","127,520,416.79"
