科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"180,429,525,542.00","228,486,157,951.00","273,571,498,797.00","139,429,138,628.00","295,370,486,098.00","50,311,365,934.89","125,068,950,545.00","200,478,253,050.29","296,227,385,321.00","54,693,077,798.00","141,373,152,561.00","227,784,855,034.00","332,486,765,232.00","61,924,813,254.17","158,563,282,663.00","252,444,299,569.26","366,673,233,953.00","74,352,852,438.17","176,310,583,936.00","279,833,137,161.00","404,420,451,987.00","82,573,675,027.62","183,439,285,237.00","291,222,767,046.00","431,743,429,819.00","82,698,843,326.00","190,101,481,134.00","307,297,125,510.00"
二、营业利润,"9,004,277,381.00","9,316,717,771.00","11,489,091,630.00","6,084,325,355.00","13,024,849,890.00","1,808,673,963.71","5,894,592,710.00","8,318,813,276.99","14,901,543,852.00","1,774,885,035.00","6,733,840,475.00","9,956,800,923.00","15,238,665,257.00","2,334,374,140.44","7,437,671,336.00","12,202,325,330.71","16,978,579,106.00","2,675,983,773.01","7,944,677,733.00","12,711,321,956.00","18,521,132,638.00","3,053,329,798.77","9,007,054,398.00","14,226,018,709.00","21,230,108,142.00","4,023,103,833.00","10,179,284,260.00","15,340,488,136.00"
减:营业成本,"158,085,560,467.00","200,825,072,775.00","242,296,584,320.00","123,155,937,722.00","258,528,541,032.00","43,635,728,457.76","108,412,624,528.00","175,374,928,370.22","255,266,068,387.00","47,576,561,140.00","123,369,167,646.00","199,942,884,234.00","289,166,302,724.00","54,297,458,345.33","137,782,711,987.00","219,850,332,176.58","316,765,313,060.00","64,143,371,765.44","153,273,863,386.00","242,020,870,139.00","342,943,347,455.00","71,228,312,414.13","159,981,027,638.00","253,227,710,934.00","367,404,780,523.00","71,651,502,000.00","163,920,007,464.00","266,094,901,266.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,375,445,836.00","5,944,918,651.00","7,379,404,689.00","3,859,431,445.00","8,253,827,978.00","1,305,694,729.64","3,285,060,512.00","5,281,103,575.53","7,753,062,444.00","1,299,621,335.00","3,607,328,999.00","5,722,699,722.00","8,642,479,771.00","1,479,718,586.86","3,869,866,574.00","6,245,383,805.34","9,264,910,083.00","1,846,219,170.54","4,409,246,593.00","7,119,349,382.00","10,315,206,905.00","2,058,385,782.17","693,808,556.00","1,063,419,832.00","4,490,505,377.00","297,294,306.00","803,138,305.00","1,283,726,046.00"
营业外收入,"542,623,735.00","578,940,163.00","601,698,942.00","1,130,127,249.00","1,892,285,845.00","156,559,696.66","283,167,189.00","392,480,597.12","592,912,162.00","502,555,954.00","310,129,196.00","402,016,080.00","634,048,184.00","66,504,180.42","224,325,629.00","307,668,334.79","837,706,685.00","92,931,843.25","446,880,213.00","625,661,663.00","1,068,050,640.00","91,549,850.27","455,733,957.00","631,732,789.00","1,247,784,965.00","198,253,473.00","423,598,805.00","637,624,961.00"
销售费用,"489,887,738.00","491,471,417.00","569,792,785.00","286,094,630.00","624,472,179.00","139,043,853.22","271,792,104.00","424,190,544.69","610,708,777.00","172,175,692.00","203,969,974.00","332,224,996.00","480,190,542.00","109,309,504.24","220,350,820.00","332,941,743.58","527,734,114.00","141,345,684.75","283,739,425.00","429,054,123.00","696,415,927.00","172,029,499.76","346,832,706.00","500,168,286.00","846,150,436.00","185,237,935.00","396,133,319.00","637,005,802.00"
减:营业外支出,"135,227,595.00","141,250,315.00","185,495,751.00","35,817,508.00","90,357,835.00","26,094,071.10","71,676,870.00","106,083,152.53","345,075,031.00","20,973,256.00","46,447,986.00","66,339,714.00","162,728,298.00","13,709,006.64","48,347,479.00","96,674,953.53","254,398,416.00","18,363,823.65","57,202,507.00","85,694,840.00","179,021,470.00","31,352,102.05","95,743,998.00","184,879,632.00","252,609,833.00","141,025,188.00","209,551,812.00","242,938,015.00"
管理费用,"7,321,580,227.00","9,055,950,505.00","10,301,097,757.00","4,975,717,219.00","12,478,946,315.00","2,635,690,103.63","5,412,721,845.00","8,544,114,749.42","13,361,390,023.00","2,912,380,121.00","5,829,938,116.00","9,142,539,555.00","14,647,171,007.00","2,992,200,803.65","6,576,638,246.00","10,446,553,827.27","17,986,451,552.00","3,449,952,542.95","7,850,596,978.00","12,772,123,896.00","22,940,408,549.00","3,916,483,310.16","8,946,102,132.00","15,255,359,758.00","27,744,238,206.00","4,600,517,548.00","11,035,176,837.00","18,414,172,526.00"
其中:非流动资产处置净损失,"24,459,060.00","-35,360,207.00","-65,249,872.00","-15,170,216.00","36,361,633.00","2,948,648.74","10,437,134.00","20,918,839.36","52,436,742.00","1,158,907.00","22,342,229.00","24,196,365.00","-98,383,355.00","521,577.45","12,122,629.00",,"37,098,330.00","6,483,950.85","22,617,064.00","34,819,606.00","51,947,791.00","14,020,506.64","34,585,034.00","67,434,811.00","92,521,295.00","8,547,919.00","33,463,423.00","42,680,845.00"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,836,780,376.00","2,081,007,166.00","2,137,934,528.00","1,179,521,677.00","2,700,269,838.00","910,099,702.02","1,972,874,866.00","2,694,244,766.44","3,717,151,556.00","1,007,950,096.00","2,005,829,152.00","3,235,009,051.00","4,142,290,133.00","1,374,169,163.92","3,002,695,476.00","5,081,056,386.37","6,993,715,680.00","2,483,609,758.52","3,499,310,338.00","5,959,374,847.00","7,344,976,703.00","2,454,045,751.17","3,470,969,596.00","5,917,421,982.00","7,631,743,525.00","2,073,304,278.00","3,748,568,877.00","5,923,310,516.00"
三、利润总额,"9,411,673,521.00","9,754,407,619.00","11,905,294,821.00","7,178,635,096.00","14,826,777,900.00","1,939,139,589.27","6,106,083,029.00","8,605,210,721.58","15,149,380,983.00","2,256,467,733.00","6,997,521,685.00","10,292,477,289.00","15,709,985,143.00","2,387,169,314.22","7,613,649,486.00","12,413,318,711.97","17,561,887,375.00","2,750,551,792.61","8,334,355,439.00","13,251,288,779.00","19,410,161,808.00","3,113,527,546.99","9,367,044,357.00","14,672,871,866.00","22,225,283,274.00","4,080,332,118.00","10,393,331,253.00","15,735,175,082.00"
资产减值损失,"483,668,318.00","991,859,134.00","425,960,833.00","284,804,473.00","738,776,046.00","-104,530,091.51","256,254,275.00","319,715,612.87","1,348,500,437.00","11,523,777.00","561,585,376.00","667,241,464.00","1,870,866,981.00","-241,202,458.66","106,929,797.00","515,763,846.07","1,301,067,629.00","-9,466,857.78","817,287,562.00","1,023,069,773.00","4,309,003,882.00","-156,537,547.36","1,404,383,815.00","1,989,163,287.00","4,447,209,407.00","-49,754,808.00","1,274,800,838.00","1,658,077,388.00"
