科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"260,376,997.91","282,280,711.32","307,197,869.42","220,339,555.26","250,088,735.37","165,915,312.37","207,820,467.91","178,927,831.00","346,077,932.86","312,506,544.44","285,567,653.76","174,379,310.71","292,951,453.38","365,874,922.73","395,479,475.67","282,561,264.60","394,742,115.89","292,747,076.49","674,832,507.03","737,912,692.63","771,623,069.68","553,008,839.15","484,258,449.40","760,571,243.19","759,611,449.86","733,799,855.44","692,762,938.17","679,505,936.21","900,556,984.32","846,609,258.97","905,343,752.22","1,182,588,033.82","906,682,096.50","1,187,874,360.58","1,284,148,702.57","1,266,761,003.52","1,577,833,308.65","603,901,277.04","466,265,309.85","567,484,926.62","498,521,143.54","351,225,136.55","458,942,458.13","931,675,615.03","512,990,553.32"
短期借款,"293,700,000.00","300,300,000.00","324,500,000.00","334,000,000.00","364,000,000.00","279,000,000.00","325,500,000.00","315,100,000.00","453,600,000.00","399,500,000.00","335,500,000.00","293,358,680.68","402,858,680.68","555,364,500.00","596,452,000.00","519,130,000.00","679,219,600.00","612,376,757.70","696,397,276.51","741,883,150.00","752,357,548.00","542,925,200.01","592,687,464.01","776,300,000.00","781,840,000.00","643,000,000.00","621,000,000.00","626,000,000.00","865,000,000.00","780,600,000.00","894,150,000.00","491,350,000.00","431,350,000.00","693,170,400.00","950,364,550.00","880,827,600.00","22,714,200.00",,,,"350,000,000.00","580,000,000.00","1,162,000,000.00","1,237,000,000.00","1,332,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"28,078,511.67","3,864,000.00","4,137,600.00","4,468,942.60","28,112,388.40","5,630,000.00","15,895,440.00","22,384,395.00","26,524,085.03","2,757,300.00","65,164,500.00","35,035,288.55","57,280,600.12","59,808,479.52","87,592,034.21","59,960,706.51","55,175,308.00","53,424,176.00","104,724,468.01","124,267,674.01","122,672,250.00","136,403,812.00","37,155,898.16","43,623,415.75","30,776,400.00","79,363,340.00","79,087,849.75","34,785,910.00","59,749,949.73","62,070,705.96","70,504,802.24","52,357,600.00","92,956,355.68","114,924,921.48","115,526,895.41","63,714,993.95","78,751,692.17","97,704,139.66","74,519,212.00","59,990,925.65","101,938,143.78","138,946,526.63"
应付票据,"16,176,000.00","6,176,000.00","24,200,000.00",,,,,,"14,000,000.00","16,400,000.00","2,400,000.00",,"41,800,000.00","47,025,560.00","20,225,560.00","15,000,000.00","35,900,000.00","21,168,308.08","14,627,510.00","4,600,000.00","42,829,630.90","57,707,009.30","46,164,378.40","31,287,000.00","64,921,653.37","149,221,653.37","129,700,000.00","85,404,960.00","120,424,960.00","110,420,000.00","70,000,000.00","40,000,000.00","117,927,919.71","192,003,912.71","105,813,156.78","67,474,463.60","89,114,976.75","139,448,336.00","151,283,584.41","142,908,478.08","164,881,307.02","175,883,818.79","140,575,422.25","73,101,611.82","79,513,995.84"
应收账款,"60,264,062.99","63,703,030.97","74,392,456.40","79,134,237.92","84,474,463.76","93,206,927.92","90,132,429.66","91,664,313.77","104,678,717.51","91,021,225.58","113,744,303.85","111,249,328.02","116,890,202.26","141,436,020.66","150,129,730.80","145,090,199.03","182,652,590.80","185,361,619.56","191,594,886.29","200,337,544.89","284,645,761.78","275,355,624.92","344,182,217.63","339,737,264.87","413,960,801.76","393,730,260.47","355,152,989.50","372,356,357.90","428,143,487.87","428,268,480.94","507,147,437.17","494,591,017.90","582,728,237.76","586,737,737.87","711,850,333.25","568,004,478.56","604,123,178.76","564,746,688.10","541,766,642.36","572,034,895.26","475,648,224.19","500,410,286.11","556,039,551.55","465,615,011.45","418,470,693.16"
应付账款,"27,873,271.70","29,007,102.37","39,929,046.47","40,733,010.97","26,057,056.51","44,276,326.22","49,865,366.79","55,969,294.39","45,229,944.37","43,690,514.24","40,161,934.88","56,048,795.42","41,329,923.92","37,932,679.03","30,774,644.94","33,789,876.65","53,545,231.09","57,595,681.42","56,861,247.89","63,606,981.19","61,082,467.75","76,562,662.13","95,451,369.54","102,313,810.44","109,001,400.16","117,884,563.16","111,847,551.81","187,299,812.01","203,384,080.50","258,878,139.06","257,003,795.77","347,075,679.79","139,565,621.11","157,377,239.09","171,890,369.12","157,372,056.97","151,437,419.37","143,596,239.41","145,771,949.18","140,837,410.40","155,766,868.34","173,485,303.59","147,717,247.99","173,503,922.45","183,896,426.20"
预付款项,"20,885,410.74","6,094,836.70","17,681,406.79","28,472,534.10","17,692,857.75","20,613,060.12","14,889,862.15","12,752,452.67","11,920,219.48","11,708,764.20","27,469,550.87","87,384,341.97","121,948,429.11","120,249,163.81","117,342,790.19","120,092,711.20","107,346,386.57","100,918,926.42","98,422,461.83","62,772,527.81","66,031,988.01","66,098,144.33","89,625,028.02","38,641,292.45","85,272,010.03","96,997,412.24","96,079,014.83","44,663,958.27","56,308,380.15","37,565,794.89","38,158,244.20","30,991,364.22","54,926,329.65","42,825,817.63","42,921,910.63","70,216,341.79","69,208,031.55","71,680,703.83","99,156,053.41","109,912,723.35","132,784,854.67","134,820,733.39","206,398,760.33","75,850,406.32","175,115,029.59"
预收款项,"1,678,848.64","8,585,604.30","11,908,154.82","7,197,541.21","9,465,455.69","9,263,752.77","10,841,935.63","11,099,166.99","9,081,465.55","6,544,940.42","12,684,448.55","8,885,264.15","27,647,978.99","59,597,061.95","42,534,566.58","48,418,051.24","35,334,901.77","33,759,419.51","12,009,486.51","5,456,500.87","12,328,737.92","20,125,428.91","18,393,666.97","42,553,595.10","87,358,638.83","76,986,086.36","95,513,629.86","52,619,399.51","115,285,657.04","118,472,626.27","125,927,289.26","98,383,553.86","110,672,213.04","41,275,662.13","13,523,511.65","11,117,295.71","33,306,332.02","32,743,631.92","36,434,669.48","42,045,071.44","93,780,539.43","71,127,710.24","90,649,140.15","152,364,793.38","181,841,046.01"
其他应收款,"3,587,297.14","2,893,359.32","3,543,759.01","713,704.22","2,068,428.41","2,645,523.24","1,907,847.24","1,250,116.98","1,801,165.98","2,712,112.12","1,225,199.92","2,013,155.30","3,807,484.24","4,671,209.57","4,875,544.95","3,133,244.91","4,184,590.21","2,403,046.92","18,070,121.38","2,793,277.86","3,564,970.69","4,596,291.68","7,072,823.15","4,805,763.58","8,241,085.05","7,727,137.01","3,285,526.14","3,084,108.87","4,514,683.20","2,679,014.46","4,657,479.89","3,561,731.46","6,109,434.64","6,375,242.37","9,192,265.05","6,117,712.27","13,084,838.04","7,103,609.67","9,400,225.41","7,282,717.61","17,002,396.60","12,120,491.72","16,054,100.82","6,451,678.64","10,124,239.24"
