科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"347,702,134.39","411,119,192.12","502,157,660.48","315,550,679.99","421,037,826.45","110,157,983.84","230,847,705.82","362,791,919.67","489,790,278.53","138,173,952.91","298,774,786.06"
二、营业利润,"84,699,693.76","97,667,323.33","134,686,112.90","86,959,855.09","115,215,651.21","24,763,388.75","54,889,179.84","90,007,296.10","116,804,182.65","23,705,613.75","71,880,533.12"
减:营业成本,"217,013,557.15","270,053,528.69","317,845,483.29","201,992,903.28","268,472,458.99","70,548,050.24","148,823,861.42","231,263,105.59","313,893,371.85","93,072,826.80","203,008,619.16"
加:补贴收入,,,,,,,,,,,
营业税金及附加,"3,555,279.15","3,685,589.21","4,873,348.30","3,429,851.37","4,960,614.70","1,375,444.62","4,374,809.82","6,218,592.81","7,502,429.31","198,404.43","2,794,638.33"
营业外收入,"1,717,928.76","1,546,396.10","2,513,312.09","2,208,773.02","2,596,921.86","279,450.00","807,123.96","1,047,959.40","229,732.73","1,647,453.32","171,612.98"
销售费用,"8,085,717.82","8,116,517.23","9,272,506.05","5,928,878.34","8,921,617.42","2,199,562.19","4,375,393.54","7,222,190.53","9,755,235.21","2,079,473.73","6,074,926.63"
减:营业外支出,"8,275.13","59,388.49","167,218.83",,,"8,482.63","171,150.96","237,912.33","725,406.51",,"15,100.00"
管理费用,"30,213,290.11","32,621,985.39","43,631,811.28","23,271,488.44","36,678,773.32","11,220,180.19","20,501,230.18","30,358,786.59","41,585,905.84","11,401,883.51","29,638,344.60"
其中:非流动资产处置净损失,"8,275.13","59,388.49","167,218.83",,,,,,,,
堪探费用,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,
财务费用,"2,342,778.44","-2,614,740.54","-9,935,777.52","-6,048,278.68","-14,545,170.08","51,357.85","3,277,998.29","8,781,011.75","13,447,244.44","10,948,243.12","-8,031,513.64"
三、利润总额,"86,409,347.39","99,154,330.94","137,032,206.16","89,168,628.11","117,812,573.07","25,034,356.12","55,525,152.84","90,817,343.17","116,308,508.87","25,353,067.07","72,037,046.10"
资产减值损失,"1,791,817.96","940,988.81","2,432,176.18","15,982.15","1,333,880.89",,"77,641.66","77,641.66","3,144,148.18",,"3,389,689.71"
减:所得税,"12,989,294.85","14,898,488.31","20,587,884.02","13,396,177.41","16,415,800.81","3,764,727.73","7,608,169.57","12,601,224.00","16,277,346.13","4,061,784.89","10,466,834.98"
加:公允价值变动净收益,,"-648,000.00","648,000.00",,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,
投资收益,,,,,,,"5,472,408.93","11,136,705.36","14,697,638.30","3,400,487.93","7,541,567.36"
四、净利润,"73,420,052.54","84,255,842.63","116,444,322.14","75,772,450.70","101,396,772.26","21,269,628.39","47,916,983.27","78,216,119.17","100,031,162.74","21,291,282.18","61,570,211.12"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,
归属于母公司所有者的净利润,"73,420,052.54","84,255,842.63","116,444,322.14","75,772,450.70","101,396,772.26","21,269,628.39","47,916,983.27","78,216,119.17","100,108,625.43","21,525,699.30","62,367,399.07"
影响营业利润的其他科目,,,,,,,,,,,
少数股东损益,,,,,,,,,"-77,462.69","-234,417.12","-797,187.95"
