科目,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,604,492,000.00","4,684,255,000.00","2,941,158,000.00","4,460,109,855.20","5,952,168,000.00","1,277,019,000.00","2,827,507,000.00","4,188,118,000.00","6,077,361,000.00","1,374,334,000.00","2,946,932,000.00","4,338,310,000.00","6,593,712,000.00","2,168,235,000.00","4,799,156,000.00","7,264,340,000.00","10,888,394,000.00","2,413,350,000.00","5,498,545,000.00","8,174,241,000.00","12,170,008,000.00","3,983,554,000.00","8,503,958,000.00","12,289,759,000.00","16,501,004,000.00","4,534,295,000.00","8,384,826,000.00","13,237,105,000.00","16,179,095,000.00","3,323,760,000.00","7,167,839,000.00","12,071,435,000.00","17,842,717,000.00","5,180,101,000.00","10,934,729,000.00","16,945,589,000.00","22,891,736,000.00","5,096,685,000.00"
取得子公司及其他营业单位支付的现金净额,"689,601,000.00","133,375,000.00",,,,,,,,,,,,,,,,,,,,,,"3,337,000.00",,,,,,,,,,,,,,
收到的税费返还,,,,"8,248,427.48",,"2,699,000.00",,"5,326,000.00",,"2,824,000.00",,"8,572,000.00",,,,"3,412,000.00",,"262,000.00","11,884,000.00","15,781,000.00",,"3,199,000.00","13,523,000.00","24,331,000.00",,"4,705,000.00","10,198,000.00","33,579,000.00",,"5,610,000.00",,"24,298,000.00",,"11,586,000.00",,"18,799,000.00",,"352,000.00"
支付其他与投资活动有关的现金,,"4,732,000.00","14,500,000.00","524,000,000.00","996,000,000.00","858,948,000.00","582,000.00","583,000.00","5,197,000.00","1,365,947,000.00",,"7,450,000.00",,,"10,113,000.00","5,413,000.00","134,952,000.00",,"1,418,000.00","20,380,000.00","50,000,000.00",,"91,396,000.00","929,941,000.00","690,756,000.00","51,400,000.00","113,693,000.00","169,441,000.00","225,606,000.00","13,480,000.00","15,039,000.00","33,762,000.00","72,657,000.00","223,265,000.00","509,072,000.00","520,900,000.00","537,044,000.00","84,000,000.00"
收到其他与经营活动有关的现金,"397,866,000.00","329,556,000.00","207,367,000.00","905,993,437.25","759,500,000.00","184,732,000.00","193,419,000.00","374,032,000.00","254,295,000.00","216,822,000.00","82,734,000.00","625,887,000.00","262,208,000.00","498,032,000.00","1,847,152,000.00","1,747,248,000.00","1,623,745,000.00","313,291,000.00","608,342,000.00","487,825,000.00","838,032,000.00","187,091,000.00","492,514,000.00","969,485,000.00","946,524,000.00","242,995,000.00","1,003,189,000.00","1,345,479,000.00","399,664,000.00","343,317,000.00","651,789,000.00","904,425,000.00","447,560,000.00","294,438,000.00","4,436,900,000.00","337,182,000.00","7,396,618,000.00","596,359,000.00"
投资活动现金流出小计,"4,451,315,000.00","3,574,315,000.00","2,703,430,000.00","2,704,213,897.80","4,620,064,000.00","1,493,774,000.00","1,558,476,000.00","2,558,091,000.00","3,912,442,000.00","2,330,273,000.00","1,999,754,000.00","2,184,131,000.00","4,048,054,000.00","646,674,000.00","1,710,885,000.00","1,942,922,000.00","3,116,884,000.00","898,760,000.00","1,476,890,000.00","2,074,734,000.00","2,831,506,000.00","322,368,000.00","710,457,000.00","2,301,889,000.00","3,054,883,000.00","355,727,000.00","1,122,067,000.00","2,066,718,000.00","2,662,088,000.00","468,352,000.00","1,733,730,000.00","2,101,199,000.00","2,301,596,000.00","634,395,000.00","1,621,652,000.00","3,123,563,000.00","4,004,989,000.00","419,928,000.00"
经营活动现金流入小计,"5,002,358,000.00","5,013,811,000.00","3,148,525,000.00","5,374,351,719.93","6,711,668,000.00","1,464,450,000.00","3,020,926,000.00","4,567,476,000.00","6,331,656,000.00","1,593,980,000.00","3,029,666,000.00","4,972,769,000.00","6,855,920,000.00","2,666,267,000.00","6,646,308,000.00","9,015,000,000.00","12,512,139,000.00","2,726,903,000.00","6,118,771,000.00","8,677,847,000.00","13,008,040,000.00","4,173,844,000.00","9,009,995,000.00","13,283,575,000.00","17,447,528,000.00","4,781,995,000.00","9,398,213,000.00","14,616,163,000.00","19,184,967,000.00","3,672,687,000.00","7,819,628,000.00","13,000,158,000.00","19,504,139,000.00","5,847,989,000.00","15,371,629,000.00","21,937,094,000.00","30,288,354,000.00","5,693,396,000.00"
投资活动产生的现金流量净额,"-3,563,680,000.00","-2,848,927,000.00","-1,829,907,000.00","-1,393,340,380.67","-3,545,809,000.00","161,736,000.00","254,410,000.00","-569,463,000.00","-1,335,602,000.00","-1,043,574,000.00","24,977,000.00","165,089,000.00","-1,650,093,000.00","-511,735,000.00","-1,260,159,000.00","-1,433,948,000.00","-2,313,334,000.00","-564,612,000.00","-412,024,000.00","-823,148,000.00","-1,345,886,000.00","-271,362,000.00","-390,386,000.00","-1,690,677,000.00","-1,988,198,000.00","-332,729,000.00","-907,952,000.00","-1,521,487,000.00","-1,765,355,000.00","-198,701,000.00","-890,221,000.00","-960,656,000.00","-939,726,000.00","-466,975,000.00","-1,000,557,000.00","-2,055,270,000.00","-2,490,434,000.00","-214,192,000.00"
购买商品、接受劳务支付的现金,"1,534,557,000.00","1,668,034,000.00","1,209,241,000.00","1,800,721,703.76","2,142,327,000.00","551,096,000.00","1,163,508,000.00","1,708,097,000.00","2,539,263,000.00","671,548,000.00","1,351,535,000.00","1,760,970,000.00","2,859,083,000.00","1,336,597,000.00","2,733,430,000.00","3,981,570,000.00","6,069,870,000.00","1,355,883,000.00","2,974,343,000.00","4,314,531,000.00","6,914,594,000.00","2,780,404,000.00","5,627,090,000.00","8,068,835,000.00","10,768,733,000.00","3,310,587,000.00","5,836,450,000.00","8,760,421,000.00","9,664,124,000.00","1,908,503,000.00","4,134,617,000.00","6,918,188,000.00","10,767,584,000.00","3,191,540,000.00","7,052,506,000.00","10,232,426,000.00","13,708,318,000.00","3,044,238,000.00"
吸收投资收到的现金,"1,787,444,000.00","323,593,000.00","48,941,000.00","7,654,410,000.00","7,660,372,000.00",,"35,000,000.00","114,069,000.00","114,068,000.00","18,531,000.00","46,867,000.00","52,372,000.00","65,202,000.00",,"75,002,000.00","75,000,000.00","143,663,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,"30,000,000.00","32,150,000.00",,,"9,800,000.00","116,883,000.00","8,382,000.00","8,382,000.00","18,182,000.00","18,182,000.00",,,,,
