科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"75,823,044.03","45,010,985.53","46,764,263.31","45,059,684.02","67,557,475.75","163,495,284.26","165,008,499.67","107,424,891.33","143,181,653.98","256,408,909.90","192,659,748.61","103,888,719.98","117,306,800.24","166,340,869.04","188,327,715.59","170,916,990.15","190,670,268.12","84,811,777.50","125,248,150.61"
短期借款,"60,792,970.00","54,000,000.00","30,487,210.00","51,689,750.00","45,000,000.00",,,,,"30,000,000.00",,,,,,,,,
交易性金融资产,"1,514,414.50","1,695,214.83","6,563,100.00",,,"70,000,000.00","244,500.00",,,,,,,,,,,,
交易性金融负债,,,,"3,911,013.80","5,890,406.80","446,400.00",,,,,"3,497,350.00","2,033,800.00",,,,,,,
应收票据,"1,546,555.60","3,405,400.00","2,269,387.70","3,800,915.30","1,971,303.70","1,488,851.20","2,823,698.00","3,981,793.80","4,315,045.70","2,673,912.30","5,382,131.90","4,576,117.80","5,899,814.20","7,522,510.26","7,727,264.51","8,056,155.43","7,626,603.71","6,724,841.91","6,012,873.53"
应付票据,"14,581,679.66","15,840,058.88","1,438,511.45","483,490.30",,,,,,,,,,,,,,,"7,879,500.91"
应收账款,"52,957,903.41","50,989,012.33","69,668,368.24","101,991,087.40","97,038,069.31","102,928,972.32","115,483,492.73","106,251,229.10","131,384,085.98","121,791,026.04","136,214,930.40","174,810,579.17","188,179,843.78","167,117,482.27","187,578,659.31","221,652,672.48","221,365,341.21","231,992,215.13","286,804,848.51"
应付账款,"102,109,792.29","104,607,280.38","129,661,095.94","138,882,679.37","149,676,029.96","124,045,645.40","157,207,809.78","144,256,582.51","188,288,156.39","173,620,643.17","192,347,742.97","231,499,884.93","244,564,053.19","225,180,744.57","291,878,201.42","304,956,435.20","343,286,187.02","304,317,100.48","394,715,343.51"
预付款项,"8,837,463.87","10,062,002.42","5,321,787.82","11,737,930.62","9,545,583.76","13,579,620.24","5,801,032.87","9,109,693.18","5,261,684.02","12,557,670.26","25,063,043.86","17,636,501.97","13,628,358.98","25,771,297.39","29,059,323.90","20,706,054.45","20,747,174.38","33,688,553.64","33,268,853.85"
预收款项,"2,195,559.96","1,240,965.46","4,677,567.07","3,931,425.78","3,302,730.16","3,530,098.67","3,391,307.80","5,027,419.40","9,877,404.59","7,264,013.07","5,018,095.30","6,548,999.80","11,502,358.84","10,740,145.97","20,395,607.05","18,185,469.93","11,585,700.08","15,091,295.54","13,813,976.64"
