科目,2012年度,2013年度,2014年度,2015年1-6月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"716,493,167.20","882,016,087.41","983,692,025.72","382,209,272.77","942,590,250.12","309,091,666.16","591,174,152.02","946,414,655.49","1,265,297,741.29","368,590,703.98","558,427,683.96","856,754,815.95","1,353,350,091.53","306,486,849.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"13,501,278.33","20,115,671.40","20,872,362.72","4,414,235.51","7,789,007.46","519,397.88","1,148,713.63","1,977,387.31","4,274,495.47","6,091,024.72","6,794,300.70","9,755,989.44","10,184,094.50","12,015,519.11"
支付其他与投资活动有关的现金,"2,270,000.00","650,000.00",,,,,,"10,000,000.00",,,"538,500.00","538,500.00","30,000,000.00","10,000.00"
收到其他与经营活动有关的现金,"13,537,380.84","6,264,958.10","22,742,416.33","9,635,628.76","20,382,017.49","13,775,962.98","7,300,631.96","9,374,826.93","11,607,360.65","5,839,088.76","12,892,506.57","62,017,182.20","13,710,258.91","53,850,091.89"
投资活动现金流出小计,"140,663,349.51","195,574,340.38","171,896,251.43","100,527,076.69","184,079,394.09","76,734,927.20","178,604,873.15","242,373,217.75","222,915,710.22","88,772,089.76","111,980,673.32","131,788,034.13","181,288,941.57","45,488,583.17"
经营活动现金流入小计,"743,531,826.37","908,396,716.91","1,027,306,804.77","396,259,137.04","970,761,275.07","323,387,027.02","599,623,497.61","957,766,869.73","1,281,179,597.41","380,520,817.46","578,114,491.23","928,527,987.59","1,377,244,444.94","372,352,460.49"
投资活动产生的现金流量净额,"-132,187,714.26","-190,158,906.03","-169,926,302.51","-98,502,371.57","-179,819,594.09","-76,723,816.09","-166,897,908.74","-229,989,178.54","-207,396,237.82","-86,091,057.82","-99,547,179.03","-118,478,264.44","-157,976,697.67","-24,826,162.17"
购买商品、接受劳务支付的现金,"380,031,535.51","581,423,918.65","581,443,412.25","171,871,379.43","611,115,775.24","277,778,998.69","389,084,740.19","647,105,338.53","868,813,563.28","212,414,852.08","359,351,866.85","625,945,088.44","805,888,953.68","228,751,032.67"
吸收投资收到的现金,,,,,"311,311,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"124,264,115.46","158,095,211.19","190,903,256.46","106,488,334.74","222,402,714.10","58,755,337.57","125,573,611.48","186,581,144.07","248,688,601.94","68,440,305.12","133,386,117.99","202,855,923.48","276,017,036.99","79,843,158.66"
取得借款收到的现金,"117,846,951.85","149,478,842.26","228,519,918.84","148,500,000.00","267,100,000.00","110,000,000.00","212,793,654.18","306,115,624.74","368,139,717.00","121,974,005.07","189,074,300.00","383,550,000.00","548,182,705.07","100,100,000.00"
支付的各项税费,"38,247,333.10","31,792,854.04","47,476,793.30","28,521,078.55","60,135,653.94","16,929,089.93","28,143,385.61","37,664,085.40","49,163,587.25","14,313,301.23","32,533,790.11","49,515,207.82","73,516,263.60","20,331,944.88"
收到其他与筹资活动有关的现金,,"2,698,268.68","12,806,735.00","31,160,418.17","160,734,987.82","19,329,625.72","33,559,629.24","34,157,090.82","25,531,871.69","948,409.50","5,468,539.45","19,590,912.79","9,700,000.00","7,411,937.79"
