科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"77,352,958.56","195,686,738.17","170,671,229.09",,"67,724,812.47",,"810,480,199.42","469,062,248.11","364,383,556.47","399,887,378.94","461,987,412.78","198,616,813.58","201,424,735.03","251,166,712.58","361,397,120.85"
短期借款,"346,693,337.02","319,134,997.75","448,006,800.88",,"670,442,240.36",,"821,362,673.62","702,063,056.17","872,813,302.56","965,915,553.88","818,573,381.92","931,004,286.36","1,373,807,260.41","1,631,067,099.68","1,585,268,686.32"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,"5,000,000.00","4,044,456.00",,"28,135,473.61",,"41,890,738.98","18,133,940.44","71,995,760.16","29,259,799.07","311,545,518.62","105,520,549.97","205,664,025.12","224,329,846.03","432,313,856.43"
应付票据,"20,492,608.50","48,841,008.80","85,629,485.62",,"78,903,875.46",,"165,275,697.48","75,815,981.92","134,874,626.41","236,724,047.74","147,709,641.58","196,931,224.32","198,521,613.17","261,093,740.24","271,392,818.60"
应收账款,"617,601,998.17","754,892,275.64","648,946,362.96",,"1,092,061,340.04",,"878,282,743.27","896,703,886.93","1,141,048,174.78","1,589,293,262.64","1,121,813,981.29","1,102,176,342.71","1,544,399,754.60","1,668,339,152.67","1,983,331,074.20"
应付账款,"221,826,920.07","416,628,169.93","327,686,141.18",,"474,280,195.61",,"335,017,235.42","249,599,774.93","477,318,999.67","751,166,505.44","701,108,620.07","504,597,485.57","835,767,649.86","1,036,516,839.85","1,191,024,918.99"
预付款项,"24,938,694.09","15,930,109.61","16,351,997.99",,"27,905,887.13",,"82,357,910.38","215,010.64","123,359,153.72","138,624,970.32","46,055,168.51","6,982,424.58","119,725,555.22","269,177,206.97","86,270,765.43"
预收款项,"3,862,582.09","9,773,307.19","4,573,893.52",,"2,698,101.24",,"9,044,508.72",,"9,927,696.19","14,312,917.70","12,207,518.89","3,308,812.22","33,083,324.53","83,991,585.45","57,202,109.04"
其他应收款,"27,571,060.70","35,078,679.23","29,626,555.92",,"55,294,938.42",,"61,974,817.99","76,201,535.38","14,219,414.63","39,121,559.79","24,302,446.25","12,227,529.10","30,330,188.19","37,185,758.86","35,925,615.38"
应付职工薪酬,"2,950,583.17","2,197,246.21","1,893,961.87",,"43,194.72",,"4,089,300.88",760.64,,"63,722.45","5,679,362.35","49,924.05","108,330.40","100,928.54","5,810,254.70"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"14,177,511.97","14,657,332.10","3,932,334.87",,"14,879,384.06",,"11,695,540.32","3,529,752.49","3,329,473.47","10,421,648.84","14,689,351.71","5,953,725.99","4,403,772.08","18,682,797.64","23,533,479.01"
应收利息,,,,,,,,,,,,,,,
应付利息,"208,296.12","373,634.33","391,783.52",,"477,188.77",,"646,604.46","646,604.46","646,604.46","646,604.46","642,453.53","642,453.53","728,199.67","749,372.98","1,995,384.08"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"217,877,346.91","231,650,932.61","402,305,356.04",,"466,311,656.46",,"488,140,397.31","586,166,074.82","707,420,584.86","758,539,206.06","764,337,163.88","1,077,532,978.41","1,181,261,269.93","1,462,593,056.38","1,164,621,669.93"
其他应付款,"3,303,091.63","158,424.45","1,862,570.90",,"5,982,610.20",,"10,976,383.31","452,249.25","4,589,000.00","5,590,694.64","4,856,626.61","301,619.46","3,456,409.52","2,664,506.74","1,863,369.94"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,"540,944.61",,"1,055,943.19",,"6,787,762.92",,"4,498,579.65",,"16,190,196.48","17,740,504.04","1,911,673.06","121,345,197.90","58,554,291.41","28,200,206.04","4,794,964.43"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"965,883,003.04","1,238,238,735.26","1,273,001,901.19","1,240,142,100.00","1,744,221,871.05","1,892,140,100.00","2,367,625,387.00","2,046,482,696.32","2,438,616,841.10","2,972,466,680.86","2,731,953,364.39","2,624,401,836.25","3,341,359,819.50","3,940,991,939.53","4,068,655,066.65"
