科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"31,595,884.00","26,363,204.15","49,832,188.16","53,980,080.82","78,004,466.79","689,792,655.31","611,633,401.84","545,001,329.40","503,542,561.14","458,315,858.63","483,077,319.97","413,527,742.08","407,629,078.43","320,135,735.01","212,732,137.10","260,426,945.05","125,236,936.49","149,625,611.71","108,698,552.53","158,086,454.33","137,684,702.80","206,044,187.89","167,676,533.32","326,864,927.72","204,018,623.84","162,576,407.38","235,045,377.43","242,430,733.32","209,988,432.69","250,597,453.97","274,520,966.58","259,670,882.13","232,072,785.40","223,937,496.91"
短期借款,"61,500,000.00","76,519,735.00","41,000,000.00","81,000,000.00","86,000,000.00","88,000,000.00","44,500,000.00","28,000,000.00","49,500,000.00","11,500,000.00","76,554,681.03","16,010,000.00","8,040,000.00","8,000,000.00","8,000,000.00","10,000,000.00","10,000,000.00","5,000,000.00","63,000,000.00",,,,,"100,000,000.00",,,"55,000,000.00","106,000,000.00","156,000,000.00","135,000,000.00","98,000,000.00","33,000,000.00","13,000,000.00","13,000,000.00"
交易性金融资产,,,,"302,936.00","181,940.00","2,878,032.00","3,022,254.00","4,336,085.00","4,578,764.80",,,,,"324,021.70","2,498,446.70","15,420,209.70","26,523,529.70","36,915,663.90","19,770,138.00","11,369,822.00","7,070,567.00",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,"2,451,224.70","5,397,429.20","15,843,902.00","15,814,841.30","2,579,124.16","781,710.00",,,,,,,,,,,,,,,,,,,
应收票据,,,"350,000.00",,"100,000.00","100,000.00","600,000.00","950,000.00","50,000.00","1,803,718.00","1,802,175.30","1,573,000.00","1,806,604.94","1,950,687.20","2,782,770.36","2,586,767.15","1,645,000.00","4,666,531.00","4,209,031.00","3,983,000.00","2,453,000.00","4,692,875.00","3,362,875.00","4,993,073.82","2,557,400.00","4,320,260.00","8,204,355.17","6,049,562.81","4,254,071.20","3,403,361.64","1,720,000.00","4,741,128.33","5,240,830.39","11,583,327.85"
应付票据,"12,895,000.00","4,960,000.00","9,220,000.00","1,500,000.00",,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"1,010,000.00","1,010,000.00","572,600.00","572,600.00",,,,,,"2,448,200.00","3,857,000.00","16,667,119.73","20,550,043.43","25,050,325.60","28,202,736.62","23,516,475.64"
应收账款,"35,396,895.26","29,548,562.22","26,910,003.04","37,101,566.97","34,220,441.25","28,811,110.73","38,736,664.51","44,491,153.56","59,249,376.19","40,177,880.58","63,190,083.79","68,566,272.32","61,236,081.49","107,401,393.24","130,521,890.11","172,186,420.28","164,505,006.45","75,266,393.80","88,499,924.30","89,902,991.55","94,122,597.65","89,455,170.33","105,970,317.43","133,376,077.03","132,235,615.64","130,276,264.39","139,569,664.86","171,034,484.45","155,893,619.63","167,185,432.81","149,261,372.81","150,676,928.64","182,471,968.70","136,521,732.44"
应付账款,"54,075,886.06","43,155,326.47","53,363,460.34","73,815,455.63","75,117,603.01","78,358,317.25","91,680,025.58","103,058,675.37","96,067,194.08","119,585,319.19","132,202,716.20","146,939,366.44","121,252,193.61","165,363,639.38","164,955,113.34","187,988,707.86","174,423,474.74","165,075,647.47","163,340,376.99","171,962,649.85","171,731,181.05","155,564,804.92","175,776,166.83","189,281,624.49","207,912,361.50","154,804,269.07","139,993,482.59","188,968,729.06","189,096,384.99","208,677,014.46","166,856,335.39","162,696,374.71","175,685,459.94","206,257,025.50"
预付款项,"2,280,207.87","993,302.85","8,470,894.22","7,584,906.60","14,212,295.47","17,675,096.27","24,043,650.08","35,389,309.86","30,292,619.86","21,107,023.19","15,354,076.90","19,174,928.61","13,114,348.63","23,046,026.38","58,299,029.47","42,141,277.13","38,370,336.92","13,145,185.71","30,391,946.72","20,902,519.91","18,752,002.29","16,199,349.23","35,981,031.75","41,642,351.86","43,829,536.57","14,409,765.41","17,963,181.03","16,241,744.61","22,851,418.37","24,607,628.13","19,531,208.26","17,557,293.42","19,668,041.41","22,172,366.17"
预收款项,"8,097,685.93","7,367,759.37","17,110,587.18","16,512,141.52","20,721,597.58","31,483,382.13","38,388,390.03","24,224,600.89","30,010,601.56","40,452,765.38","43,154,738.59","57,368,573.02","69,889,975.50","82,265,329.53","64,001,716.96","114,152,548.78","81,229,048.70","118,586,261.76","87,272,964.40","142,101,331.67","84,039,962.46","141,994,251.20","118,102,472.24","106,157,078.71","83,695,729.29","79,630,155.74","130,533,604.44","139,804,260.01","79,510,005.56","141,933,793.26","110,358,444.86","98,440,032.66","79,842,974.28","91,021,295.10"
