科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"537,025,579.52","1,116,601,094.51","1,697,316,097.81","2,345,837,715.90","682,395,904.66","1,411,325,447.54","2,142,518,234.36","2,676,495,070.98","448,266,790.34","873,426,823.78","1,302,999,655.95","1,720,236,515.34","543,953,144.52","1,185,310,100.26","1,752,955,847.73","2,273,074,986.80","585,555,937.22","1,223,070,728.12","1,894,006,764.00","2,560,286,756.78","515,495,464.17","1,105,356,597.65","1,624,495,425.18","2,108,090,393.24","464,222,793.80","754,883,467.78","1,034,223,370.27","1,354,199,209.40","282,804,186.25","526,889,626.57","765,885,836.40","981,874,961.16","202,364,316.27","396,246,357.97","588,576,749.57","769,989,735.46","149,697,093.41","308,787,139.92","486,543,651.43","712,101,076.32","180,125,421.72","376,896,510.04","598,057,381.37","832,431,956.60","211,791,327.35"
二、营业利润,"13,000,996.91","51,987,647.56","72,948,479.67","476,357,932.16","51,033,675.50","141,073,273.28","185,348,457.03","79,303,710.32","-31,667,032.88","-94,928,935.55","-209,862,806.89","-411,102,032.40","-46,854,978.92","-19,597,861.85","-148,990,266.46","-159,076,757.73","-166,174,204.40","-310,630,064.34","-465,588,423.02","-1,009,133,681.92","-272,885,909.82","-519,826,627.00","-760,094,477.87","-1,032,375,378.76","-190,687,996.45","-358,132,655.24","-514,220,003.54","-1,247,998,927.66","2,474,943.90","196,086,729.62","199,578,539.79","224,248,150.64","3,274,519.60","7,755,538.91","8,871,309.09","15,330,892.11","2,512,495.62","-10,138,218.28","571,055.76","17,240,641.88","3,907,766.15","13,032,099.82","29,681,172.67","41,830,596.14","15,769,340.97"
减:营业成本,"453,150,840.86","936,447,677.02","1,428,818,699.51","1,923,332,335.79","552,792,600.28","1,088,641,390.55","1,673,685,268.66","2,184,610,292.43","424,607,858.83","846,579,293.87","1,309,856,211.44","1,841,898,796.92","503,738,414.50","1,022,532,433.90","1,631,978,147.22","2,038,458,216.30","642,701,278.24","1,298,488,725.80","2,001,813,581.07","2,745,912,504.08","643,636,252.66","1,328,814,580.08","2,012,626,581.01","2,622,767,463.86","548,623,810.31","913,029,626.69","1,284,005,643.49","1,567,652,333.29","245,705,104.67","457,243,775.48","671,112,706.24","858,424,907.29","178,033,144.27","344,041,801.27","513,481,813.96","662,154,239.44","129,733,259.66","266,678,989.33","408,316,324.37","577,540,195.34","155,348,273.18","326,459,750.93","506,401,077.37","695,586,665.28","172,264,179.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"18,582,103.58","38,660,371.18","58,915,714.94","81,783,291.91","23,668,987.20","48,935,054.98","74,294,073.07","93,090,728.54","15,362,826.99","29,974,985.43","44,745,291.36","58,934,215.13","16,141,010.27","34,912,570.36","50,256,764.87","69,696,797.21","16,705,586.86","33,403,509.95","50,069,160.98","64,348,645.80","6,866,317.09","13,613,784.54","20,051,973.58","23,524,250.67","889,309.82","1,675,372.63","2,191,647.25","4,693,059.53","1,259,440.75","2,275,733.41","2,944,430.54","3,422,462.18","400,511.51","923,291.69","1,854,913.73","2,463,430.59","509,622.30","1,049,022.92","1,230,099.47","3,438,970.60","572,961.06","1,657,277.81","3,427,593.03","4,848,827.93","1,214,254.61"
营业外收入,"10,599,000.00","14,649,893.59","16,094,837.08","20,268,565.87","1,573,015.30","10,587,614.28","12,941,931.63","30,598,822.46","10,413,155.00","11,237,501.65","16,666,761.87","20,656,933.21","1,583,888.39","21,333,747.13","102,355,256.91","175,841,740.97","3,437,711.82","12,650,551.22","28,958,743.88","144,037,219.12","19,726,780.48","75,010,065.57","131,899,486.87","229,119,014.69","1,158,274.80","15,785,052.48","36,146,783.48","53,957,948.04","14,529,986.49","23,420,919.80","4,195,076,093.89","4,246,223,624.44","815,737.90","105,986,705.74","106,820,416.74","115,958,640.01","1,811,430.76","3,973,709.24","8,547,932.83","8,762,195.61","2,648,677.00","15,884,527.00","16,855,122.14","18,466,335.97","53,900.00"
销售费用,"9,279,594.42","18,540,296.16","28,164,034.71","40,387,158.02","9,618,114.56","20,395,841.58","32,385,801.78","46,460,075.30","8,604,927.36","18,470,923.52","29,565,059.04","44,188,645.27","10,006,102.45","20,232,563.04","30,646,126.09","43,494,753.05","9,308,507.50","19,430,441.92","29,871,922.40","38,425,547.32","8,671,463.71","19,168,544.56","29,544,405.65","39,669,453.47","11,196,612.36","15,358,256.98","19,042,143.48","22,221,532.06","1,510,479.42","3,540,201.33","5,887,018.89","8,090,479.60","2,478,454.80","4,886,095.58","7,573,004.11","10,913,492.09","2,533,022.08","5,219,721.34","7,511,084.63","10,495,749.32","2,499,419.25","4,996,663.99","7,837,002.82","10,423,533.74","2,254,290.36"
减:营业外支出,"36,000.96","43,095.12","75,357.65","159,328.41","276,905.79","1,320,468.48","1,338,356.25","2,233,746.05","58,486.76","58,486.76","149,458.93","549,531.72","1,718.58","5,718.58","55,045.12","556,186.38",15.99,"108,376.02","123,288.33","16,289,355.63","514,210.95","9,220,754.21","10,402,130.35","1,091,666,085.19","475,028.70","549,704.01","25,248,417.40","3,431,899,427.63","37,375.39","47,314.36","61,321.67","127,668,236.97","1,019,419.43","2,659,126.50","3,668,191.05","5,061,589.85","1,040,646.38","8,181,501.86","8,773,782.24","11,619,043.40","1,370,144.92","7,625,449.03","8,444,571.19","4,576,620.51","549,999.00"
管理费用,"19,436,754.34","32,419,493.12","44,611,780.52","43,481,737.32","13,429,150.93","27,855,494.39","44,995,343.77","66,466,775.42","13,892,599.01","25,702,499.45","42,808,410.28","62,148,663.32","13,389,439.31","29,480,717.98","44,527,812.47","66,697,719.35","17,747,925.50","36,903,084.43","53,183,098.88","135,721,333.47","17,394,316.20","32,265,216.10","48,734,120.98","137,736,699.97","17,281,200.53","28,824,867.66","47,055,497.95","332,373,024.17","17,447,367.44","43,180,194.10","62,702,717.50","76,805,253.93","17,836,981.73","31,674,899.51","49,708,814.30","66,707,393.57","13,330,408.75","28,720,989.68","42,260,387.66","61,147,181.52","17,116,037.92","32,353,899.06","49,279,245.24","69,464,840.82","21,770,059.30"
其中:非流动资产处置净损失,"30,750.96","30,750.96","61,474.87","97,962.51","262,853.13","290,665.82","290,665.82","1,184,555.62","58,486.76","58,486.76","58,486.76","457,559.55",,,"49,326.54","394,098.04",,,,"16,160,531.40","494,088.72","9,170,409.09","4,565,127.05","1,091,193,942.47",,"65,377.90","24,649,447.72","1,805,230,374.74",,"46,711.25","56,718.56","171,814.30","8,580.61","80,101.51","80,101.51","922,146.79","84,961.15","6,029,239.70","6,029,239.70","5,944,278.55","369,794.42","5,975,100.55","5,999,414.20",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"23,575,289.41","46,497,801.12","71,731,095.66","98,102,039.79","33,201,100.62","75,456,523.96","115,062,060.96","158,601,394.99","39,568,868.28","78,140,478.32","118,205,731.03","161,625,004.64","46,755,331.45","98,694,701.51","144,906,899.04","215,348,509.89","65,931,606.69","145,762,275.52","225,686,346.13","329,933,186.21","112,167,564.16","228,340,345.27","270,581,784.72","345,852,237.47","78,801,761.11","155,079,746.64","197,104,866.67","289,140,891.81","14,586,321.15","16,050,246.84","17,484,578.90","12,002,394.52","-69,500.78","52,570.05","-202,494.97","-701,156.85","-35,199.68","-276,726.34","-370,017.84","-760,278.26","-26,231.97","153,589.57","147,344.31","668,900.59","-521,537.57"
三、利润总额,"23,563,995.95","66,594,446.03","88,967,959.10","496,467,169.62","52,329,785.01","150,340,419.08","196,952,032.41","107,668,786.73","-21,312,364.64","-83,749,920.66","-193,345,503.95","-390,994,630.91","-45,272,809.11","1,730,166.70","-46,690,054.67","16,208,796.86","-162,736,508.57","-298,087,889.14","-436,752,967.47","-881,385,818.43","-253,673,340.29","-454,037,315.64","-638,597,121.35","-1,894,922,449.26","-190,004,750.35","-342,897,306.77","-503,321,637.46","-4,625,940,407.25","16,967,555.00","219,460,335.06","4,394,593,312.01","4,342,803,538.11","3,070,838.07","111,083,118.15","112,023,534.78","126,227,942.27","3,283,280.00","-14,346,010.90","345,206.35","14,383,794.09","5,186,298.23","21,291,177.79","38,091,723.62","55,720,311.60","15,273,241.97"
资产减值损失,,"-5,667,745.87","-5,589,261.42","-6,966,153.21",-530.83,"4,109,124.64","4,109,124.64","8,340,529.87",,"-2,613,660.73","-2,613,660.73","-6,541,674.68",,"-2,193,978.77","-2,193,978.77","-2,821,662.56",,"539,775.57","539,775.57","256,832,824.17",,"3,298,345.29","3,298,345.29","3,401,490.48",,"974,666.31","974,666.31","388,270,676.31",,"98,085.52","98,085.52","981,191.71","-37,846.09","6,180,769.12","6,526,459.05","9,644,088.82",,"14,973,172.89","23,437,050.42","38,008,333.20","-160,000.00","-3,199,504.43","31,902.27","2,626,210.22","-200,000.00"
减:所得税,"6,247,229.77","18,774,519.75","22,635,600.51","89,356,814.64","9,928,194.52","29,999,275.41","37,923,884.79","27,408,208.37","8,437,804.04","10,976,636.50","11,687,464.41","15,887,217.81","1,988,912.45","8,736,695.23","4,922,805.50","4,229,580.73","387,552.05","1,035,956.06","1,850,332.36","1,339,262.02","86,895.21","99,007.81","205,373.81","460,048.72","275,068.59","666,686.32","901,204.12","2,601,346.87","946,649.65","1,828,146.95","2,614,009.75","3,747,675.10","1,024,879.47","1,993,818.79","2,685,119.29","3,120,680.19","735,460.00","1,472,221.38","3,539,445.94","4,667,492.84","985,906.16","2,489,557.27","3,851,892.05","4,900,465.09","911,806.39"
加:公允价值变动净收益,,,,"367,730.75","-4,185,825.22","-10,396,394.97","-19,014,524.81","-46,759,930.32","21,820,414.08","45,404,708.29","46,392,199.58","46,392,199.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
