科目,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"65,939,479,120.00","93,746,729,650.00","120,975,003,140.00","38,351,110,060.00","77,330,851,840.00","109,084,157,930.00","141,668,175,160.00","42,426,713,970.00","82,509,143,780.00","111,374,415,670.00","138,441,226,000.00","38,341,624,000.00","77,522,287,000.00","116,378,417,000.00","159,044,041,000.00","59,755,914,000.00","124,450,065,000.00","186,948,866,000.00","240,712,301,000.00","69,737,528,000.00","142,623,837,000.00","205,756,653,000.00","259,664,820,000.00","75,205,780,000.00"
二、营业利润,"5,514,980,480.00","7,727,934,500.00","9,323,650,810.00","3,414,057,810.00","8,328,032,500.00","11,392,314,040.00","13,450,503,680.00","4,376,975,570.00","10,206,398,870.00","13,090,639,640.00","14,916,873,000.00","4,729,228,000.00","11,378,096,000.00","15,275,326,000.00","17,435,975,000.00","5,265,451,000.00","13,036,153,000.00","18,243,070,000.00","21,627,854,000.00","6,754,463,000.00","16,300,282,000.00","22,776,551,000.00","25,564,111,000.00","7,683,772,000.00"
减:营业成本,"50,818,563,750.00","71,919,645,670.00","92,818,063,060.00","28,689,939,330.00","57,343,283,310.00","81,481,479,400.00","105,669,686,470.00","31,041,580,760.00","59,878,905,740.00","82,112,451,410.00","102,662,818,000.00","26,906,188,000.00","54,866,160,000.00","83,828,027,000.00","115,615,437,000.00","44,782,859,000.00","93,051,081,000.00","139,559,489,000.00","180,460,552,000.00","51,869,174,000.00","103,881,438,000.00","149,664,730,000.00","188,164,557,000.00","53,877,858,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"344,871,740.00","487,724,620.00","609,932,610.00","215,272,480.00","446,827,770.00","621,111,050.00","809,596,210.00","329,869,890.00","568,635,770.00","737,243,390.00","911,330,000.00","276,519,000.00","467,762,000.00","662,794,000.00","1,077,119,000.00","361,767,000.00","754,771,000.00","1,076,026,000.00","1,416,428,000.00","403,126,000.00","847,650,000.00","1,223,984,000.00","1,617,566,000.00","489,405,000.00"
营业外收入,"354,675,470.00","641,158,350.00","1,005,224,280.00","122,099,170.00","553,423,060.00","706,470,730.00","1,057,069,210.00","94,168,960.00","650,591,410.00","1,224,383,790.00","1,707,039,000.00","292,676,000.00","903,272,000.00","1,258,778,000.00","1,819,009,000.00","387,856,000.00","990,914,000.00","1,089,198,000.00","467,204,000.00","60,554,000.00","150,800,000.00","226,964,000.00","434,756,000.00","57,022,000.00"
销售费用,"6,134,252,630.00","9,064,801,580.00","12,432,343,860.00","3,710,417,810.00","7,623,680,060.00","10,761,772,360.00","14,733,917,420.00","5,363,077,420.00","8,986,099,390.00","11,598,555,140.00","14,799,769,000.00","4,977,071,000.00","8,185,178,000.00","12,341,424,000.00","17,678,451,000.00","6,820,223,000.00","12,404,770,000.00","19,954,150,000.00","26,738,673,000.00","7,468,456,000.00","16,892,503,000.00","24,397,272,000.00","31,085,879,000.00","9,513,634,000.00"
减:营业外支出,"147,762,310.00","197,327,430.00","317,103,090.00","81,111,660.00","133,112,020.00","223,702,620.00","516,888,300.00","43,517,960.00","100,416,370.00","184,525,290.00","572,558,000.00","21,506,000.00","103,799,000.00","193,914,000.00","340,381,000.00","63,474,000.00","419,943,000.00","492,928,000.00","240,284,000.00","25,846,000.00","56,509,000.00","79,098,000.00","225,809,000.00","21,839,000.00"
管理费用,"3,157,978,590.00","4,764,709,770.00","6,733,456,280.00","1,621,891,070.00","3,349,324,400.00","5,083,442,380.00","7,498,255,090.00","1,607,661,570.00","3,604,757,130.00","5,496,106,100.00","7,441,755,000.00","1,662,776,000.00","3,690,059,000.00","5,981,080,000.00","9,620,777,000.00","3,178,001,000.00","6,832,958,000.00","10,430,157,000.00","14,780,236,000.00","3,757,242,000.00","7,234,520,000.00","5,629,888,000.00","9,571,639,000.00","1,977,121,000.00"
其中:非流动资产处置净损失,,"112,845,330.00","198,119,540.00","62,182,410.00","99,791,390.00","175,127,200.00","270,391,260.00","26,312,080.00","77,444,620.00","138,447,080.00","287,167,000.00","12,537,000.00","32,149,000.00","73,136,000.00","172,663,000.00","15,889,000.00","37,127,120.00","93,239,000.00",,,,,,
