科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"726,859,830.83","865,031,602.51","948,060,983.31","341,370,810.51","508,305,776.90","702,747,274.63","154,402,163.26","300,299,806.86","530,140,841.91","718,010,567.46","92,738,548.35"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,"62,000,000.00","555,900,000.00","214,900,000.00","339,679,000.00","910,120,000.00","330,230,000.00","533,932,887.67","496,092,887.67","797,885,000.00","315,734,490.00"
收到其他与经营活动有关的现金,"4,906,699.49","12,559,984.17","7,106,009.03","19,758,164.98","16,954,441.67","19,592,725.35","15,195,817.54","25,596,060.91","32,774,158.15","60,312,961.61","5,770,236.91"
投资活动现金流出小计,"33,216,454.17","103,152,445.17","586,691,542.58","242,768,459.92","377,447,970.56","941,275,537.17","361,300,050.66","573,591,109.14","595,280,625.35","1,230,023,223.61","566,137,019.79"
经营活动现金流入小计,"731,766,530.32","877,591,586.68","955,166,992.34","361,128,975.49","525,260,218.57","722,339,999.98","169,597,980.80","325,895,867.77","562,915,000.06","778,323,529.07","98,508,785.26"
投资活动产生的现金流量净额,"-33,196,838.79","-102,734,777.35","-113,962,014.29","16,737,227.46","-24,642,283.18","-297,469,849.79","-119,300,050.66","-167,018,221.47","-60,597,737.68","-490,119,742.42","-156,752,925.29"
购买商品、接受劳务支付的现金,"565,495,552.49","615,435,585.46","610,262,903.93","264,316,958.05","401,777,760.12","526,473,490.39","83,204,336.50","175,104,882.11","327,950,455.34","480,791,466.81","307,804,492.23"
吸收投资收到的现金,,,,,,"806,839,672.00",,,"2,000,000.00","4,250,000.00","500,000.00"
支付给职工以及为职工支付的现金,"21,933,603.41","35,984,126.37","41,013,764.52","18,742,153.23","31,579,431.30","42,658,334.06","12,095,636.36","23,065,652.90","34,276,571.41","48,341,301.03","16,717,826.99"
