科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"16,543,643.52","86,493,387.09","111,161,456.80","93,383,841.69","98,474,331.50","82,394,893.94","549,744,487.50","553,447,059.31","549,186,154.82","572,787,711.55","524,441,748.04","443,576,335.10","397,128,081.90","519,251,688.80","326,412,839.30","371,760,949.64","356,138,756.47","325,066,218.94","241,549,489.74","193,180,882.83","188,048,468.26","159,449,202.36","371,333,022.61","317,483,721.78","387,381,696.89","773,834,069.07","439,205,559.60","546,239,435.82","411,881,767.73","403,241,684.31","264,779,686.27","538,902,752.78","360,261,724.16","398,750,539.22","964,169,778.11","939,549,569.07","762,646,739.51","547,537,674.80","363,709,676.15"
短期借款,,,"30,000,000.00","40,000,000.00","40,000,000.00","46,000,000.00","6,000,000.00",,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","50,000,000.00",,"260,000,000.00","410,000,000.00","370,000,000.00","280,000,000.00","220,000,000.00","567,990,000.00","393,860,000.00","594,500,000.00","644,500,000.00","900,000,000.00","842,250,000.00","896,850,000.00","1,025,500,000.00","1,224,850,000.00","1,374,400,000.00","1,220,950,000.00","934,500,000.00"
交易性金融资产,,,,,,,,,,,,"65,096,236.11","80,560,000.00",,"120,450,847.22","63,179,616.66","53,667,211.11",,,"1,929,090.00","218,082.19",,"18,172,800.00",,"13,086,075.00","6,303,870.00",,"3,800,651.00","10,306,820.00","953,440.00","679,760.00",,"856,000.00","3,407,620.00",,,,,"67,866,850.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,000,000.00","27,000,000.00"
应收票据,,,"400,000.00","400,000.00","50,000.00",,,"100,000.00","550,000.00","1,589,500.00","1,070,000.00","638,200.00","738,200.00","500,000.00","300,000.00","50,000.00","1,146,390.00","13,981,298.28","9,320,031.08","7,486,827.25","9,050,000.00","6,950,000.00","1,955,356.60","441,894.00","341,894.00","16,065,641.81","2,110,097.01","6,650,000.00","2,310,000.00","2,800,000.00","1,902,000.00","330,000.00",,"209,600.00","1,409,600.00","5,241,000.00","2,000,000.00","4,355,572.00","7,535,486.00"
应付票据,,,,,,,,,,,,,,,"106,000.00","6,133,515.00","10,517,909.98","11,440,678.75","9,199,609.97","5,893,814.98","6,730,736.77","8,485,029.90","3,679,825.00","3,827,855.00","5,426,785.00","13,365,845.00","10,207,630.00","2,535,420.00","14,035,122.50","5,683,180.00","10,000,000.00","10,000,000.00","26,650,000.00",,,,,"62,601,275.48",
应收账款,"7,144,460.26","5,977,937.52","6,131,425.58","11,106,901.66","16,834,632.31","13,739,268.99","30,545,085.37","18,958,234.12","36,171,413.92","17,574,633.05","39,444,681.30","34,708,551.15","52,059,138.93","18,544,233.98","50,798,429.96","54,910,806.30","74,214,970.07","54,257,130.25","118,159,562.99","134,765,831.80","175,727,517.41","134,215,077.73","248,689,847.21","299,168,708.24","292,840,543.01","174,039,647.58","288,648,739.12","328,439,102.37","415,000,502.28","214,995,763.22","356,602,132.22","365,048,558.07","440,036,144.26","266,804,025.25","411,199,315.61","364,358,345.76","443,784,461.71","316,605,938.90","383,095,265.63"
应付账款,"30,098,486.98","37,077,284.77","43,487,030.70","51,678,229.93","69,877,495.10","67,969,012.80","65,493,081.78","67,894,938.30","77,106,631.71","90,750,490.20","78,608,641.42","71,794,301.26","85,315,555.61","89,961,792.02","87,309,115.86","101,659,902.55","106,469,513.85","117,696,315.81","100,689,708.23","77,857,861.00","86,044,509.63","92,604,107.16","137,250,757.24","89,895,232.15","152,902,292.68","207,417,822.82","135,922,650.50","172,770,897.25","210,005,698.83","283,971,626.45","175,060,706.87","195,542,993.04","266,787,084.82","245,269,602.80","221,393,896.99","172,325,180.64",,"315,311,191.91",
预付款项,"8,641,317.58","2,620,415.64","32,722,014.06","20,442,428.20","36,520,776.03","22,203,364.05","21,776,632.98","26,649,853.36","38,474,618.39","16,814,263.33","19,305,973.90","20,582,684.23","25,893,623.17","8,601,124.19","12,413,000.39","43,136,018.95","27,244,536.25","14,529,502.34","15,398,411.50","6,525,462.24","31,729,877.30","34,120,679.19","276,525,139.06","72,759,786.59","21,714,596.08","30,968,353.92","63,446,897.73","161,455,400.44","92,874,718.88","48,405,306.74","45,977,491.33","63,137,680.82","88,320,495.98","56,712,445.55","75,042,739.19","39,676,107.80","88,009,298.83","56,780,858.32","72,110,118.19"
预收款项,"7,747,300.17","11,205,245.73","12,613,678.91","4,604,681.23","5,619,068.09","10,730,648.84","6,382,989.98","16,723,678.40","12,521,230.18","11,669,048.23","10,076,830.19","11,827,027.21","10,190,405.41","17,100,097.71","14,808,158.78","16,438,388.27","13,151,040.43","18,684,041.97","8,715,926.36","8,902,071.42","13,652,297.18","16,119,319.22","266,756,816.13","6,791,403.08","11,055,778.74","18,570,258.30","25,457,943.68","46,598,064.61","33,720,624.73","25,369,346.85","52,534,294.70","40,848,070.32","37,280,618.30","25,425,094.36","52,264,815.05","27,202,446.69","38,709,800.92","24,153,832.15","37,178,932.28"
其他应收款,"3,969,402.95","3,291,619.57","566,050.91","1,410,425.69","2,995,508.43","1,064,175.38","4,127,193.86","2,955,855.27","3,726,353.71","1,820,708.72","8,726,821.61","6,957,753.16","8,209,081.01","3,694,137.04","6,748,516.80","7,756,520.87","9,223,360.02","10,775,889.56","10,285,582.07","12,568,687.06","14,815,935.97","9,586,553.84","19,508,919.59","30,484,146.02","59,446,264.90","8,282,112.10","20,508,825.01","22,431,083.22","48,245,172.77","64,140,044.54","60,893,195.33","39,270,148.28","56,893,205.06","92,206,699.83","99,547,306.14","98,134,362.70","74,553,281.16","49,605,164.23","86,997,368.00"
