科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"117,695,795.71","162,575,140.56","216,302,048.79","102,447,985.07","186,341,491.77","281,076,119.50","68,110,771.54","146,793,735.14","235,984,765.89","344,711,468.75","92,907,190.67","188,891,657.90","293,571,280.00","419,759,004.37","125,788,711.03","260,946,625.24","405,262,515.03","572,387,754.09","173,012,465.49","320,634,016.33","492,718,498.79","693,730,010.07","175,489,390.46","360,408,255.91","527,806,389.29","691,816,114.11","320,821,494.48","1,035,739,209.22","1,572,291,406.73","2,424,822,505.00","384,382,323.57","1,544,885,624.05","2,587,705,936.85","3,518,942,293.76","409,332,560.22","1,673,673,315.10"
二、营业利润,"20,063,092.51","23,463,142.39","33,674,596.95","13,831,898.08","27,423,865.61","44,017,644.53","10,952,536.11","21,607,977.47","40,030,961.40","60,002,706.86","21,700,301.17","37,493,042.76","58,000,761.19","81,797,442.52","28,557,440.07","49,215,746.82","71,239,666.91","104,577,884.15","36,271,516.16","64,271,945.23","91,056,212.44","138,262,830.15","40,958,602.54","75,746,418.96","109,807,091.39","118,949,207.10","70,278,414.64","167,014,248.57","283,647,667.61","456,428,987.37","54,545,064.95","275,370,605.15","468,297,178.87","701,141,765.36","58,841,651.15","281,919,474.39"
减:营业成本,"86,172,262.02","117,288,282.43","159,456,100.60","76,695,851.97","137,930,346.13","203,657,868.77","49,333,329.90","108,345,642.19","174,261,318.72","255,562,120.62","65,944,706.13","138,904,467.54","212,705,567.76","305,374,337.73","86,467,378.47","187,136,064.82","291,907,284.10","418,519,741.05","116,725,263.20","218,769,050.64","339,415,345.10","472,482,071.81","113,979,120.34","243,578,011.36","358,065,006.30","467,128,516.40","211,934,350.51","771,655,736.53","1,138,803,017.82","1,733,135,033.38","263,070,724.38","1,137,601,378.12","1,884,041,059.50","2,506,375,269.71","271,414,834.06","1,227,265,380.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"686,125.23","1,720,013.64","1,474,160.43","634,638.50","1,276,184.83","1,900,667.63","411,250.52","909,609.72","1,404,786.51","2,393,802.20","659,406.29","1,339,790.71","2,048,051.30","3,357,528.99","711,190.09","2,318,966.93","3,363,412.52","4,923,903.46","2,111,858.84","3,178,873.24","4,451,895.72","6,960,642.58","2,015,980.69","4,090,953.34","5,513,196.73","7,118,387.78","4,634,439.50","7,298,183.71","9,705,194.28","12,794,468.18","794,025.31","5,395,092.37","7,843,631.53","13,895,529.47","3,211,389.52","7,579,858.40"
营业外收入,"2,063,482.51","2,915,200.00","3,719,713.86","2,297,150.00","3,333,640.00","3,683,635.36","5,073,580.00","5,827,522.00","7,687,522.00","9,109,322.00","150,000.00","1,796,891.00","70,418,891.01","68,200,295.92","664,275.00","1,518,682.95","2,336,680.57","1,722,490.73","337,900.59","1,535,721.24","1,695,071.25","2,061,297.92","1,456,359.53","1,619,915.62","1,892,352.48","2,657,540.40","1,128,841.76","12,116,458.59","15,119,694.70","15,511,529.40","1,139,355.05","1,464,060.51","1,722,001.11","318,489.23","230,293.85","363,021.06"
销售费用,"2,450,701.74","6,789,438.90","7,726,676.19","2,797,226.65","5,559,712.09","10,756,222.78","841,258.82","4,050,985.55","5,579,125.13","11,829,801.61","1,133,276.57","4,351,213.75","8,262,120.30","14,262,748.95","1,382,553.92","5,243,113.37","9,287,118.91","16,563,535.00","1,760,973.99","7,137,689.02","12,416,143.15","17,351,107.43","1,644,431.23","7,826,511.43","17,105,534.61","20,747,678.58","6,600,772.24","18,800,986.19","31,188,814.51","37,534,632.65","11,348,795.37","25,498,741.48","38,369,475.39","34,364,460.87","10,305,895.92","19,526,702.36"
减:营业外支出,"59,774.46","1,118,670.00","2,602.08","5,534.26","5,534.26","5,872.21",360.00,362.00,362.00,363.14,"510,691.01","511,824.01","548,024.01","1,244,155.03","1,339.91","5,200.88","105,993.27","159,130.37","30,399.93","134,767.71","135,317.69","191,220.96",254.63,"9,124.94","167,704.93","197,705.43",,"4,800.00","414,571.75","1,679,552.18","6,829.90","47,250.46","88,365.24","358,744.68","327,423.06","474,206.21"
管理费用,"6,576,903.20","9,114,561.65","11,556,043.65","5,662,014.40","9,642,598.83","17,346,118.11","4,449,742.32","9,082,665.97","12,782,999.70","20,712,298.44","4,334,558.38","10,240,048.79","15,963,996.98","24,143,650.80","8,251,617.84","17,927,584.06","29,927,980.91","33,984,953.55","10,066,675.56","23,348,168.54","37,296,301.40","59,115,623.10","13,364,474.88","25,496,605.04","38,040,171.16","84,418,651.94","22,238,801.06","54,461,946.05","82,559,467.09","117,817,198.32","27,648,034.60","58,272,394.61","92,708,666.74","141,338,509.82","32,914,579.65","72,581,072.79"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,166.65",,,,,,
