科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,226,096,486.77","1,050,765,265.13","966,060,053.95","282,043,565.07","772,228,536.13","1,177,354,985.07","1,622,760,818.73","452,221,968.21","990,387,656.23","1,406,562,177.73","1,736,920,681.79","336,066,690.95","702,012,182.09","1,031,192,422.78","1,365,798,009.88","370,157,021.01","894,952,334.64","1,390,878,584.97","1,854,182,467.27","437,667,848.38","1,104,338,704.76","1,630,241,627.82","2,164,844,615.63","412,608,781.57","1,079,599,190.55","1,525,834,299.07","2,028,542,901.46","75,467,237.23","168,360,180.49","295,911,912.31","530,528,699.72","117,898,838.99","295,350,420.47","452,052,952.79","767,180,576.40","127,908,800.96","393,280,945.65","634,145,324.56","994,005,467.25","173,442,486.09"
二、营业利润,"77,172,076.02","48,889,227.78","86,326,731.42","22,049,264.84","61,139,953.89","88,117,049.18","103,584,975.27","28,487,186.15","76,639,669.82","111,261,505.23","128,970,999.66","19,054,026.52","41,262,112.80","52,091,317.45","62,500,707.77","9,853,562.59","22,929,383.48","38,523,090.80","42,735,049.24","12,963,567.59","33,878,009.24","48,586,560.66","59,924,376.82","14,351,120.46","42,442,262.08","70,269,559.74","110,139,354.31","27,997,911.66","52,818,877.91","77,496,932.62","125,287,402.49","30,564,594.88","56,144,187.04","88,882,392.86","155,957,892.17","37,762,138.17","85,843,270.17","128,098,126.27","170,240,313.21","20,412,184.89"
减:营业成本,"1,077,655,691.10","913,020,619.62","813,529,327.61","238,447,465.16","665,072,444.00","1,025,883,235.79","1,430,387,380.31","397,713,790.88","858,463,373.15","1,219,263,917.60","1,517,237,592.66","299,309,057.55","617,174,850.22","916,360,035.86","1,214,686,210.17","338,980,039.71","820,808,696.34","1,281,972,445.93","1,706,989,144.99","406,244,394.07","1,006,309,061.44","1,489,328,836.70","1,968,480,272.35","374,671,660.94","949,070,985.92","1,337,605,425.99","1,737,162,196.79","35,690,469.60","77,788,125.45","138,670,859.54","259,139,737.07","53,129,990.54","145,719,809.73","224,541,037.16","404,658,462.26","53,950,778.60","198,318,855.67","331,855,148.88","558,657,901.54","93,460,034.72"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,692,547.80","5,303,480.84","2,189,861.93","297,663.26","1,135,814.24","2,385,761.29","2,655,065.42","552,159.12","1,744,212.43","2,474,012.83","2,602,183.76","744,135.75","2,034,811.30","3,345,325.87","4,213,029.00","266,902.63","1,333,740.08","3,106,223.96","4,884,465.15","795,519.35","3,313,590.06","4,286,206.98","6,714,732.69","546,358.20","3,073,763.92","3,062,855.74","7,494,569.86","303,086.77","509,178.06","1,232,790.20","5,077,605.06","677,759.58","1,941,914.44","2,613,227.22","6,010,342.40","524,951.06","2,241,607.15","3,213,540.95","5,962,848.26","829,701.06"
营业外收入,"2,049,120.43","3,838,500.48","4,624,943.69","1,318,567.41","1,993,939.26","6,810,845.93","16,742,557.67","1,457,413.96","4,479,002.90","5,030,014.22","6,496,207.71","414,939.61","4,656,529.78","8,654,670.25","9,226,455.84","1,776,527.83","2,241,786.89","4,351,535.06","4,107,344.57","1,137,699.95","2,226,853.24","3,306,532.65","4,038,173.43","502,171.53","2,313,979.72","3,540,540.10","79,779,545.59","804,796.12","1,263,211.67","3,015,386.71","4,871,532.61","2,914,152.86","3,958,600.64","6,053,332.26","3,703,341.02","308,902.73","937,348.67","4,895,443.32","1,968,961.00","3,436,071.12"
销售费用,"24,039,411.81","28,912,347.69","32,369,798.54","9,154,947.78","20,991,744.95","32,457,804.26","43,206,102.12","12,157,716.65","25,946,194.84","37,599,781.87","48,147,454.52","8,335,419.43","19,657,028.11","27,966,073.09","38,407,548.72","7,310,515.15","18,302,357.77","30,585,698.64","46,088,641.61","11,458,191.15","28,611,474.59","44,198,966.13","59,016,198.60","12,763,989.07","32,683,725.21","45,855,092.90","62,935,568.89","1,269,960.17","4,562,807.44","8,208,557.64","13,818,840.36","3,459,291.43","10,029,004.30","14,843,640.40","21,116,126.37","3,443,642.00","11,473,556.27","16,658,779.76","24,753,957.93","4,471,044.78"
减:营业外支出,"4,044,933.40","2,079,102.02","2,725,750.29","851,414.85","1,315,163.20","2,762,583.05","4,760,836.92","811,075.65","2,162,015.72","3,100,637.28","6,141,486.80","1,428,867.60","2,848,208.60","3,169,266.63","4,272,667.23","138,893.82","349,265.92","666,657.23","12,305,323.18","297,666.99","4,605,780.02","6,400,354.50","16,169,157.50","216,358.29","3,463,844.91","4,845,391.11","9,694,371.55",,"153,965.99","401,416.69","791,783.29",,"13,083.48","24,459.67","157,098.95",23.34,"151,138.04","313,128.69","772,215.81","9,348.86"
管理费用,"25,150,270.49","28,854,041.97","23,602,151.48","6,275,319.80","12,655,075.47","19,898,489.13","36,088,517.66","8,773,682.04","18,402,535.40","27,611,595.98","38,816,729.73","8,008,671.94","20,104,068.89","29,966,297.19","41,587,240.85","8,775,061.49","17,455,734.04","27,065,670.94","44,256,879.90","9,446,381.83","23,697,309.75","36,610,531.03","55,870,892.41","13,036,697.15","41,770,246.93","63,997,637.41","102,415,272.68","10,946,306.61","29,938,847.77","63,480,412.31","116,307,720.27","30,549,223.27","77,003,659.50","115,365,247.32","173,171,423.32","32,568,583.10","100,012,135.90","146,600,076.50","158,801,178.78","45,763,739.26"
其中:非流动资产处置净损失,,,,,,,"1,360,040.34",,,,,,"1,079,211.68",,"1,681,430.92",,"104,089.98","114,784.59","10,575,345.22",,"1,331,210.33","2,341,091.42","5,913,359.55","58,050.20","1,998,578.86","2,047,410.96","4,907,802.22",,,,"39,659.27",,,,,,,,,
