科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"38,470,959.44","60,575,317.18","110,971,159.24","431,528,276.13","553,103,517.03","411,021,448.81","254,492,793.02","491,094,348.38","348,090,635.31","285,029,444.38","304,133,186.07","205,025,379.99","201,410,517.98","188,765,209.79","419,481,350.87","536,002,990.80","368,219,182.79","302,411,001.31","196,253,036.12","167,175,254.25","50,864,262.98","182,027,199.44","553,770,303.97","168,583,334.11","414,845,603.41","400,130,763.89","429,646,397.38","352,874,811.44"
短期借款,"20,000,000.00","65,000,000.00","62,000,000.00","62,000,000.00","150,000,000.00","290,000,000.00","290,000,000.00","670,000,000.00","568,000,000.00","568,000,000.00","636,700,000.00","506,700,000.00","530,000,000.00","430,000,000.00","779,230,752.25","843,840,000.00","734,089,213.75","489,189,213.75","188,500,000.00","88,500,000.00",,,"200,000,000.00","200,000,000.00","193,437,980.44","165,893,264.00","166,478,770.93","255,149,506.31"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"13,675,253.40","21,342,440.49","57,513,466.80","58,719,289.00","35,883,116.00","34,555,426.62","37,526,322.62","33,216,205.00","41,539,907.34","30,937,270.30","52,244,643.84","31,825,175.95","41,573,990.75","6,600,000.00","8,466,620.00","6,511,572.50","2,498,432.00","3,445,191.00","22,221,380.00","2,560,000.00","21,572,559.59","16,829,822.53","27,684,677.00","19,332,413.02","24,109,971.00","25,145,230.00","50,874,272.23","12,213,830.00"
应付票据,"10,517,836.42","8,952,293.08","47,165,636.71","49,654,355.13","77,568,136.77","87,067,650.76","48,810,034.67","63,342,016.89","61,105,957.31","53,532,057.33","47,329,158.81","94,899,413.90","124,337,381.58","255,603,947.09","146,383,088.65","160,509,610.61","81,525,662.83","54,904,197.79","233,751,797.52","187,680,687.45","83,958,314.18","33,947,028.44","30,190,391.00","22,813,560.00","41,906,088.73","48,334,715.96","23,690,861.14","17,820,769.54"
应收账款,"42,149,080.10","59,950,496.07","69,340,021.79","84,419,060.64","77,767,514.69","120,572,462.67","123,466,888.55","172,571,200.40","191,587,077.61","212,518,056.86","194,739,757.44","214,100,992.08","258,565,900.67","277,004,908.69","269,296,626.65","330,189,005.25","414,332,310.00","363,123,439.91","279,935,840.29","305,179,961.66","275,169,802.94","274,102,851.59","251,486,421.37","249,157,925.11","462,597,144.13","443,130,326.94","480,088,944.17","417,505,667.47"
应付账款,"17,632,098.63","12,979,267.44","14,965,414.23","12,500,128.40","13,160,303.04","9,443,854.65","67,617,597.79","12,709,203.31","172,610,081.90","190,513,418.51","235,087,793.83","288,549,359.42","312,527,164.59","358,219,792.99","371,115,808.06","336,057,150.39","366,798,304.13","360,515,050.85","337,752,066.66","345,369,245.58","124,163,013.14","67,149,565.36","62,428,703.62","77,044,533.76","229,088,457.20","220,965,816.07","209,186,629.25","215,315,601.45"
预付款项,"3,135,325.87","3,586,855.80","12,929,983.37","20,426,203.56","45,604,615.11","63,281,685.31","193,684,777.58","170,401,173.79","178,770,146.54","185,614,350.87","92,535,361.41","120,864,799.50","91,570,236.07","99,285,883.69","29,492,154.37","33,041,249.98","21,014,189.37","27,620,490.71","3,619,983.78","18,617,645.59","14,805,290.72","11,407,658.92","5,120,270.68","1,064,060,309.73","43,382,629.21","46,197,302.55","27,898,014.80","13,112,277.20"
预收款项,"43,081,681.52","38,198,401.70","44,302,364.76","31,169,265.16","16,797,698.09","7,020,599.53","6,797,048.70","8,944,883.30","10,318,187.40","9,877,146.20","15,507,917.60","36,326,924.55","12,543,289.97","11,269,309.14","14,780,817.58","14,925,972.26","2,524,520.20","3,953,046.69","9,886,367.64","10,140,169.95","2,659,932.05","43,350,990.85","44,895,903.83","14,704,353.62","701,107,702.93","874,324,121.86","141,442,408.26","180,098,262.82"
其他应收款,"1,071,787.81","1,792,235.99","1,336,547.83","1,766,364.67","2,260,119.65","4,318,605.01","4,009,515.13","8,453,923.93","8,270,978.14","8,924,382.27","6,707,278.12","8,485,543.13","9,894,591.59","10,045,929.37","20,573,644.39","27,785,538.72","14,906,540.07","10,554,951.92","6,890,206.04","10,273,038.93","5,672,748.25","54,979,346.92","53,766,078.00","17,396,878.54","8,688,680.22","22,858,703.28","37,354,870.92","53,850,931.17"
