科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"886,111,217.31","649,824,680.89","632,314,151.37","411,624,694.58","591,810,101.13","658,652,997.68","117,255,117.25","267,232,850.48","406,465,958.28","514,703,852.71","177,836,697.13","336,231,410.08","479,140,272.02","564,547,576.43","105,082,147.63","215,083,760.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"179,690,396.61","179,690,396.61","89,690,396.61",,,,,,
收到的税费返还,"247,946.60","364,373.50","213,391.74",,,,,,"5,187,796.34",,,,"3,389,780.14",,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"23,407,438.20","23,452,254.88","30,818,719.30","4,690,150.56","38,540,265.57","7,289,172.78","5,158,189.34","34,329,296.59","17,367,044.10","14,686,615.69","3,847,605.19","6,352,290.00","19,070,219.60","10,396,817.13","4,356,173.92","5,042,883.92"
投资活动现金流出小计,"2,642,493,571.94","3,130,138,412.24","2,405,141,966.92","1,536,109,078.45","2,841,654,475.42","3,342,406,923.16","581,132,075.18","1,479,970,055.76","1,727,309,329.45","2,353,475,956.63","104,084,003.35","409,670,955.32","630,909,969.65","784,326,129.91","22,715,524.49","67,837,077.96"
经营活动现金流入小计,"909,766,602.11","673,641,309.27","663,346,262.41","416,314,845.14","630,350,366.70","665,942,170.46","122,413,306.59","301,562,147.07","429,020,798.72","529,390,468.40","181,684,302.32","342,583,700.08","501,600,271.76","574,944,393.56","109,438,321.55","220,126,644.25"
投资活动产生的现金流量净额,"-74,807,756.06","-95,671,398.31","-33,434,144.49","-411,211,766.06","-370,584,920.06","-352,957,235.76","-103,121,879.36","-367,546,133.93","-242,731,346.65","-290,397,581.50","327,492,161.03","89,121,139.83","78,997,092.89","129,176,282.23","131,583,426.43","83,025,256.81"
购买商品、接受劳务支付的现金,"506,800,003.33","575,067,993.02","370,876,121.39","443,227,860.76","659,440,906.60","742,244,643.01","46,167,617.84","121,052,662.59","232,702,504.73","306,808,659.85","137,519,116.04","284,356,660.06","391,622,039.26","557,057,083.02","140,787,661.18","242,451,158.48"
吸收投资收到的现金,,,,"514,761,800.00","514,761,800.00","514,761,800.00",,,"26,315,920.00","26,315,920.00",,"450,000.00","450,000.00","450,000.00",,
支付给职工以及为职工支付的现金,"27,148,194.24","23,534,263.32","26,392,985.10","18,632,958.70","34,234,105.58","40,279,287.18","10,486,642.61","22,572,099.89","27,823,867.17","43,565,542.45","14,931,192.13","31,580,568.30","35,927,279.03","57,069,027.69","13,886,484.15","31,728,480.78"
取得借款收到的现金,,,,,,,,,,,,,,,,"27,000,000.00"
支付的各项税费,"52,966,225.94","33,213,382.48","38,808,904.27","6,523,997.99","7,900,451.44","8,187,040.23","1,758,618.98","13,510,149.46","17,822,754.74","25,881,393.42","2,809,291.68","11,534,037.39","17,500,579.72","17,834,098.15","3,732,016.24","7,207,827.42"
收到其他与筹资活动有关的现金,"57,400,000.00","102,695,000.00","62,575,000.00","118,135,000.00","118,135,000.00","118,135,000.00","14,517,649.53","105,267,649.53","108,550,224.53","49,914,188.29","42,705,600.00","90,186,043.54","113,913,891.68","182,060,633.31","43,309,029.25","71,567,449.00"
支付其他与经营活动有关的现金,"39,059,564.87","19,188,549.12","17,291,549.54","10,730,549.55","49,824,971.59","29,282,122.35","9,817,967.02","23,947,133.65","44,259,323.36","42,340,953.78","14,658,771.86","27,237,660.70","33,817,521.75","46,997,323.48","42,579,145.71","19,172,383.52"
筹资活动现金流入小计,"57,400,000.00","102,695,000.00","62,575,000.00","632,896,800.00","632,896,800.00","632,896,800.00","14,517,649.53","105,267,649.53","134,866,144.53","76,230,108.29","42,705,600.00","90,636,043.54","114,363,891.68","182,510,633.31","43,309,029.25","98,567,449.00"
经营活动现金流出小计,"625,973,988.38","651,004,187.94","453,369,560.30","479,115,367.00","751,400,435.21","819,993,092.77","68,230,846.45","181,082,045.59","322,608,450.00","418,596,549.50","169,918,371.71","354,708,926.45","478,867,419.76","678,957,532.34","200,985,307.28","300,559,850.20"
偿还债务支付的现金,,,,,,,,"15,000,000.00","18,000,000.00","15,000,000.00",,,,,,
经营活动产生的现金流量净额,"283,792,613.73","22,637,121.33","209,976,702.11","-62,800,521.86","-121,050,068.51","-154,050,922.31","54,182,460.14","120,480,101.48","106,412,348.72","110,793,918.90","11,765,930.61","-12,125,226.37","22,732,852.00","-104,013,138.78","-91,546,985.73","-80,433,205.95"
分配股利、利润或偿还利息支付的现金,"73,886,720.00","61,528,320.00","84,584,960.00",,"76,717,520.00","80,000,000.00",,"196,928.21","270,628.21","310,530.54",,"12,000,000.00","12,030,270.00","12,000,000.00",,
收回投资收到的现金,"2,555,400,000.00","3,022,100,000.00","2,354,700,000.00","1,116,540,000.00","2,451,685,067.00","2,966,074,549.00","474,532,723.00","1,104,082,723.00","1,473,082,723.00","2,049,252,723.00","427,000,000.00","494,000,000.00","704,000,000.00","904,000,000.00","150,000,000.00","150,000,000.00"
支付其他与筹资活动有关的现金,"102,695,000.00","62,575,000.00","118,135,000.00","40,616,500.00","20,041,780.00","28,915,349.53","11,813,444.53","31,501,444.80","74,207,044.80","130,321,044.80","21,635,000.00","90,733,945.30","169,544,041.92","184,086,951.10","3,601,720.00","101,357,021.91"
取得投资收益收到的现金,"12,272,760.88","12,347,013.93","16,188,403.80","8,237,312.39","19,009,318.36","22,941,968.40","3,302,547.82","8,199,382.59","11,320,334.80","13,593,765.48","4,576,164.38","4,576,164.38","5,687,562.67","9,152,623.63","1,071,780.81","676,334.77"
筹资活动现金流出小计,"176,581,720.00","124,103,320.00","202,719,960.00","40,616,500.00","96,759,300.00","108,915,349.53","11,813,444.53","46,698,373.01","92,477,673.01","145,631,575.34","21,635,000.00","102,733,945.30","181,574,311.92","196,086,951.10","3,601,720.00","101,357,021.91"
处置固定资产、无形资产和其他长期资产收回的现金净额,"13,055.00","20,000.00","819,418.63","120,000.00","375,170.00","433,170.00","174,925.00","141,816.24","174,925.00","231,886.65",,"215,930.77","219,281.23","349,788.51","36,970.11","186,000.00"
筹资活动产生的现金流量净额,"-119,181,720.00","-21,408,320.00","-140,144,960.00","592,280,300.00","536,137,500.00","523,981,450.47","2,704,205.00","58,569,276.52","42,388,471.52","-69,401,467.05","21,070,600.00","-12,097,901.76","-67,210,420.24","-13,576,317.79","39,707,309.25","-2,789,572.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-36,980.00",,,,,,,,,,,,-3.17,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,218.64,,"3,190,200.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,567,685,815.88","3,034,467,013.93","2,371,707,822.43","1,124,897,312.39","2,471,069,555.36","2,989,449,687.40","478,010,195.82","1,112,423,921.83","1,484,577,982.80","2,063,078,375.13","431,576,164.38","498,792,095.15","709,907,062.54","913,502,412.14","154,298,950.92","150,862,334.77"
五、现金及现金等价物净增加额,"89,803,137.67","-94,479,576.98","36,397,597.62","118,268,012.08","44,502,511.43","16,973,292.40","-46,235,214.22","-188,496,755.93","-93,930,526.41","-249,005,129.65","360,328,691.64","64,898,011.70","34,519,524.65","11,586,822.49","79,743,749.95","-197,522.05"
