科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"531,573,076.12","607,103,116.75","548,700,566.64","134,259,032.08","279,608,323.63","405,758,909.62","576,275,012.45","116,664,120.20","240,256,097.19","319,081,350.48","496,605,246.50","113,851,269.83","252,926,651.77","400,888,735.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"5,000,000.00",,,,
收到的税费返还,"318,570.41","2,021,644.37","1,754,065.57","773,602.28","1,657,682.97","3,499,127.89","4,363,382.26","476,007.07","700,344.74","1,470,791.08","2,246,391.58","1,275,883.88","429,198.37","1,262,731.23"
支付其他与投资活动有关的现金,"2,555,400.00","2,019,346.35","950,762.22","241,500.00","1,433,801.00","1,433,801.00","1,433,801.00","274,783.14",,,,,,
收到其他与经营活动有关的现金,"15,404,685.77","15,570,448.26","38,318,094.35","2,439,466.98","4,297,965.14","10,415,542.12","5,031,316.33","5,058,693.59","6,813,782.43","12,587,423.35","50,186,130.69","15,971,870.68","22,075,308.20","3,394,688.19"
投资活动现金流出小计,"119,075,383.68","170,639,779.28","258,925,275.79","16,729,022.08","39,365,409.68","152,305,378.09","208,159,203.42","97,136,349.37","127,915,123.61","545,682,458.77","603,368,365.43","225,531,493.52","385,650,995.91","482,962,615.56"
经营活动现金流入小计,"547,296,332.30","624,695,209.38","588,772,726.56","137,472,101.34","285,563,971.74","419,673,579.63","585,669,711.04","122,198,820.86","247,770,224.36","333,139,564.91","549,037,768.77","131,099,024.39","275,431,158.34","405,546,154.98"
投资活动产生的现金流量净额,"-118,005,383.68","-170,469,779.28","-120,783,890.10","-16,729,022.08","-39,365,409.68","-152,305,378.09","-208,159,203.42","-44,998,119.34","-73,326,893.58","-430,661,625.99","-388,017,685.13","-123,858,890.78","-112,816,530.16","-210,128,149.81"
购买商品、接受劳务支付的现金,"284,209,478.59","293,074,263.82","288,568,291.26","82,700,211.70","154,344,446.20","243,996,662.32","309,675,739.75","69,691,372.15","135,708,356.43","164,112,941.46","249,328,816.36","64,205,909.81","173,614,911.28","292,569,679.34"
吸收投资收到的现金,,,,,"202,472,000.00","195,925,502.00","202,472,000.00",,"611,999,976.00","614,449,976.00","611,999,976.00",,,
支付给职工以及为职工支付的现金,"67,739,606.65","67,798,471.96","67,938,151.50","17,962,709.74","35,642,160.14","54,162,596.22","69,412,995.19","18,703,996.54","35,590,241.41","51,597,574.44","78,308,077.55","24,343,206.44","46,504,242.04","69,026,284.25"
取得借款收到的现金,"452,900,000.00","571,000,000.00","755,109,151.00","132,740,000.00","366,740,000.00","654,500,000.00","743,500,000.00","172,500,000.00","378,500,000.00","592,500,000.00","672,500,000.00","251,000,000.00","429,000,000.00","821,814,875.00"
支付的各项税费,"50,051,123.43","62,231,217.70","64,578,969.92","19,287,083.71","27,880,752.29","43,188,388.58","49,945,006.80","9,082,879.46","24,702,452.53","44,014,520.68","58,375,786.80","10,695,902.60","21,360,359.94","33,804,763.81"
收到其他与筹资活动有关的现金,"2,764,789.98",,"9,656,328.68","5,356,328.68",,,"28,400,000.00",,"77,240,000.00","77,240,000.00","107,011,275.07","23,787,230.46","142,840,062.30","146,904,616.55"
支付其他与经营活动有关的现金,"61,898,125.00","50,429,458.65","44,450,356.82","9,292,609.17","20,838,658.87","27,976,872.19","60,049,947.22","7,810,061.60","14,816,759.45","19,392,053.92","53,257,851.45","20,100,086.73","20,683,908.12","3,999,400.24"
筹资活动现金流入小计,"455,664,789.98","571,000,000.00","764,765,479.68","138,096,328.68","569,212,000.00","850,425,502.00","974,372,000.00","172,500,000.00","1,067,739,976.00","1,284,189,976.00","1,391,511,251.07","274,787,230.46","571,840,062.30","968,719,491.55"
经营活动现金流出小计,"463,898,333.67","473,533,412.13","465,535,769.50","129,242,614.32","238,706,017.50","369,324,519.31","489,083,688.96","105,288,309.75","210,817,809.82","279,117,090.50","439,270,532.16","119,345,105.58","262,163,421.38","399,400,127.64"
偿还债务支付的现金,"338,000,000.00","477,375,000.00","693,758,463.71","122,646,200.56","424,361,063.78","613,044,247.11","684,201,063.78","108,500,000.00","324,500,000.00","644,932,150.51","826,932,150.51","108,868,906.99","262,195,165.26","486,695,165.26"
经营活动产生的现金流量净额,"83,397,998.63","151,161,797.25","123,236,957.06","8,229,487.02","46,857,954.24","50,349,060.32","96,586,022.08","16,910,511.11","36,952,414.54","54,022,474.41","109,767,236.61","11,753,918.81","13,267,736.96","6,146,027.34"
分配股利、利润或偿还利息支付的现金,"48,351,063.41","35,954,707.53","74,231,873.32","20,248,654.48","33,421,410.15","41,453,041.02","56,189,113.30","9,299,194.68","35,600,679.94","41,128,309.21","73,436,024.59","2,101,572.71","37,937,074.83","47,628,010.79"
收回投资收到的现金,,,,,,,,,"2,450,000.00","62,450,000.00","162,450,000.00","100,000,000.00","270,000,000.00","270,000,000.00"
支付其他与筹资活动有关的现金,"18,734,867.91","7,956,189.93","26,694,127.48","7,500,000.00","47,209,619.85","50,860,869.12","74,622,711.39","57,525,743.55","93,908,376.79","155,477,881.35","212,609,059.08","51,048,619.52","91,045,275.75","112,659,324.15"
取得投资收益收到的现金,,,,,,,,,,"432,602.75","760,602.75","1,672,602.74","2,758,465.75","2,758,465.75"
筹资活动现金流出小计,"405,085,931.32","521,285,897.46","794,684,464.51","150,394,855.04","504,992,093.78","705,358,157.25","815,012,888.47","175,324,938.23","454,009,056.73","841,538,341.07","1,112,977,234.18","162,019,099.22","391,177,515.84","646,982,500.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,070,000.00","170,000.00","138,141,385.69",,,,,"52,138,230.03","52,138,230.03","52,138,230.03","52,140,077.55",,"76,000.00","76,000.00"
筹资活动产生的现金流量净额,"50,578,858.66","49,714,102.54","-29,918,984.83","-12,298,526.36","64,219,906.22","145,067,344.75","159,359,111.53","-2,824,938.23","613,730,919.27","442,651,634.93","278,534,016.89","112,768,131.24","180,662,546.46","321,736,991.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-299,305.96","-433,841.68","-46,240.16","254,750.00","40,845.34","46,590.36","106,474.55","-14,966.74","-47,689.79","-43,190.97","87,700.77","10,744.49","-10,224.25","508,382.64"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"1,070,000.00","170,000.00","138,141,385.69",,,,,"52,138,230.03","54,588,230.03","115,020,832.78","215,350,680.30","101,672,602.74","272,834,465.75","272,834,465.75"
五、现金及现金等价物净增加额,"15,672,167.65","29,972,278.83","-27,512,158.03","-20,543,311.42","71,753,296.12","43,157,617.34","47,892,404.74","-30,927,513.20","577,308,750.44","65,969,292.38","371,269.14","673,903.76","81,103,529.01","118,263,251.52"
购建固定资产、无形资产和其他长期资产支付的现金,"116,519,983.68","168,620,432.93","257,974,513.57","16,487,522.08","37,931,608.68","150,871,577.09","206,725,402.42","96,861,566.23","127,915,123.61","261,894,458.77","309,030,365.43","120,531,493.52","210,650,995.91","306,462,615.56"
期初现金及现金等价物余额,"34,989,565.06","50,661,732.71","80,634,011.54","53,121,853.51","53,121,853.51","53,121,853.51","53,121,853.51","101,014,258.25","101,014,258.25","101,014,258.25","101,014,258.25","115,225,237.19","101,385,527.39","101,385,527.29"
投资支付的现金,,,,,,,,,,"278,788,000.00","294,338,000.00","105,000,000.00","175,000,000.00","176,500,000.00"
期末现金及现金等价物余额,"50,661,732.71","80,634,011.54","53,121,853.51","32,578,542.09","124,875,149.63","96,279,470.85","101,014,258.25","70,086,745.05","678,323,008.69","166,983,550.63","101,385,527.39","115,899,140.95","182,489,056.40","219,648,778.81"
