科目,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"4,851,268,855.12","6,469,420,829.00","9,795,410,979.70","10,827,709,257.00","16,430,667,793.00","13,401,404,905.00","12,052,023,856.00","20,173,237,870.00","18,225,441,076.00","21,947,321,262.00"
短期借款,"1,722,470,162.16","161,000,000.00","1,525,558,847.90","2,120,465,469.00","1,824,000,000.00","778,615,000.00","852,500,000.00","4,264,759,184.00","4,396,559,184.00","750,000,000.00"
交易性金融资产,,,,"142,774,809.00","142,774,808.00",,,,,
交易性金融负债,,,,,,,,,,
应收票据,"3,896,883.70","17,570,050.00","9,251,999.09","3,599,999.00",,"5,000,000.00","3,000,000.00","2,000,000.00","4,000,000.00","4,000,000.00"
应付票据,"303,374,221.59","451,523,230.00","671,743,934.00","894,252,677.00","1,338,029,671.00","1,660,613,542.00","2,131,516,127.00","2,477,544,617.00","1,803,708,000.00","2,020,261,707.00"
应收账款,"12,946,468.61","5,605,670.00","20,764,080.70","9,395,085.00","19,579,830.00","25,912,671.00","39,221,762.00","33,084,681.00","45,458,828.00","68,875,921.00"
应付账款,"11,223,201,592.41","11,481,458,627.00","9,255,052,123.71","10,895,724,243.00","10,403,587,000.00","12,107,570,013.00","9,471,142,228.00","12,446,999,147.00","12,567,179,908.00","19,527,567,683.00"
预付款项,"3,694,261,781.53","6,874,853,721.00","5,430,676,574.82","1,352,381,536.00","6,160,686,703.00","7,480,655,852.00","13,185,617,088.00","7,442,884,105.00","6,395,914,364.00","10,263,357,589.00"
预收款项,"19,869,544,703.32","15,849,354,917.00","21,169,470,993.40","24,015,076,656.00","34,714,904,836.00","29,828,457,266.00","36,862,856,953.00","42,299,448,355.00","49,749,929,229.00","50,813,608,697.00"
其他应收款,"3,610,863,863.46","3,840,530,474.00","6,726,388,945.59","9,346,351,470.00","11,319,740,924.00","17,173,425,203.00","17,023,431,287.00","16,048,483,134.00","21,338,621,601.00","28,520,226,216.00"
应付职工薪酬,"7,761,162.04","140,943,765.00","10,552,758.20","47,867,669.00","14,641,004.00","450,519,597.00","9,832,529.00","78,243,251.00","9,436,756.00","1,159,662,635.00"
应收关联公司款,,,,,,,,,,
应交税费,"547,627,988.47","1,182,429,214.00","1,097,006,579.87","664,647,020.00","266,747,510.00","1,784,923,840.00","1,127,899,591.00","1,262,652,938.00","1,364,522,055.00","4,117,434,190.00"
应收利息,,,,,,,,,,
应付利息,"48,628,291.15","140,220,696.00","251,401,421.99","420,429,984.00","375,778,461.00","306,215,234.00","361,425,636.00","668,056,644.00","620,613,127.00","564,463,072.00"
应收股利,,,,,,,,,,
应付股利,"805,000.00","805,000.00","805,000.00","805,000.00","805,000.00",,,,,
存货,"38,102,525,647.70","32,727,726,899.00","36,093,046,767.36","38,432,201,482.00","43,699,469,937.00","39,492,552,785.00","46,814,177,006.00","60,634,660,075.00","64,996,019,716.00","76,379,083,643.00"
其他应付款,"8,419,025,907.61","11,276,363,594.00","12,530,527,426.78","10,546,774,556.00","13,457,050,499.00","15,498,209,491.00","17,098,692,804.00","21,877,361,977.00","22,322,526,121.00","35,331,571,447.00"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"1,167,600,000.00","634,200,000.00","460,000,000.00","1,856,619,500.00","1,534,619,500.00","6,533,149,335.00","9,570,757,219.00","10,063,778,677.00","8,083,010,329.00","12,196,204,851.00"
其他流动资产,"1,778,479,791.72","1,499,561,103.00","1,957,850,494.14","2,175,056,971.00","2,517,116,646.00","2,595,392,480.00","2,718,954,468.00","3,688,059,882.00","4,120,599,555.00","4,470,401,507.00"
其他流动负债,"471,132,546.64","704,323,327.00","425,313,597.33","716,235,873.00","664,377,887.00","2,124,063,490.00","2,121,953,318.00","2,469,658,861.00","2,904,364,444.00","3,995,568,593.00"
流动资产合计,"52,054,243,291.84","51,435,268,746.00","60,033,389,841.40","62,289,470,609.00","80,290,036,641.00","80,174,343,896.00","91,836,425,467.00","108,022,409,747.00","115,126,055,140.00","141,653,266,138.00"
流动负债合计,"43,781,171,575.39","42,022,622,370.00","47,397,432,683.18","52,178,898,647.00","64,594,541,368.00","71,072,336,808.00","79,608,576,405.00","97,908,503,651.00","103,821,849,153.00","130,476,342,875.00"
可供出售金融资产,"259,885,262.09","233,985,262.00","233,985,262.09","285,335,262.00","283,065,262.00","293,065,262.00","293,219,262.00","296,639,262.00","296,639,262.00","324,739,262.00"
长期借款,"5,686,252,710.00","4,237,167,500.00","6,259,972,772.72","5,826,328,316.00","8,086,077,165.00","4,856,702,790.00","10,542,796,808.00","15,982,261,239.00","18,754,520,868.00","10,580,707,222.00"
持有至到期投资,,,,,,,,,,
应付债券,"1,986,574,439.08","6,949,013,010.00","9,954,997,286.90","8,794,319,030.00","11,278,596,115.00","9,786,398,365.00","7,953,852,518.00","7,958,946,283.00","7,964,091,786.00","14,857,438,348.00"
长期应收款,"113,492,846.55","119,792,898.00","119,792,897.68","140,168,397.00","154,105,829.00","163,696,425.00","171,606,989.00","171,606,989.00","171,606,989.00","171,606,989.00"
长期应付款,"356,287,373.87",,,"35,602,949.00","35,602,949.00","36,670,220.00","36,670,220.00",,,
长期股权投资,"1,940,406,192.00","2,189,360,310.00","3,208,943,354.52","3,653,324,904.00","3,549,195,150.00","4,549,880,125.00","4,610,821,354.00","9,456,787,689.00","11,494,356,349.00","13,387,020,244.00"
专项应付款,,,,,,,,,,
投资性房地产,"8,346,293,670.30","10,854,000,000.00","11,112,767,559.73","11,456,000,000.00","11,456,000,000.00","13,506,825,892.00","14,263,938,349.00","17,246,000,000.00","17,725,110,375.00","23,496,000,000.00"
预计负债,,,,,,,,,,
固定资产,"679,319,104.86","1,928,734,816.00","1,906,803,907.21","1,890,757,949.00","1,894,246,278.00","1,885,864,133.00","1,866,487,491.00","1,835,390,380.00","2,122,377,845.00","2,183,463,738.00"
递延所得税负债,"643,085,393.29","721,783,286.00","722,488,186.96","899,835,038.00","937,935,953.00","1,050,544,984.00","1,064,589,927.00","1,095,333,069.00","1,139,390,681.00","1,630,398,620.00"
在建工程,"538,784,036.41",,,,,,,,,
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"8,672,199,916.24","11,907,963,796.00","16,937,458,246.58","15,556,085,333.00","20,338,212,182.00","15,730,316,359.00","19,597,909,473.00","25,036,540,591.00","27,858,003,335.00","27,068,544,190.00"
固定资产清理,,,,,,,,,,
负债合计,"52,453,371,491.63","53,930,586,166.00","64,334,890,929.76","67,734,983,980.00","84,932,753,550.00","86,802,653,167.00","99,206,485,878.00","122,945,044,242.00","131,679,852,488.00","157,544,887,065.00"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"1,166,000,000.00","1,708,064,758.00","1,708,064,758.00","2,220,484,186.00","2,220,484,186.00","2,258,984,186.00","2,258,984,186.00","2,258,484,186.00","2,258,484,186.00","2,258,484,186.00"
油气资产,,,,,,,,,,
资本公积,"167,549,774.50","2,925,918,000.00","2,925,918,000.16","2,361,284,597.00","2,361,284,597.00","2,570,495,191.00","2,591,206,741.00","2,608,968,291.00","2,604,036,200.00","2,619,753,118.00"
无形资产,"43,896,316.68","79,180,141.00","84,310,848.89","88,182,814.00","87,464,001.00","92,941,334.00","94,524,390.00","93,771,994.00","94,079,856.00","95,206,894.00"
盈余公积,,"46,643,557.00","46,643,557.19","360,655,351.00","360,655,351.00","67,649,146.00","67,649,146.00","67,649,146.00","67,649,146.00","67,649,146.00"
开发支出,,,,,,,,,,
减:库存股,,,,,,"265,650,000.00","265,650,000.00","249,660,000.00","249,660,000.00","152,686,800.00"
商誉,,,,,,,,,,
未分配利润,"6,065,002,505.02","7,406,433,876.00","7,212,736,790.65","7,760,304,729.00","7,790,917,082.00","10,220,185,809.00","10,262,457,285.00","10,614,115,387.00","11,466,729,254.00","15,503,793,766.00"
长期待摊费用,"41,951,704.86","41,833,209.00","43,267,177.73","30,698,810.00","30,014,584.00","26,043,635.00","20,629,021.00","18,646,369.00","21,179,400.00","29,710,020.00"
少数股东权益,"5,975,328,634.19","1,740,310,717.00","1,450,193,806.95","1,386,064,783.00","1,380,466,063.00","1,514,210,212.00","1,648,528,777.00","1,594,969,417.00","989,916,135.00","5,358,211,255.00"
递延所得税资产,"534,694,341.75","552,712,567.00","612,097,868.46","618,412,301.00","639,832,422.00","772,749,496.00","801,231,077.00","1,061,299,571.00","1,189,219,518.00","1,605,316,157.00"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"1,274,285,638.00","367,247,647.00","367,247,647.00","1,344,095,565.00","635,269,647.00","1,705,197,294.00","1,812,858,394.00","1,639,098,449.00","578,462,456.00","580,331,925.00"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"13,773,009,113.50","16,366,846,850.00","17,689,216,523.31","19,506,976,002.00","18,729,193,173.00","22,996,263,596.00","23,935,316,327.00","31,819,240,703.00","33,693,032,050.00","41,873,395,229.00"
所有者权益(或股东权益)合计,"13,373,880,913.71","13,871,529,430.00","13,387,715,434.95","14,061,462,631.00","14,086,476,264.00","16,367,954,325.00","16,565,255,916.00","16,896,606,208.00","17,139,234,702.00","25,981,774,302.00"
资产总计,"65,827,252,405.34","67,802,115,596.00","77,722,606,364.71","81,796,446,611.00","99,019,229,814.00","103,170,607,492.00","115,771,741,794.00","139,841,650,450.00","148,819,087,190.00","183,526,661,367.00"
负债和所有者(或股东权益)合计,"65,827,252,405.34","67,802,115,596.00","77,722,606,364.71","81,796,446,611.00","99,019,229,814.00","103,170,607,492.00","115,771,741,794.00","139,841,650,450.00","148,819,087,190.00","183,526,661,367.00"
