科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,288,135,534.00","3,478,607,085.00","1,355,222,608.00","2,263,390,240.00","3,414,947,006.00","5,125,730,090.00","1,496,227,810.00","2,341,650,147.00","3,729,066,272.00","6,069,731,959.00","2,103,178,821.00","3,385,774,295.00","5,264,448,724.00","8,456,011,083.00","2,863,689,374.00","4,821,973,754.00","7,591,528,109.00","11,423,237,532.00","2,971,687,211.00","5,869,528,343.00","8,402,151,201.00","11,858,780,439.00","2,878,148,979.00","4,493,076,623.00","6,677,146,433.00","9,353,574,661.00","2,162,338,108.00","3,613,645,436.00","5,505,306,507.00","7,848,942,477.00","2,034,560,089.00","3,295,922,047.00","5,035,877,795.00","7,401,989,001.00","2,193,876,382.00","3,628,954,479.00","5,241,110,067.00","7,618,908,414.00","1,979,357,766.00","3,317,210,429.00","4,963,015,924.00","7,352,607,636.00","2,571,511,726.00"
取得子公司及其他营业单位支付的现金净额,,"67,447,040.00","3,480,000.00","3,480,000.00",,"5,980,000.00",,,,,,,,,,,"33,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,"15,394,412.00",,,,,,,"15,862,621.00",,,,"27,217,068.00",,"5,864,298.00","18,516,193.00","27,624,992.00",,,,,,"26,363,951.00","30,980,958.00","24,280,019.00",,,,"754,030.00",,,,"22,080,042.00",,,,"3,100,476.00",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"33,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,981,427.00","7,466,311.00","1,057,961.00","4,296,482.00","21,048,926.00","28,453,472.00","13,894,915.00","59,945,264.00","66,192,267.00","87,606,808.00","28,576,804.00","42,066,730.00","53,897,654.00","68,582,963.00","37,503,819.00","76,360,403.00","83,520,460.00","175,207,499.00","41,914,900.00","94,717,689.00","148,742,218.00","258,577,886.00","17,834,326.00","101,483,251.00","169,544,859.00","208,138,380.00","34,788,428.00","70,891,594.00","91,407,471.00","162,550,928.00","20,839,782.00","31,348,074.00","50,386,572.00","56,393,530.00","11,805,416.00","35,214,205.00","54,013,339.00","68,281,125.00","30,359,447.00","42,726,698.00","65,740,400.00","83,489,036.00","12,082,743.00"
投资活动现金流出小计,"51,235,917.00","339,417,988.00","63,784,764.00","280,537,762.00","438,289,009.00","718,513,845.00","39,491,660.00","363,449,437.00","889,761,995.00","1,224,118,888.00","142,356,739.00","555,741,816.00","707,026,966.00","852,735,595.00","124,475,507.00","134,404,069.00","230,944,760.00","496,173,960.00","102,333,557.00","135,366,143.00","165,621,125.00","393,561,175.00","44,055,579.00","88,264,239.00","133,431,090.00","181,851,424.00","55,217,946.00","70,409,408.00","112,988,111.00","594,230,308.00","71,278,417.00","111,177,439.00","130,208,906.00","174,766,873.00","144,056,457.00","199,769,859.00","260,594,448.00","270,222,672.00","42,971,150.00","79,748,219.00","191,986,048.00","263,811,127.00","83,333,226.00"
经营活动现金流入小计,"1,291,116,961.00","3,486,073,396.00","1,356,280,569.00","2,267,686,722.00","3,435,995,932.00","5,154,183,562.00","1,525,517,137.00","2,401,595,411.00","3,795,258,539.00","6,157,338,767.00","2,131,755,625.00","3,427,841,025.00","5,318,346,378.00","8,540,456,667.00","2,901,193,193.00","4,898,334,157.00","7,675,048,569.00","11,625,662,099.00","3,013,602,111.00","5,970,110,330.00","8,569,409,612.00","12,144,983,317.00","2,895,983,305.00","4,594,559,874.00","6,846,691,292.00","9,561,713,041.00","2,197,126,536.00","3,710,900,981.00","5,627,694,936.00","8,035,773,424.00","2,055,399,871.00","3,327,270,121.00","5,086,264,367.00","7,459,136,561.00","2,205,681,798.00","3,664,168,684.00","5,295,123,406.00","7,709,269,581.00","2,009,717,213.00","3,359,937,127.00","5,028,756,324.00","7,439,197,148.00","2,583,594,469.00"
投资活动产生的现金流量净额,"-51,235,917.00","-338,368,833.00","-63,512,884.00","-279,573,880.00","-435,540,977.00","-715,458,402.00","-39,460,645.00","-179,054,334.00","-705,257,170.00","-1,038,630,143.00","-141,662,504.00","-554,904,940.00","-705,318,624.00","-851,359,101.00","-124,383,144.00","-118,748,709.00","-215,248,438.00","-438,372,604.00","-100,712,814.00","-133,196,914.00","-163,962,657.00","-386,358,036.00","-43,683,215.00","-86,184,171.00","-129,836,619.00","-175,507,430.00","-53,695,867.00","-66,604,557.00","-16,732,549.00","-494,940,486.00","-71,025,963.00","-110,190,612.00","-130,007,916.00","-171,843,265.00","-143,291,419.00","-199,128,677.00","-258,720,716.00","532,566,189.00","138,139,884.00","103,031,913.00","-8,029,611.00","-80,280,590.00","-83,194,687.00"
购买商品、接受劳务支付的现金,"854,648,686.00","2,241,844,423.00","573,696,105.00","1,401,476,466.00","2,005,857,543.00","3,054,043,786.00","703,229,049.00","1,295,963,781.00","2,212,340,040.00","3,290,241,282.00","941,339,601.00","2,276,432,834.00","4,129,493,194.00","6,801,254,056.00","2,027,552,987.00","3,689,275,464.00","4,950,288,793.00","7,152,992,277.00","1,065,226,584.00","2,257,838,656.00","3,720,172,927.00","5,597,584,793.00","1,190,516,737.00","2,297,672,590.00","3,490,265,655.00","5,150,089,263.00","853,279,614.00","1,658,499,436.00","2,763,414,883.00","4,120,096,873.00","875,661,482.00","1,606,260,509.00","2,851,001,658.00","4,772,839,966.00","1,099,828,350.00","2,026,789,110.00","3,025,200,548.00","4,370,967,537.00","1,063,208,958.00","1,861,232,093.00","3,128,435,102.00","4,645,342,947.00","1,417,363,423.00"
吸收投资收到的现金,,,,,"1,335,332,190.00","1,352,492,960.00",,,,"500,000,000.00",,,,,,,,,,,,,,,,,"69,780,000.00","69,780,000.00","69,780,000.00","69,780,000.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"95,747,041.00","197,138,045.00","74,075,627.00","145,364,648.00","218,046,972.00","308,302,928.00","104,834,903.00","221,140,107.00","325,659,935.00","440,502,318.00","186,586,094.00","311,396,945.00","459,650,825.00","632,874,569.00","251,777,830.00","431,089,619.00","609,973,485.00","829,510,688.00","301,083,756.00","544,630,605.00","784,315,876.00","1,045,769,641.00","308,683,004.00","524,792,876.00","729,860,295.00","963,219,705.00","272,972,186.00","474,506,316.00","674,278,458.00","898,323,578.00","291,168,307.00","518,963,061.00","761,206,277.00","985,813,221.00","317,754,388.00","563,000,287.00","809,883,202.00","1,080,186,865.00","240,813,427.00","590,769,544.00","758,774,327.00","1,086,217,822.00","341,279,420.00"
取得借款收到的现金,"182,799,319.00","830,010,176.00","255,045,594.00","593,448,217.00","1,109,453,682.00","1,800,464,403.00","615,043,940.00","711,483,910.00","1,753,571,463.00","1,772,289,509.00","410,000,000.00","1,300,000,000.00","1,911,700,000.00","3,446,380,891.00","1,165,515,492.00","2,137,830,211.00","2,620,630,211.00","4,475,630,211.00","1,314,000,000.00","2,524,000,000.00","2,722,595,625.00","2,722,595,625.00","247,539,850.00","875,984,024.00","1,596,843,674.00","1,566,843,674.00","718,156,291.00","858,337,425.00","1,065,776,875.00","1,263,076,026.00","400,000,000.00","700,000,000.00","1,285,000,000.00","1,400,000,000.00","230,000,000.00","300,000,000.00","1,600,000,000.00","1,985,000,000.00","425,000,000.00","555,000,000.00","1,350,000,000.00","1,970,000,000.00","485,000,000.00"
支付的各项税费,"110,755,881.00","274,131,191.00","123,869,992.00","242,254,560.00","321,181,909.00","597,117,445.00","106,515,388.00","187,204,322.00","206,557,063.00","431,032,536.00","120,715,429.00","313,245,372.00","454,612,188.00","757,604,563.00","168,574,416.00","545,728,226.00","695,603,115.00","1,106,300,275.00","268,896,036.00","693,790,171.00","829,695,828.00","1,066,190,043.00","276,557,452.00","653,242,618.00","772,606,323.00","1,008,899,972.00","219,120,544.00","317,504,615.00","414,903,777.00","567,153,533.00","164,171,945.00","275,281,214.00","444,846,739.00","551,248,220.00","147,426,976.00","227,448,154.00","302,884,246.00","367,686,956.00","170,680,739.00","296,582,580.00","364,904,937.00","419,180,348.00","119,204,682.00"
收到其他与筹资活动有关的现金,"47,140,309.00","30,000,000.00",,,"80,000,000.00","213,000,000.00","37,190,974.00","35,832,750.00","87,156,791.00","252,074,614.00","38,765,242.00","47,149,199.00","84,652,782.00","266,978,025.00","58,158,377.00","105,762,472.00","108,435,752.00","212,119,293.00","12,503,389.00","59,588,186.00","114,444,608.00","131,875,236.00","17,146,708.00","23,017,201.00","33,636,962.00","40,352,576.00","4,960,000.00","4,960,000.00","13,981,800.00","26,657,754.00","2,274,081.00","4,136,703.00","4,301,593.00","13,549,740.00","3,642,353.00","10,696,599.00","13,326,139.00","45,467,584.00","160,000,000.00","160,000,000.00","260,000,000.00","160,000,000.00","35,805,401.00"
支付其他与经营活动有关的现金,"260,968,853.00","554,994,892.00","162,622,877.00","192,245,719.00","440,277,862.00","724,794,632.00","299,292,650.00","492,661,835.00","834,571,980.00","1,139,252,995.00","291,220,880.00","518,182,986.00","865,756,149.00","1,402,262,179.00","460,469,998.00","787,047,188.00","1,149,469,991.00","1,560,201,231.00","392,108,649.00","753,644,332.00","1,216,971,199.00","1,578,957,975.00","395,965,067.00","738,906,161.00","1,128,107,125.00","1,455,304,034.00","262,817,938.00","561,973,521.00","908,860,704.00","1,128,025,477.00","344,652,258.00","639,766,177.00","982,908,947.00","1,334,239,540.00","411,695,079.00","734,410,773.00","1,132,934,781.00","1,562,764,712.00","402,932,150.00","700,058,203.00","1,167,570,099.00","1,607,834,867.00","466,730,544.00"
筹资活动现金流入小计,"229,939,628.00","860,010,176.00","255,045,594.00","593,448,217.00","2,524,785,872.00","3,365,957,363.00","652,234,914.00","747,316,660.00","1,840,728,254.00","2,524,364,123.00","948,765,242.00","1,847,149,199.00","2,496,352,782.00","4,213,358,916.00","1,723,673,869.00","3,243,592,683.00","3,729,065,963.00","4,687,749,504.00","1,326,503,389.00","2,583,588,186.00","3,637,040,233.00","3,654,470,861.00","1,064,686,558.00","1,699,001,225.00","2,430,480,636.00","3,207,196,250.00","792,896,291.00","1,633,077,425.00","1,849,538,675.00","2,059,513,780.00","402,274,081.00","704,136,703.00","1,289,301,593.00","2,013,549,740.00","233,642,353.00","310,696,599.00","1,613,326,139.00","2,030,467,584.00","585,000,000.00","715,000,000.00","1,610,000,000.00","2,130,000,000.00","520,805,401.00"
经营活动现金流出小计,"1,322,120,461.00","3,268,108,551.00","934,264,601.00","1,981,341,393.00","2,985,364,286.00","4,684,258,791.00","1,213,871,990.00","2,196,970,045.00","3,579,129,018.00","5,301,029,131.00","1,539,862,004.00","3,419,258,137.00","5,909,512,356.00","9,593,995,367.00","2,908,375,231.00","5,453,140,497.00","7,405,335,384.00","10,649,004,471.00","2,027,315,025.00","4,249,903,764.00","6,551,155,830.00","9,288,502,452.00","2,171,722,260.00","4,214,614,245.00","6,120,839,398.00","8,577,512,974.00","1,608,190,282.00","3,012,483,888.00","4,761,457,822.00","6,713,599,461.00","1,675,653,992.00","3,040,270,961.00","5,039,963,621.00","7,644,140,947.00","1,976,704,793.00","3,551,648,324.00","5,270,902,777.00","7,381,606,070.00","1,877,635,274.00","3,448,642,420.00","5,419,684,465.00","7,758,575,984.00","2,344,578,069.00"
偿还债务支付的现金,"168,000,000.00","420,650,278.00","343,489,959.00","460,318,471.00","800,158,295.00","1,197,248,508.00","597,621,098.00","767,059,703.00","1,280,575,793.00","2,364,147,256.00","330,000,000.00","238,718,046.00","538,718,046.00","1,728,718,046.00","1,445,642,055.00","1,781,997,026.00","3,305,657,026.00","4,382,697,026.00","1,263,314,076.00","2,783,314,076.00","4,253,314,076.00","5,397,685,288.00","244,224,413.00","974,224,413.00","1,794,224,413.00","2,673,339,629.00","917,728,458.00","1,148,399,987.00","1,785,449,203.00","2,100,784,066.00","230,020,418.00","1,030,020,418.00","1,180,020,418.00","1,595,020,418.00","300,000,000.00","500,000,000.00","1,990,000,000.00","2,460,000,000.00","535,000,000.00","655,000,000.00","1,230,000,000.00","1,878,000,000.00","407,000,000.00"
经营活动产生的现金流量净额,"-31,003,500.00","217,964,845.00","422,015,968.00","286,345,329.00","450,631,646.00","469,924,771.00","311,645,147.00","204,625,366.00","216,129,521.00","856,309,636.00","591,893,621.00","8,582,888.00","-591,165,978.00","-1,053,538,700.00","-7,182,038.00","-554,806,340.00","269,713,185.00","976,657,628.00","986,287,086.00","1,720,206,566.00","2,018,253,782.00","2,856,480,865.00","724,261,045.00","379,945,629.00","725,851,894.00","984,200,067.00","588,936,254.00","698,417,093.00","866,237,114.00","1,322,173,963.00","379,745,879.00","286,999,160.00","46,300,746.00","-185,004,386.00","228,977,005.00","112,520,360.00","24,220,629.00","327,663,511.00","132,081,939.00","-88,705,293.00","-390,928,141.00","-319,378,836.00","239,016,400.00"
分配股利、利润或偿还利息支付的现金,"6,738,839.00","21,752,140.00","10,360,004.00","21,392,029.00","36,866,809.00","52,355,889.00","19,160,772.00","217,828,084.00","237,795,457.00","261,335,384.00","13,551,548.00","459,497,949.00","479,952,757.00","518,459,978.00","54,948,864.00","496,738,520.00","614,827,657.00","721,591,290.00","44,575,260.00","934,062,196.00","1,028,651,115.00","1,050,846,129.00","694,953,469.00","781,036,549.00","834,857,364.00","846,615,704.00","46,997,545.00","345,207,244.00","318,080,590.00","423,645,070.00","8,821,044.00","110,259,407.00","180,730,246.00","252,746,402.00","11,584,247.00","19,983,985.00","53,601,151.00","124,907,865.00","10,636,042.00","20,602,463.00","34,993,820.00","63,882,179.00","14,994,496.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"3,594,471.00",,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"275,756,526.00","56,860,980.00","58,210,981.00","36,094,700.00","323,732,428.00","17,106,156.00","97,049,236.00","162,471,017.00","302,512,115.00","83,663,416.00","146,469,525.00","177,231,565.00","222,478,609.00","73,773,670.00","570,848,251.00","70,879,860.00","108,382,309.00","44,380,820.00","29,866,308.00","39,617,526.00","65,060,164.00","16,357,325.00","21,089,651.00","31,898,089.00","41,717,602.00","1,509,640.00","11,315,073.00","21,856,989.00","35,936,174.00","26,164,902.00","40,108,404.00","45,050,767.00","56,283,171.00","69,029,548.00","104,529,556.00","104,529,565.00","706,677,800.00","83,810,067.00","89,802,000.00","253,112,000.00","141,827,111.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,000,000.00",,,,,,,,,"169,450,000.00","180,000,000.00","182,726,482.00","182,726,482.00","182,726,482.00",
筹资活动现金流出小计,"174,738,839.00","718,158,944.00","410,710,943.00","539,921,481.00","873,119,804.00","1,573,336,825.00","633,888,026.00","1,081,937,023.00","1,680,842,267.00","2,927,994,755.00","427,214,964.00","844,685,520.00","1,195,902,368.00","2,469,656,633.00","1,574,364,589.00","2,849,583,797.00","3,991,364,543.00","5,212,670,625.00","1,352,270,156.00","3,747,242,580.00","5,321,582,717.00","6,513,591,581.00","955,535,207.00","1,776,350,613.00","2,660,979,866.00","3,561,672,935.00","966,235,643.00","1,504,922,304.00","2,125,386,782.00","2,560,365,310.00","265,006,364.00","1,180,388,229.00","1,405,801,431.00","1,904,049,991.00","380,613,795.00","624,513,541.00","2,148,130,716.00","3,291,585,665.00","629,446,109.00","765,404,463.00","1,518,105,820.00","2,083,709,290.00","421,994,496.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,049,155.00","271,880.00","963,882.00","2,748,032.00","3,055,443.00","31,015.00","1,171,228.00","1,280,950.00","2,264,870.00","694,235.00","836,876.00","1,708,342.00","1,376,494.00","92,363.00","155,360.00","196,322.00","53,339,687.00","1,620,743.00","2,169,229.00","1,658,468.00","7,203,139.00","372,364.00","2,080,068.00",,"6,343,994.00","1,522,079.00","3,804,851.00","30,255,562.00","33,289,822.00","252,454.00","986,827.00","200,990.00","2,923,608.00","765,038.00","641,182.00","1,873,732.00","3,056,672.00","1,111,034.00","53,650.00","1,229,955.00","804,055.00","138,539.00"
