科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"647,884,742.41","592,026,656.63","568,934,210.27",,"209,529,631.45","350,517,724.31","637,829,855.29","104,808,072.97","222,691,376.29","351,592,657.13","640,141,527.61","94,227,760.24","214,176,249.06","415,026,778.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,,,,,,,"190,418.23",,,,,"34,831.19",,
支付其他与投资活动有关的现金,,,,,,"1,813,750.26",,,,,,,,
收到其他与经营活动有关的现金,"26,354,954.96","38,622,457.09","47,915,093.41",,"23,896,264.78","42,450,709.17","65,378,046.64","9,808,381.63","26,165,936.72","39,582,133.65","52,752,702.55","7,696,582.10","19,682,600.60","30,573,146.86"
投资活动现金流出小计,"1,159,120.63","1,776,485.18","1,448,341.53",,"1,071,231.81","3,089,343.54","13,039,551.03","1,302,908.10","15,315,384.41","16,292,489.87","24,145,043.96","779,920.70","90,036,525.35","115,925,596.11"
经营活动现金流入小计,"674,239,697.37","630,649,113.72","616,849,303.68",,"233,425,896.23","392,968,433.48","703,398,320.16","114,616,454.60","248,857,313.01","391,174,790.78","692,894,230.16","101,959,173.53","233,858,849.66","445,599,924.87"
投资活动产生的现金流量净额,"-1,121,120.63","-1,707,958.23","-1,448,341.53",,"-1,071,231.81","-3,088,403.64","-13,039,551.03","-1,302,908.10","-15,315,384.41","-16,292,489.87","-24,145,043.96","-779,420.70","-90,036,525.35","-115,925,596.11"
购买商品、接受劳务支付的现金,"504,655,613.18","439,055,723.37","364,703,398.05",,"216,393,801.48","341,500,374.61","461,163,041.03","149,081,339.65","227,110,115.08","311,286,370.11","450,056,843.36","129,378,961.91","232,974,106.26","354,430,266.42"
吸收投资收到的现金,,,,,"171,059,349.12","171,059,349.12","171,059,349.12",,,,,"1,325,000.00","19,384,750.00","19,384,750.00"
支付给职工以及为职工支付的现金,"62,261,685.41","62,455,712.49","62,663,759.61",,"37,736,421.44","53,847,683.81","67,406,157.10","23,743,946.20","42,226,589.91","62,335,356.18","82,135,260.72","30,526,224.77","47,188,087.77","66,950,965.33"
取得借款收到的现金,"98,000,000.00","123,500,000.00","96,000,000.00",,"30,000,000.00","40,000,000.00","40,000,000.00","8,000,000.00","15,000,000.00","31,000,000.00","31,000,000.00","5,000,000.00","42,300,000.00","55,800,000.00"
支付的各项税费,"30,056,260.29","34,545,272.37","29,727,217.36",,"19,697,895.80","27,086,812.26","32,885,241.70","15,864,733.13","18,818,208.19","24,116,796.55","34,349,039.15","16,270,330.67","21,665,706.32","30,465,820.45"
收到其他与筹资活动有关的现金,,,,,"12,940,650.88","12,940,650.88","12,940,650.88",,,,,"18,059,750.00",,
支付其他与经营活动有关的现金,"63,599,746.02","62,460,997.16","91,594,102.65",,"55,350,726.82","77,368,817.87","107,626,548.45","20,546,178.23","41,689,716.32","65,543,416.54","89,575,012.28","19,802,849.94","45,650,076.27","73,203,304.19"
筹资活动现金流入小计,"98,000,000.00","123,500,000.00","96,000,000.00",,"214,000,000.00","224,000,000.00","224,000,000.00","8,000,000.00","15,000,000.00","31,000,000.00","31,000,000.00","24,384,750.00","61,684,750.00","75,184,750.00"
经营活动现金流出小计,"660,573,304.90","598,517,705.39","548,688,477.67",,"329,178,845.54","499,803,688.55","669,080,988.28","209,236,197.21","329,844,629.50","463,281,939.38","656,116,155.51","195,978,367.29","347,477,976.62","525,050,356.39"
偿还债务支付的现金,"97,285,008.76","90,105,520.43","129,805,870.81",,"44,900,000.00","86,100,000.00","112,000,000.00","8,000,000.00","24,000,000.00","24,000,000.00","24,000,000.00","17,000,000.00","24,000,000.00","31,000,000.00"
经营活动产生的现金流量净额,"13,666,392.47","32,131,408.33","68,160,826.01","-81,723,500.00","-95,752,949.31","-106,835,255.07","34,317,331.88","-94,619,742.61","-80,987,316.49","-72,107,148.60","36,778,074.65","-94,019,193.76","-113,619,126.96","-79,450,431.52"
分配股利、利润或偿还利息支付的现金,"27,081,609.13","17,579,579.86","16,629,992.06",,"12,907,957.89","13,941,464.50","14,453,002.56","330,022.36","11,753,575.28","11,882,746.11","12,253,806.34",,"6,181,748.01","9,852,918.84"
收回投资收到的现金,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,150,000.00","940,000.00","360,000.00",,"6,821,342.40","7,317,050.00","10,171,405.60",,,,,"268,250.00",,
取得投资收益收到的现金,,,,,,,,,,,,,,
筹资活动现金流出小计,"125,516,617.89","108,625,100.29","146,795,862.87",,"64,629,300.29","107,358,514.50","136,624,408.16","8,330,022.36","35,753,575.28","35,882,746.11","36,253,806.34","17,268,250.00","30,181,748.01","40,852,918.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"38,000.00","68,526.95",,,,939.90,,,,,,500.00,,
筹资活动产生的现金流量净额,"-27,516,617.89","14,874,899.71","-50,795,862.87","-9,856,800.00","149,370,699.71","116,641,485.50","87,375,591.84","-330,022.36","-20,753,575.28","-4,882,746.11","-5,253,806.34","7,116,500.00","31,503,001.99","34,331,831.16"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-23,428.69","-167,450.83","6,982.67",,"6,553.21","-7,762.49","299,929.88","-35,519.75","132,137.07","181,041.23","302,504.70","-50,228.88","-220,905.68","-223,335.03"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"38,000.00","68,526.95",,,,939.90,,,,,,500.00,,
五、现金及现金等价物净增加额,"-14,994,774.74","45,130,898.98","15,923,604.28","-91,554,200.00","52,553,071.80","6,710,064.30","108,953,302.57","-96,288,192.82","-116,924,139.11","-93,101,343.35","7,681,729.05","-87,732,343.34","-172,373,556.00","-161,267,531.50"
购建固定资产、无形资产和其他长期资产支付的现金,"1,159,120.63","1,776,485.18","1,448,341.53",,"1,071,231.81","1,275,593.28","13,039,551.03","1,302,908.10","6,515,384.41","7,492,489.87","15,345,043.96","779,920.70","8,956,525.35","14,845,596.11"
期初现金及现金等价物余额,"135,983,265.96","120,988,491.22","166,119,390.20",,"182,042,994.48","182,303,360.06","182,042,994.48","290,996,297.05","290,996,297.05","290,996,297.05","290,996,297.05","298,678,026.10","298,678,026.10","298,678,026.10"
投资支付的现金,,,,,,,,,"8,800,000.00","8,800,000.00","8,800,000.00",,"81,080,000.00","101,080,000.00"
期末现金及现金等价物余额,"120,988,491.22","166,119,390.20","182,042,994.48",,"234,596,066.28","189,013,424.36","290,996,297.05","194,708,104.23","174,072,157.94","197,894,953.70","298,678,026.10","210,945,682.76","126,304,470.10","137,410,494.60"
