科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"515,939,444.87","429,402,457.09","518,162,954.37","280,881,318.38",,"722,053,240.37","313,987,705.75","649,491,714.56","1,172,049,588.84","1,658,642,973.80","412,073,408.15","913,458,239.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"67,864,000.00",,"12,466,000.00"
收到的税费返还,"16,195,267.62","15,672,104.64","26,606,510.75","16,719,448.43",,"54,561,676.40","10,149,400.00","43,943,596.09","85,879,750.05","135,666,008.03","31,709,462.72","62,582,832.81"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,972,000.88","7,047,779.47","3,399,734.14","1,691,892.32",,"4,321,739.34","6,446,137.53","6,406,384.50","8,091,610.10","11,120,006.02","3,296,159.08","3,766,511.61"
投资活动现金流出小计,"52,024,122.87","21,538,923.32","53,353,144.60","65,107,733.43",,"99,014,022.10","14,914,699.02","63,069,093.22","129,463,923.50","227,822,337.89","62,849,705.98","86,921,139.43"
经营活动现金流入小计,"534,106,713.37","452,122,341.20","548,169,199.26","299,292,659.13",,"780,936,656.11","330,583,243.28","699,841,695.15","1,266,020,948.99","1,805,428,987.85","447,079,029.95","979,807,583.58"
投资活动产生的现金流量净额,"-46,199,230.95","-20,027,919.09","-51,627,422.37","-64,780,059.91","-105,722,527.68","-96,307,426.00","-14,880,623.26","-63,034,821.38","-74,847,165.47","-130,818,456.22","-13,377,908.77","-16,186,613.24"
购买商品、接受劳务支付的现金,"337,025,913.85","245,604,607.80","262,691,102.10","164,952,320.06",,"509,365,324.73","260,639,878.53","540,269,805.46","932,091,210.32","1,297,462,482.46","252,532,614.18","671,966,122.82"
吸收投资收到的现金,"4,500,000.00",,,,,,"294,800,000.00","294,800,000.00","294,800,000.00","359,857,300.00",,
支付给职工以及为职工支付的现金,"38,421,359.25","42,272,095.96","44,870,403.94","30,124,517.24",,"63,053,416.55","23,890,093.40","42,026,589.02","59,289,123.44","78,723,149.06","24,314,568.67","43,073,767.53"
取得借款收到的现金,"220,100,000.00","231,100,000.00","240,900,000.00","93,300,000.00",,"267,700,000.00","22,300,000.00","127,800,000.00","153,250,000.00","183,250,000.00",,
支付的各项税费,"32,000,921.35","36,911,914.59","48,818,926.94","33,635,770.22",,"77,095,046.34","55,374,044.15","100,641,032.27","174,226,633.65","260,247,144.99","89,848,138.12","167,850,686.18"
收到其他与筹资活动有关的现金,"25,567,720.00","1,549,000.00",,,,,,,,,,
