科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"407,959,563.33","477,027,143.92","606,399,135.80","149,477,379.74","302,568,864.12","492,222,969.55","673,068,101.64","185,289,122.32","360,603,838.29","615,597,739.57","781,114,879.81","212,301,920.73","452,848,345.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"27,304,951.51","24,854,828.56","25,566,540.80","4,306,231.99","11,982,455.64","20,306,622.97","36,680,582.43","9,466,818.91","25,612,295.92","40,341,945.79","51,291,951.91","2,476,159.30","2,542,038.96"
支付其他与投资活动有关的现金,"3,000,000.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,966,483.83","3,723,802.16","4,719,028.06","1,020,948.58","3,846,436.22","6,094,319.68","6,760,940.90","931,693.92","5,404,349.28","8,643,284.75","16,161,019.53","2,918,788.00","5,540,635.75"
投资活动现金流出小计,"77,190,919.72","28,249,244.52","37,638,732.24","13,703,143.97","390,082,704.63","674,253,659.14","930,776,713.01","180,033,650.43","223,260,059.46","264,565,996.40","325,990,732.82","66,772,733.35","249,017,490.66"
经营活动现金流入小计,"439,230,998.67","505,605,774.64","636,684,704.66","154,804,560.31","318,397,755.98","518,623,912.20","716,509,624.97","195,687,635.15","391,620,483.49","664,582,970.11","848,567,851.25","217,696,868.03","460,931,019.96"
投资活动产生的现金流量净额,"-77,190,919.72","-27,245,569.31","-37,638,732.24","-13,703,143.97","-259,540,094.63","-291,937,046.35","-321,970,312.44","116,742,624.37","93,691,283.83","52,385,346.89","-9,037,893.11","-6,411,390.89","-63,188,117.87"
购买商品、接受劳务支付的现金,"351,336,914.10","368,327,059.54","504,350,348.24","136,302,447.98","274,669,541.66","435,538,027.18","604,125,223.85","198,108,546.74","425,240,810.84","583,518,256.13","782,541,759.88","109,435,535.48","197,733,384.17"
吸收投资收到的现金,,,,"377,925,954.00","377,925,954.00","377,926,124.00","377,925,954.00",,,"23,644,956.10","61,880,100.00",,"1,404,200.00"
支付给职工以及为职工支付的现金,"39,653,135.51","46,942,209.56","60,147,369.62","24,274,219.68","38,958,394.30","54,061,921.25","67,500,684.43","30,798,183.25","48,174,938.71","69,864,407.23","90,026,293.25","33,657,538.70","53,535,852.03"
取得借款收到的现金,"10,000,000.00","5,000,000.00",,,,,,,,,"47,601,496.56","1,853,023.22","1,847,166.65"
支付的各项税费,"12,140,194.31","22,639,555.94","24,999,471.33","4,637,622.18","10,166,382.24","15,958,775.89","22,625,267.24","5,727,985.49","13,630,668.87","19,805,023.82","26,641,074.73","7,288,507.59","16,798,263.17"
收到其他与筹资活动有关的现金,"7,720,000.00","3,376,000.00","9,918,840.00",,"710,000.00","710,000.00","2,939,535.03","368,571.47","1,200,000.00","2,482,000.00","3,972,990.17","110,051.27","1,290,051.27"
支付其他与经营活动有关的现金,"9,358,172.21","10,482,868.50","14,513,899.25","3,633,635.54","8,019,428.93","12,001,422.17","15,943,021.16","4,201,374.23","9,539,169.83","26,066,016.12","22,294,897.42","5,211,250.63","11,572,357.05"
筹资活动现金流入小计,"17,720,000.00","8,376,000.00","9,918,840.00","377,925,954.00","378,635,954.00","378,636,124.00","380,865,489.03","368,571.47","1,200,000.00","26,126,956.10","113,454,586.73","1,963,074.49","4,541,417.92"
经营活动现金流出小计,"412,488,416.13","448,391,693.54","604,011,088.44","168,847,925.38","331,813,747.13","517,560,146.49","710,194,196.68","238,836,089.71","496,585,588.25","699,253,703.30","921,504,025.28","155,592,832.40","279,639,856.42"
偿还债务支付的现金,,"10,000,000.00","5,000,000.00",,,,,,,,"25,893,358.93","7,136,383.29","22,733,676.44"
经营活动产生的现金流量净额,"26,742,582.54","57,214,081.10","32,673,616.22","-14,043,365.07","-13,415,991.15","1,063,765.71","6,315,428.29","-43,148,454.56","-104,965,104.76","-34,670,733.19","-72,936,174.03","62,104,035.63","181,291,163.54"
分配股利、利润或偿还利息支付的现金,"14,378.89","676,583.33","273,568.75",,,,,,"27,156,358.37","27,160,000.00","27,471,313.05","86,891.73","28,615,991.73"
收回投资收到的现金,,,,,"130,000,000.00","380,000,000.00","605,000,000.00","295,000,000.00","315,000,000.00","315,000,000.00","315,000,000.00","60,000,000.00","185,000,000.00"
支付其他与筹资活动有关的现金,"2,850,000.00","9,451,800.00","1,677,040.00","5,592,965.50","7,775,307.05","8,470,071.21","10,979,990.21",195.89,"1,197,393.65","2,827,870.84","25,152,586.26","400,077.02","1,180,438.77"
取得投资收益收到的现金,,,,,"542,610.00","2,316,612.79","3,806,400.57","1,776,274.80","1,951,343.29","1,951,343.29","1,950,839.71","361,342.46","829,372.79"
筹资活动现金流出小计,"2,864,378.89","20,128,383.33","6,950,608.75","5,592,965.50","7,775,307.05","8,470,071.21","10,979,990.21",195.89,"28,353,752.02","29,987,870.84","78,517,258.24","7,623,352.04","52,530,106.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"3,675.21",,,,,,,,,"2,000.00",,
筹资活动产生的现金流量净额,"14,855,621.11","-11,752,383.33","2,968,231.25","372,332,988.50","370,860,646.95","370,166,052.79","369,885,498.82","368,375.58","-27,153,752.02","-3,860,914.74","34,937,328.49","-5,660,277.55","-47,988,689.02"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-422,205.00","104,047.26","-239,329.08","-194,815.45","148,450.83","333,431.20","2,078,245.31","-259,546.43","-637,964.10","-632,088.20","-1,683,372.04","-1,320,252.13","3,024,233.42"
收到其他与投资活动有关的现金,,"1,000,000.00",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,,"1,003,675.21",,,"130,542,610.00","382,316,612.79","608,806,400.57","296,776,274.80","316,951,343.29","316,951,343.29","316,952,839.71","60,361,342.46","185,829,372.79"
五、现金及现金等价物净增加额,"-36,014,921.07","18,320,175.72","-2,236,213.85","344,391,664.01","98,053,012.00","79,626,203.35","56,308,859.98","73,702,998.96","-39,065,537.05","13,221,610.76","-48,720,110.69","48,712,115.06","73,138,590.07"
购建固定资产、无形资产和其他长期资产支付的现金,"74,190,919.72","28,249,244.52","37,638,732.24","13,703,143.97","50,082,704.63","79,252,359.14","130,776,713.01","30,033,650.43","73,260,059.46","114,565,996.40","135,735,332.82","6,772,733.35","33,821,490.66"
期初现金及现金等价物余额,"98,539,042.71","62,524,121.64","80,844,297.36","78,608,083.51","78,608,083.51","78,608,083.51","78,608,083.51","134,916,943.49","134,916,943.49","134,916,943.49","134,916,943.49","86,196,832.80","86,196,832.80"
投资支付的现金,,,,,"340,000,000.00","595,001,300.00","800,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","190,255,400.00","60,000,000.00","215,196,000.00"
期末现金及现金等价物余额,"62,524,121.64","80,844,297.36","78,608,083.51","422,999,747.52","176,661,095.51","158,234,286.86","134,916,943.49","208,619,942.45","95,851,406.44","148,138,554.25","86,196,832.80","134,908,947.86","159,335,422.87"
