科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"58,074,981.39","151,184,737.66","398,346,606.02","73,905,923.75","197,624,810.20","316,151,313.06","420,832,814.75","70,468,651.20","243,364,923.17","423,532,485.44","573,916,448.76","100,273,545.21","324,277,115.86","543,493,500.88","668,826,349.39","110,549,490.17","324,604,772.38","501,277,649.75","626,636,809.18","123,882,440.36","257,743,443.32","316,417,013.13","372,988,301.39","51,557,347.88","163,559,418.80","235,587,895.93","335,799,587.52","57,160,188.40","176,718,895.92","256,201,715.37","345,499,733.88","59,071,563.94","90,133,630.56","128,384,323.22","230,428,719.24","44,535,789.14","79,646,402.56","120,759,718.73","167,701,814.23","20,551,327.71","63,322,495.61","87,448,714.91"
二、营业利润,"2,730,611.03","10,203,469.09","44,262,075.15","6,204,348.91","21,666,041.84","40,619,650.29","50,749,317.33","4,045,133.53","46,379,121.12","98,475,289.91","124,131,252.51","13,473,980.30","61,353,430.09","114,364,869.29","107,138,830.48","2,546,385.92","33,482,007.83","46,283,189.93","14,194,128.14","-7,897,283.88","-24,921,561.08","-55,297,714.63","-142,620,454.89","-28,520,939.72","-48,563,257.35","-86,540,321.95","-208,808,325.27","-31,950,862.68","-59,133,582.17","-94,448,536.68","-106,263,277.42","-28,183,145.81","-63,265,453.89","-143,581,502.38","-248,905,454.62","-32,945,303.62","-72,156,723.33","-142,124,525.36","-264,962,169.85","-33,272,163.15","-107,679,255.96","-184,606,269.31"
减:营业成本,"47,107,953.64","121,952,720.78","311,865,574.32","55,682,605.41","150,860,583.18","237,409,587.44","314,068,142.01","52,775,624.94","163,185,846.69","270,446,297.20","372,903,524.57","66,350,866.16","216,829,035.76","358,635,791.51","457,045,916.01","79,785,032.75","229,908,724.58","355,334,418.36","449,133,670.21","87,399,343.50","190,921,378.17","238,856,120.81","304,287,472.62","45,280,495.02","136,996,383.76","201,300,789.38","285,454,251.67","54,544,958.69","158,671,797.40","232,056,556.90","313,036,824.44","56,894,197.76","86,435,373.54","120,248,647.35","231,318,415.29","49,977,434.48","86,608,144.18","135,970,797.47","198,353,283.17","25,149,536.98","72,912,532.38","108,534,586.85"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"154,494.37","313,591.14","1,238,307.56","181,671.42","181,671.42","770,146.95","1,893,704.65","59,001.41","123,543.50","1,121,263.47","1,401,915.04","411,963.29","1,270,175.47","3,100,064.14","3,186,449.53","352,289.76","658,885.35","2,502,862.05","3,985,313.87","423,349.47","873,402.20","1,278,432.77","1,889,676.57","197,847.53","401,186.05","574,692.51","1,400,526.74","184,671.31","320,232.19","471,156.62","909,266.75","71,981.00","226,409.04","303,291.96","655,451.51","337,839.82","762,994.38","1,073,202.09","14,646,681.35","3,054,825.64","7,676,810.23","10,859,578.13"
营业外收入,"36,966.07","237,047.46","4,437,522.20","1,092,739.63","1,160,242.28","2,078,693.73","10,383,794.10","2,329,403.51","2,849,427.94","9,009,473.55","12,295,060.67","1,474,663.89","1,771,532.05","2,949,192.51","7,664,740.90","1,500,390.46","1,840,160.76","2,017,325.60","13,720,366.18","6,071,615.64","14,704,153.72","19,335,529.72","8,522,855.44","539,702.84","8,101,159.40","10,924,074.63","112,941,916.37","776,570.12","1,989,715.17","3,077,951.20","75,047,484.02","261,357.84","675,160.24","1,184,473.95","2,008,181.04","3,582,146.42","3,952,962.49","4,280,257.55","5,091,204.98","60,138.04","537,367.52","839,495.27"
销售费用,"1,879,875.18","4,221,587.93","10,612,654.84","2,829,616.28","5,767,531.63","10,464,835.19","14,310,469.67","3,415,301.11","7,005,572.79","10,720,751.27","17,831,612.23","3,737,890.20","9,225,383.95","15,684,814.81","21,886,041.39","5,970,702.20","13,241,121.32","20,213,983.73","27,208,739.77","5,803,273.95","11,861,887.22","16,974,919.43","22,384,678.87","3,402,895.31","8,740,029.74","14,503,958.12","21,609,699.20","4,450,674.28","9,695,669.75","14,773,263.13","21,900,987.30","6,213,054.22","11,394,082.05","15,981,539.26","20,214,385.46","4,128,864.00","6,579,304.44","10,630,598.21","13,561,442.29","2,378,426.64","5,202,807.78","6,812,953.47"
减:营业外支出,100.00,"168,190.72","397,937.71","150,200.00","298,250.00","602,450.94","740,879.92","139,414.18","193,685.66","558,161.06","629,052.66","27,913.04","118,247.31","169,961.31","515,017.00","38,820.50","163,280.50","194,402.20","531,736.57","232,900.00","225,776.62","270,368.98","2,540,853.90","241,700.40","290,304.04","535,829.52","116,609,174.33","21,717.40","53,090.89","85,561.12","529,370.00","163,249.45","231,173.51","627,193.24","797,887.04","95,207.38","484,004.50","544,696.70","10,614,899.11","101,966.35","1,146,792.07","6,489,642.10"
管理费用,"3,503,649.48","8,779,549.55","17,199,653.39","5,923,138.16","12,098,727.09","18,129,880.11","26,684,856.88","7,328,300.84","20,227,749.55","31,751,003.63","42,817,987.23","12,399,213.90","25,495,181.52","38,507,555.82","55,296,555.42","17,625,273.64","32,923,037.65","48,645,379.35","74,703,418.19","23,725,420.41","42,154,233.56","59,683,824.14","80,725,152.52","21,517,856.65","41,826,686.25","62,911,165.46","92,545,427.63","17,494,230.36","38,721,082.86","58,336,126.13","76,068,958.81","13,067,897.43","26,503,659.64","39,901,178.92","56,743,658.51","13,635,405.68","26,749,500.25","43,015,658.72","38,879,518.27","8,813,798.98","20,786,222.78","41,019,850.51"
其中:非流动资产处置净损失,,"6,330.72",,,,,896.48,,,,,,"15,317.31",,"68,359.04",,,"1,413.69","44,682.92",,"7,617.77","7,617.77","2,360,700.09",,"27,089.08","32,613.48","113,773,029.61",,,,"216,007.02",,"15,154.87","15,154.87","60,684.29",,,,"170,795.13",,,"4,698.65"
