科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"169,824,790.23","164,348,185.03","181,557,859.89","134,788,289.86","277,111,113.28","188,855,375.73","183,094,790.22","72,184,389.08","117,264,050.76"
短期借款,"145,300,000.00","99,000,000.00","127,500,000.00","132,500,000.00","170,000,000.00","140,000,000.00","200,000,000.00","200,000,000.00","310,000,000.00"
交易性金融资产,,,,,,,,"55,000,000.00","29,000,000.00"
交易性金融负债,,,,,,,,,
应收票据,"27,946,700.00","24,493,885.25","12,101,910.00","34,813,863.70","7,293,837.00","22,085,965.88","31,928,366.00","54,315,253.00","77,385,128.71"
应付票据,,,,,"5,500,000.00","18,325,991.44","22,980,013.31","23,615,427.34","37,547,093.13"
应收账款,"59,148,941.02","72,388,962.37","111,985,209.35","160,759,577.72","223,767,156.96","227,524,904.71","275,510,183.95","302,032,010.34","292,948,231.43"
应付账款,"191,587,845.92","210,667,040.61","211,533,908.30","262,642,046.27","234,593,327.85","271,564,807.93","245,457,401.62","236,077,768.64","250,508,063.23"
预付款项,"14,614,307.74","12,253,996.17","11,290,389.11","12,062,052.23","25,739,734.76","11,060,235.97","15,772,878.45","16,554,183.21","19,852,711.29"
预收款项,"64,967,780.68","49,195,272.00","35,915,001.03","23,680,753.94","26,347,458.27","27,130,840.96","26,601,458.01","21,136,264.93","22,274,455.66"
其他应收款,"7,156,415.51","12,369,866.23","9,081,443.34","10,673,646.56","11,729,674.28","11,437,711.18","15,179,393.56","12,450,696.76","14,142,224.76"
应付职工薪酬,"18,881,589.97","19,669,071.91","12,019,225.02","9,952,807.46","9,554,652.28","9,697,316.64","9,607,998.33","10,282,481.75","11,818,390.86"
应收关联公司款,,,,,,,,,
应交税费,"-9,854,747.58","12,117,377.58","9,756,348.71","5,277,867.12","8,143,454.20","4,248,600.32","7,548,980.43","11,832,253.91","1,861,389.11"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"169,416,401.99","197,952,455.40","164,324,110.24","196,119,085.40","196,909,096.97","267,178,601.26","250,979,246.84","223,660,756.73","296,220,422.59"
其他应付款,"10,619,230.59","14,658,373.00","14,201,829.66","15,900,032.87","25,008,859.68","13,803,266.08","14,969,133.55","15,560,115.80","16,305,262.16"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
