科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"52,531,792.28","60,749,444.74","48,366,055.24","45,454,316.05","85,744,734.99","58,417,250.38","31,108,373.90","33,750,028.16","31,100,155.49","33,215,710.18","32,890,468.72","25,422,250.35","25,161,272.52","25,905,565.41","33,017,381.75","11,910,790.22","18,233,487.51","15,943,607.16","18,697,002.33","17,464,894.90","55,247,108.41","16,601,729.03","5,542,520.79","9,751,874.57","15,086,590.28","13,155,145.82","13,421,701.72","34,762,248.80","38,894,392.14","40,586,440.46","30,688,138.18","43,665,349.86","38,049,730.88","36,797,439.42","29,438,434.27","26,141,577.42","28,050,372.07","35,487,080.65","33,804,467.60","21,511,108.61","34,353,635.49","36,562,916.64","28,921,751.71","19,551,509.74","21,435,777.18"
应付职工薪酬,"9,185,849.91","14,588,043.40","12,306,032.13","12,299,577.81","11,070,072.56","11,213,196.00","11,108,917.73","8,089,658.46","9,196,748.25","7,910,319.66","6,846,886.65","9,166,449.29","7,326,852.53","7,188,595.53","3,915,845.80","11,400,561.74","7,293,023.03","5,903,494.81","7,421,881.41","11,484,438.03","7,718,871.15","2,661,807.58","2,618,266.34","3,457,112.87","3,384,744.87","4,070,676.54","4,354,304.21","3,838,936.94","5,945,391.60","4,682,611.73","3,944,164.43","3,497,924.86","4,125,096.99","8,365,388.05","4,851,237.91","7,337,270.08","14,350,978.50","7,420,218.71","6,996,440.82","7,279,324.49","10,710,776.41","6,318,361.65","6,142,450.80","19,421,597.45","7,234,083.80"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"37,405,496.77","44,811,530.85","38,262,231.12","48,752,226.21","43,250,773.35","42,885,206.21","35,882,542.46","41,618,903.88","36,601,635.12","42,969,586.17","37,969,630.51","21,356,009.22","1,443,667.48","-43,800,818.75","-78,232,685.70","-110,636,690.57","-124,182,489.70","-136,238,747.51","-155,436,930.55","-223,674,799.15","-237,039,448.45","-284,177,856.83","-302,265,843.61","-267,879,690.06","-269,824,979.53","-269,785,519.26","-268,703,966.93","-225,204,555.19","-208,589,199.39","-214,719,875.04","-420,886,217.20","-395,192,815.78","-400,934,493.06","-392,890,360.21","-387,627,598.35","21,680,027.13","16,593,795.15","13,398,507.49","7,186,155.49","25,128,650.54","20,584,171.73","25,727,924.45","24,870,773.04","35,127,576.03","38,397,458.68"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"469,250.00",,,,,,,,
应付利息,,,,,,,,,"1,333,000.00","1,349,967.50",,,"902,175.00","1,094,700.00",,,,,,,,,,"6,058,068.43","450,500.00","8,735,190.94","6,090,786.05","5,581,048.54","5,174,658.24","4,298,650.60","12,109,077.44","13,981,559.76","13,618,536.52","11,398,926.41","13,711,786.71","11,757,300.99","11,818,810.53","11,761,225.47","12,767,355.39","10,263,764.26","7,232,592.23","8,798,980.95","9,031,284.05","9,341,373.85","10,090,401.23"
应收股利,,,,,,,,,,,,,,,,"4,104,408.53","4,104,408.53","4,104,408.53","4,104,408.53","6,453,612.74","6,453,612.74","6,453,612.74","6,453,612.74","7,871,273.07","7,871,273.07",,,,,,,,,,,,,,,,,,,,
应付股利,,"453,884.20","110,000.00","110,000.00","110,000.00","110,000.00","110,000.00","110,000.00","110,000.00","110,000.00","110,000.00",,,"3,000,000.00",,,,,,"3,477,977.79","1,932,209.89","9,848,973.46","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54","7,997,078.54"
存货,"154,666,929.87","113,037,731.05","113,608,419.74","125,864,215.89","133,514,099.06","136,025,462.02","169,244,167.95","143,430,714.90","177,981,813.58","124,183,746.88","151,174,273.67","118,825,487.57","124,678,157.26","157,213,107.77","166,090,000.96","356,735,080.13","286,212,767.34","225,200,405.54","418,788,876.94","600,693,218.79","648,909,754.99","501,630,537.24","540,208,746.67","418,624,030.75","362,396,971.84","459,506,972.34","496,601,210.22","456,779,667.37","453,401,015.27","461,209,680.15","338,247,334.61","354,876,753.03","322,123,052.96","185,500,914.97","180,553,039.98","165,233,949.34","164,048,290.19","141,017,029.81","160,251,828.49","115,380,598.56","116,571,267.32","124,217,603.49","143,450,258.03","88,090,079.14","98,083,884.87"
其他应付款,"83,595,926.82","77,436,804.04","89,614,512.97","62,984,314.84","56,830,882.50","30,920,156.73","30,013,819.69","23,118,351.06","11,757,217.21","25,179,613.86","26,422,490.41","19,296,793.40","22,605,713.40","21,188,258.38","26,020,741.52","20,142,846.73","22,065,123.08","35,205,090.35","66,494,324.01","116,625,146.57","129,815,625.02","39,554,609.27","16,829,477.42","43,572,413.58","31,881,168.19","33,234,110.63","33,673,792.91","28,604,867.35","41,615,305.04","37,989,903.12","85,706,479.15","121,352,022.60","94,016,810.39","36,537,199.97","43,994,459.50","42,720,166.27","34,249,862.09","40,262,621.71","46,861,842.26","26,929,294.21","24,511,739.63","29,297,499.74","22,898,973.11","28,988,849.15","32,797,658.98"
