科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"86,371,249.17","230,550,755.52","644,718,100.20","196,671,055.96","471,746,759.60","783,752,385.20","1,012,441,865.85","132,195,058.79","358,752,806.98","713,763,754.08","1,126,850,226.05","360,706,093.78","1,037,741,244.59","1,845,494,501.31","2,644,667,519.52","612,009,660.44","1,466,133,873.71","2,753,719,950.56","4,077,000,282.02","979,952,086.76","2,547,890,307.87","4,531,264,610.35","7,253,205,090.54","1,602,889,773.94","3,665,386,559.00","6,236,221,085.53","10,048,818,481.30","2,096,610,415.96","4,673,051,154.85","8,358,598,396.43","12,698,986,013.34","2,421,377,904.91","5,416,370,473.97","9,096,463,260.02","13,656,025,765.75","2,688,756,232.04","6,545,099,028.39","12,604,865,100.13","19,287,807,649.88","4,525,923,770.19","9,973,937,503.79","17,260,042,795.70","25,536,730,614.49","4,045,738,552.24","8,426,361,039.89","15,447,866,017.74","23,750,587,785.28","5,705,494,533.57"
二、营业利润,"11,038,152.69","31,714,104.56","96,343,383.31","28,567,843.62","70,508,159.23","117,360,217.34","149,124,909.47","577,434.78","25,329,807.52","63,212,917.06","112,442,938.27","32,730,139.61","125,439,699.81","245,228,691.47","342,632,178.21","66,793,924.64","208,898,094.14","421,139,680.08","634,627,060.96","140,073,772.14","384,564,575.94","695,142,910.51","1,072,793,803.41","226,186,619.68","540,603,273.68","959,355,952.68","1,527,519,533.71","286,523,145.28","676,064,985.27","1,231,432,803.81","1,924,114,224.57","316,316,658.46","608,607,378.55","1,014,537,309.37","1,442,735,569.18","212,887,444.04","499,904,600.50","1,164,905,361.89","1,841,791,664.95","317,161,984.17","763,406,262.34","1,367,091,944.21","2,497,228,823.40","212,970,934.27","519,955,071.37","1,010,918,106.94","1,006,159,634.69","247,353,080.30"
减:营业成本,"61,409,456.21","165,932,104.46","462,523,142.81","140,535,562.70","335,097,117.41","558,205,681.96","720,643,354.51","104,526,979.11","275,927,793.32","549,348,248.81","862,668,214.01","277,676,507.44","790,892,269.78","1,396,101,313.43","1,977,010,752.26","449,517,184.56","1,065,104,122.37","1,980,033,002.00","2,932,597,613.04","699,235,709.81","1,831,338,193.24","3,307,655,768.83","5,382,882,450.73","1,168,898,004.96","2,647,719,685.17","4,493,355,536.55","7,350,136,643.81","1,536,922,032.46","3,383,751,203.79","6,065,361,133.88","9,215,538,080.12","1,770,251,651.42","4,009,014,884.64","6,768,658,726.25","10,256,144,959.19","2,036,354,829.68","5,046,329,731.45","9,800,284,930.63","14,969,060,198.52","3,515,308,762.16","7,765,796,964.65","13,627,554,969.89","19,917,183,898.74","3,159,550,240.33","6,618,532,909.18","12,307,457,466.10","19,281,919,403.08","4,747,603,876.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"28,604.44","1,001,465.43","187,238.51","464,558.83","1,154,526.85","1,399,048.81","321,311.47","483,007.48","623,466.49","754,202.20","35,127.56","134,790.57","218,191.81","570,388.52","6,485,783.03","10,870,433.81","13,250,753.74","24,683,312.89","5,916,259.66","11,816,821.53","12,138,937.48","28,252,649.10","10,530,378.75","27,169,877.16","35,166,197.69","42,439,972.82","30,519,106.86","34,727,164.67","38,306,873.06","59,891,681.22","22,177,597.14","36,729,518.61","41,302,331.24","52,203,621.00","34,169,405.35","55,849,871.12","59,944,019.27","119,026,821.22","31,415,519.43","76,420,599.54","96,229,338.37","138,863,265.36","45,906,387.66","67,158,096.10","92,985,629.63","141,651,156.04","39,479,849.08"
营业外收入,"372,260.09","1,679,573.66","2,236,278.39","232,513.21","274,140.92","652,272.95","6,317,804.28","39,930.50","121,323.34","9,485,169.87","11,954,014.71","1,129,135.23","1,648,585.43","4,500,426.20","18,044,782.46","8,326,691.68","15,741,417.83","20,006,520.36","31,362,875.16","3,714,888.17","5,708,446.21","15,710,094.31","32,196,340.66","1,034,338.20","34,323,583.40","54,404,069.73","65,969,963.47","29,629,533.22","63,331,739.68","67,393,467.35","95,851,648.91","763,246.12","5,111,427.35","11,967,904.55","57,326,517.05","20,074,065.33","62,809,348.48","69,939,832.77","77,196,052.24","28,479,488.61","102,246,274.45","266,192,723.91","14,909,652.60","1,835,802.57","4,203,913.72","7,339,034.22","10,003,086.92","1,391,232.55"
销售费用,"2,752,003.21","5,173,277.73","10,926,233.87","5,371,860.09","12,164,414.38","18,405,456.80","22,932,315.05","4,231,957.56","10,364,503.92","23,821,117.37","34,365,343.71","8,625,402.85","23,118,429.76","36,524,454.62","59,584,998.83","11,473,226.98","29,202,289.27","64,205,375.71","93,087,330.48","19,501,731.51","55,627,237.66","101,365,553.15","143,089,068.28","27,079,126.21","63,374,800.36","106,706,842.28","187,515,332.87","39,426,684.09","84,707,936.42","148,302,211.15","223,081,531.34","47,434,651.70","98,864,820.98","176,028,805.00","362,422,944.96","63,474,663.89","163,655,028.54","269,012,499.62","444,908,460.67","112,085,307.99","226,009,786.50","351,135,456.34","503,305,563.19","117,875,823.25","243,969,682.89","407,519,978.95","569,244,060.54","134,778,440.67"
减:营业外支出,"42,928.11","58,174.37","2,695,884.57","42,500.00","1,042,958.75","1,042,458.75","1,350,430.93",91.94,"18,694.94","95,652.56","67,575.40","3,425.50","346,449.28","521,310.66","564,551.81","19,062.01","24,606.97","94,463.97","181,965.01","3,485.00","869,055.18","1,045,195.23","2,438,276.91",,"988,438.65","2,470,516.62","18,765,811.04","360,721.75","10,456,120.27","10,512,852.33","14,165,328.85","2,421,529.08","2,903,456.83","9,336,078.45","9,481,493.90","30,246.75","6,508,389.08","10,508,537.73","14,265,483.61","9,933,868.01","10,755,781.37","36,246,079.98","11,676,403.52","1,454,814.19","14,587,967.35","17,364,035.61","22,823,474.57","9,635,066.28"
管理费用,"9,238,572.90","21,888,399.23","55,546,642.44","13,101,564.33","37,202,446.21","68,268,378.28","92,684,481.91","19,255,657.93","39,152,211.64","62,889,448.18","92,952,954.25","35,443,888.85","77,873,344.09","132,529,441.62","210,719,248.09","66,521,208.17","123,428,632.20","204,289,621.53","291,181,771.51","82,088,493.15","206,866,021.39","332,349,126.66","490,060,823.59","132,453,342.89","299,418,134.82","499,624,319.54","722,256,859.20","198,296,972.88","465,624,608.81","794,379,898.29","1,129,714,948.23","241,952,047.15","581,460,600.73","931,112,114.31","1,345,242,374.62","297,883,315.35","660,660,227.95","1,118,835,546.67","1,754,434,871.70","456,770,547.25","945,336,716.47","1,457,899,754.94","2,195,088,040.60","458,891,025.61","1,009,232,320.66","709,863,365.77","1,039,921,885.32","241,763,375.64"
其中:非流动资产处置净损失,,,,,,,"261,931.89",,,,"48,472.40",,,,"91,077.71",,,,"171,696.75",,"869,055.18","845,195.23","2,205,732.12",,"979,644.70","2,442,715.36","18,759,620.12",,"10,456,120.27","10,512,852.33","14,128,381.46","2,421,529.08","2,903,456.83","9,336,078.45","9,373,090.84","15,448.97","6,498,389.08","10,102,534.64","14,151,783.75","9,933,868.01","10,313,404.39","34,914,758.35",,,,,,
