科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"383,210,476.50","432,735,875.48","659,662,605.55","725,266,851.21","763,782,120.59","704,825,166.03","1,849,946,620.58","984,685,667.69","915,539,471.19","1,047,811,978.64","866,353,639.94","1,036,867,206.68","499,635,411.60","1,076,385,538.40","1,208,241,327.83","1,160,127,680.52","1,268,591,952.54"
短期借款,,,,,,,,"205,626,508.11","243,614,199.82","247,823,862.19","826,700,127.92","719,570,095.07","753,992,289.10","982,902,879.96","1,020,823,364.54","1,105,349,572.87","1,096,540,932.93"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,
应收账款,"83,220,847.14","88,520,383.65","230,441,743.55","183,415,400.01","271,388,709.50","254,302,444.16","275,223,940.46","266,595,039.88","242,467,952.57","288,512,695.57","391,244,616.35","516,043,971.90","528,289,098.45","579,971,332.03","518,972,398.42","490,822,398.09","433,141,424.69"
应付账款,"23,595,251.42","51,893,594.52","144,053,098.18","116,023,973.71","206,386,921.97","222,091,015.77","198,775,522.33","232,568,983.49","325,187,433.06","327,082,691.94","368,482,772.22","409,845,759.11","392,154,214.97","350,480,107.65","334,459,479.33","303,164,835.45","280,926,948.33"
预付款项,"98,270,226.73","166,799,536.45","148,497,251.02","183,558,857.01","153,324,591.06","127,642,048.83","303,236,969.15","314,760,990.51","430,873,039.26","211,462,011.17","240,840,511.65","232,823,128.11","257,646,317.47","206,697,332.29","218,065,550.94","233,626,352.27","244,061,779.59"
预收款项,"67,088,185.62","75,643,609.38","210,444,909.22","160,402,248.75","219,254,076.00","170,056,942.78","169,098,658.24","165,853,042.33","170,460,143.28","158,189,357.96","185,697,616.72","240,070,121.34","228,244,019.87","254,318,829.33","398,948,494.58","437,704,798.28","351,652,448.53"
其他应收款,"10,549,468.15","16,725,924.32","37,497,867.35","39,881,051.87","34,363,541.87","33,229,224.11","29,617,346.56","43,511,679.06","34,461,580.42","240,529,260.53","261,594,237.38","310,759,807.87","110,285,635.87","153,293,254.65","318,958,687.25","149,965,032.45","242,895,474.31"
应付职工薪酬,"17,091,844.15","15,798,153.98","21,205,836.82","14,367,437.27","15,649,300.81","26,400,996.16","16,274,146.51","12,919,365.10","12,930,279.72","22,296,579.23","16,050,633.29","14,622,465.12","13,927,858.62","31,486,635.12","42,534,921.60","54,300,449.21","60,120,426.11"
应收关联公司款,,,,,,,,,,,,,,,,,
