科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"453,597,372.54","691,942,032.04","914,353,476.91","216,617,814.80","418,289,155.78","584,770,175.91","760,448,867.47","160,058,121.82","362,779,628.08","551,512,390.99","665,505,903.82","130,078,167.37","363,033,092.29","557,204,059.30","832,787,007.59","100,527,921.15","234,798,089.56","461,580,798.25","763,349,954.41","83,313,911.18","183,562,142.41","247,782,618.67","322,638,521.98","88,910,556.05","231,266,909.27","449,074,074.53"
二、营业利润,"50,707,923.75","74,544,246.29","98,080,047.42","17,512,098.34","39,873,408.79","50,069,885.95","51,056,275.84","9,885,828.49","10,476,146.75","4,404,886.46","-86,750,907.58","-14,377,747.56","-7,716,412.47","2,823,418.67","13,210,183.51","-4,924,224.76","-11,606,650.50","-1,307,282.39","6,750,844.93","-5,364,468.30","-9,814,784.34","-63,043,881.76","-115,535,347.58","1,306,148.02","-28,334,531.29","-75,128,960.42"
减:营业成本,"367,277,442.80","572,740,331.82","763,700,716.52","182,045,934.28","351,768,975.32","492,815,766.27","633,716,472.44","133,776,273.46","317,270,491.69","482,642,482.50","653,937,781.12","123,793,109.22","331,229,008.68","491,303,332.08","727,921,688.36","95,725,801.70","210,954,836.84","402,034,991.27","660,803,089.97","78,923,601.15","166,209,425.95","251,891,936.08","336,205,826.31","79,447,757.95","214,141,712.02","406,559,742.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,578,606.60","8,289,785.59","9,925,830.18","1,122,780.52","1,934,775.71","6,871,024.18","7,218,365.86","487,816.15","2,262,633.55","3,617,550.65","3,629,499.66","2,406,343.39","4,829,136.64","8,064,359.09","7,243,750.28","1,021,538.72","2,303,379.52","2,796,833.79","6,262,059.37","9,569.04","970,193.63","-4,596,189.64","5,662,751.75","734,906.52","1,999,062.99","3,184,450.16"
营业外收入,"665,233.55","89,620.00","364,920.00","478,777.33","2,680,010.20","2,702,985.20","2,550,930.40","19,987.00","189,539.20","2,362,208.13","2,281,968.13","1,505,412.00","1,764,352.49","1,843,704.23","3,691,727.07","13,000.00","32,089.31","83,189.41","3,653,538.37","327,307.20","379,068.87","460,601.55","3,342,531.56","80,446.46","204,208.73","461,102.35"
销售费用,"1,693,941.18","2,051,776.83","2,316,279.20","777,540.01","1,223,345.36","2,054,814.41","2,690,158.14","1,551,671.03","1,873,617.83","2,667,159.83","4,208,369.38","586,640.00","2,112,715.12","2,640,054.76","3,972,066.37","1,062,718.63","1,554,846.73","1,963,686.31","2,102,635.33","494,522.80","1,363,652.15","2,162,880.15","3,535,952.95","890,686.96","2,858,867.45","3,127,528.08"
减:营业外支出,717.73,"151,996.60","964,110.50","90,000.00","100,244.84","105,164.77","119,662.43","7,120.00","111,809.41","112,645.66","1,340,670.55","391,103.95","568,007.37","568,194.75","1,131,459.42","23,501.95","1,775,776.52","3,229,426.65","4,642,124.53","286,263.08","293,743.18","313,940.67","14,861,837.44","62,920.00","185,442.01","185,442.01"
管理费用,"21,209,703.21","24,756,555.30","26,373,570.16","11,084,422.51","19,785,358.43","25,856,360.78","43,517,083.34","7,076,856.28","14,290,270.65","29,830,998.79","43,479,335.30","9,851,384.90","18,774,384.57","27,656,516.25","38,700,753.14","10,816,569.90","20,830,141.40","30,907,409.99","41,729,451.84","9,424,756.87","22,285,518.28","37,740,357.39","48,439,108.50","15,556,543.71","36,856,251.87","92,935,406.98"
其中:非流动资产处置净损失,,"151,996.60","80,997.62",,"72,328.05","72,328.05","72,328.05",,"56,112.00","137,119.10","1,335,805.92","35,649.47","444,738.72","444,738.72","407,921.56","18,821.95","18,821.95","18,821.95","19,014.45","51,670.04","51,670.04","69,523.47","144,939.10","53,560.00","91,451.90","91,451.90"
