科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"444,611,576.57","613,445,192.44","610,777,602.75","335,314,614.95","483,550,026.39","604,651,290.38","136,371,719.04","369,743,003.40","579,873,118.65","437,141,123.79","117,625,515.75","283,563,275.86","410,389,797.79","444,437,344.61","162,230,856.26","312,136,925.16","456,862,556.12","534,656,843.45","103,634,561.66","237,938,273.16","397,739,777.15","614,777,510.82","181,212,767.31","259,376,885.26","377,788,934.03","459,640,533.80","158,278,063.72","330,806,018.25"
取得子公司及其他营业单位支付的现金净额,,"6,191,967.16","1,150,000.00",,,,,"2,655,381.55","2,655,381.55","2,655,381.55",,,"5,000,000.00",,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,"809,997.78",,"271,100.00","271,100.00","693,734.02","815,000.00","1,128,323.65","5,922,860.78","6,455,540.22",,,"1,339,597.40","3,417,816.93","4,731,893.96","6,938,724.30","6,975,614.30","7,430,266.64","35,100.00","2,781,398.32"
支付其他与投资活动有关的现金,,,,,,"4,000,000.00",,,,"14,869,000.00",,,"620,000.00","620,000.00",,,,"2,300,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"3,044,648.84","2,951,630.72","18,246,017.93","2,329,777.59","2,455,696.93","6,621,355.29","2,243,242.57","2,402,256.28","3,108,551.22","11,331,799.54","7,208,318.52","12,907,412.08","12,800,397.48","17,171,397.38","13,017,604.41","20,268,813.07","20,615,046.64","29,440,139.01","11,324,086.92","20,522,967.54","21,975,998.48","29,225,291.60","2,711,325.25","11,179,458.41","33,301,161.49","37,151,791.85","11,543,427.89","13,139,810.07"
投资活动现金流出小计,"68,466,709.72","82,170,036.40","148,157,862.11","31,729,433.66","44,082,684.54","59,700,292.47","14,803,355.51","36,707,766.15","57,274,382.14","59,200,460.69","41,711,985.24","57,502,959.19","72,724,336.31","83,680,448.88","850,066,485.17","1,057,998,293.99","1,361,561,598.46","974,286,475.45","530,372,084.48","742,710,276.61","1,112,118,948.49","1,555,624,458.98","454,999,461.26","963,363,001.21","1,173,446,345.49","1,466,163,055.99","141,912,213.46","262,281,326.16"
经营活动现金流入小计,"447,656,225.41","616,396,823.16","629,023,620.68","337,644,392.54","486,005,723.32","611,272,645.67","138,614,961.61","372,145,259.68","582,981,669.87","449,282,921.11","124,833,834.27","296,741,787.94","423,461,295.27","462,302,476.01","176,063,460.67","333,534,061.88","483,400,463.54","570,552,522.68","114,958,648.58","258,461,240.70","421,055,373.03","647,420,619.35","188,655,986.52","277,495,067.97","418,065,709.82","504,222,592.29","169,856,591.61","346,727,226.64"
投资活动产生的现金流量净额,"-60,236,501.57","-80,661,214.52","-122,042,370.52","-31,086,310.83","-42,978,437.70","-42,465,219.20","-10,566,476.61","-31,457,353.37","-51,875,634.36","-46,106,060.74","-30,247,400.43","-39,039,026.78","-44,805,273.16","-48,900,074.09","-377,998,571.47","-227,666,779.76","-279,572,608.29","-49,789,425.46","-283,186,530.14","-295,217,886.13","-353,451,474.04","-399,939,232.05","34,021,498.27","54,724,603.49","47,392,212.11","112,398,359.94","-12,150,348.50","-29,730,616.12"
购买商品、接受劳务支付的现金,"275,672,547.12","395,581,613.39","391,331,440.54","225,107,359.38","330,421,101.95","408,593,032.89","112,681,675.15","265,664,403.51","402,555,357.80","192,322,019.86","47,151,682.83","123,532,355.00","208,879,158.99","156,529,371.83","94,671,338.94","179,183,657.73","232,922,276.69","250,238,650.10","53,750,720.69","121,612,607.28","177,981,911.02","258,042,306.37","36,357,989.05","136,442,862.31","190,870,896.87","218,706,817.19","78,207,009.55","177,019,507.47"
吸收投资收到的现金,,,,,,"38,700,000.00",,,,,,,,"660,046,164.00",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"34,894,255.99","46,001,868.68","64,110,244.73","35,718,577.62","54,167,633.77","71,103,978.80","21,468,217.20","41,484,508.80","64,802,356.98","88,566,092.72","28,835,341.93","52,826,502.09","77,218,675.40","102,001,548.33","35,939,148.62","65,150,635.21","96,201,052.26","128,351,792.61","38,120,919.79","71,412,937.07","106,130,329.77","145,610,120.96","44,555,317.51","84,146,095.95","119,445,585.23","160,712,702.68","43,060,454.25","86,585,084.04"
取得借款收到的现金,,"50,000,000.00","190,600,000.00","70,950,000.00","150,950,000.00","205,950,000.00","15,000,000.00","60,000,000.00","164,350,000.00","326,500,000.00","54,000,000.00","111,920,000.00","185,100,000.00","344,860,000.00",,"165,000,000.00","165,000,000.00","165,000,000.00",,"200,000,000.00","200,000,000.00","200,000,000.00","2,000,000.00","132,000,000.00","132,000,000.00","132,000,000.00",,"200,000,000.00"
支付的各项税费,"32,808,066.19","45,853,664.85","61,961,709.17","39,447,904.44","49,671,260.85","54,941,355.99","9,925,565.38","23,339,981.59","35,226,746.15","47,379,370.47","7,647,401.16","21,787,507.02","33,084,423.18","41,330,237.10","10,264,848.79","26,605,037.45","38,878,941.69","41,469,544.61","11,662,559.28","23,254,860.32","33,637,832.28","43,899,692.08","30,294,031.34","30,314,340.68","36,435,887.50","51,272,082.60","15,760,115.24","22,062,747.40"
收到其他与筹资活动有关的现金,,,,,,"3,000,000.00",,,,"69,200,000.00",,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"46,481,230.71","62,216,556.21","66,661,925.83","19,472,683.24","33,473,649.34","58,431,978.83","10,412,504.66","27,832,368.52","45,203,857.43","62,909,773.45","19,446,463.87","49,413,976.62","60,318,063.43","73,715,735.95","11,088,942.79","36,387,127.41","51,540,578.38","74,732,045.23","23,567,278.09","40,030,666.18","49,416,094.31","107,847,458.11","39,894,005.62","41,877,156.89","99,106,942.79","111,633,387.87","37,692,597.46","57,908,221.85"
筹资活动现金流入小计,,"50,000,000.00","190,600,000.00","70,950,000.00","150,950,000.00","247,650,000.00","15,000,000.00","60,000,000.00","164,350,000.00","395,700,000.00","54,000,000.00","111,920,000.00","185,100,000.00","1,004,906,164.00",,"165,000,000.00","165,000,000.00","165,000,000.00",,"200,000,000.00","200,000,000.00","200,000,000.00","2,000,000.00","132,000,000.00","132,000,000.00","132,000,000.00",,"200,000,000.00"
经营活动现金流出小计,"389,856,100.01","549,653,703.13","584,065,320.27","319,746,524.68","467,733,645.91","593,070,346.51","154,487,962.39","358,321,262.42","547,788,318.36","391,177,256.50","103,080,889.79","247,560,340.73","379,500,321.00","373,576,893.21","151,964,279.14","307,326,457.80","419,542,849.02","494,792,032.55","127,101,477.85","256,311,070.85","367,166,167.38","555,399,577.52","151,101,343.52","292,780,455.83","445,859,312.39","542,324,990.34","174,720,176.50","343,575,560.76"
偿还债务支付的现金,,,"88,589,768.00","34,079,832.00","97,079,832.00","142,129,832.00","16,500,000.00","56,500,000.00","151,500,000.00","319,790,000.00","33,600,000.00","83,494,153.59","141,750,000.00","316,530,400.00","116,000,000.00","234,260,000.00","408,260,000.00","408,780,000.00","25,000,000.00","213,000,000.00","213,000,000.00","225,550,000.00",,"130,000,000.00","130,000,000.00","130,550,000.00",,"145,000,000.00"
经营活动产生的现金流量净额,"57,800,125.40","66,743,120.03","44,958,300.41","17,897,867.86","18,272,077.41","18,202,299.16","-15,873,000.78","13,823,997.26","35,193,351.51","58,105,664.61","21,752,944.48","49,181,447.21","43,960,974.27","88,725,582.80","24,099,181.53","26,207,604.08","63,857,614.52","75,760,490.13","-12,142,829.27","2,150,169.85","53,889,205.65","92,021,041.83","37,554,643.00","-15,285,387.86","-27,793,602.57","-38,102,398.05","-4,863,584.89","3,151,665.88"
分配股利、利润或偿还利息支付的现金,"13,806,353.60","19,952,427.43","30,818,188.55","31,686,000.57","34,707,463.46","38,542,125.80","3,236,041.68","7,929,277.81","32,895,536.03","37,120,496.91","3,730,106.71","7,280,675.60","34,430,149.59","39,910,067.21","2,960,122.46","5,537,107.57","37,873,541.50","38,328,686.23","156,622.50","462,833.31","31,859,678.48","32,244,840.80","141,209.46","393,389.33","32,061,844.60","31,973,918.26","227,110.20","1,449,162.62"
收回投资收到的现金,,,,,,,,"4,000,000.00","4,000,000.00",,"10,467,600.00","10,467,600.00","10,467,600.00","10,467,600.00","470,000,000.00","820,000,000.00","1,070,000,000.00","910,000,000.00","232,000,000.00","429,000,000.00","737,000,000.00","1,120,000,000.00","486,600,000.00","1,011,600,000.00","1,206,600,000.00","1,547,600,000.00","127,000,000.00","227,000,000.00"
支付其他与筹资活动有关的现金,,,"2,334,256.76","1,524,162.76","1,524,162.76","6,653,935.75",,,,"69,200,000.00","341,509.43","373,592.23","373,592.23","1,603,286.96","280,000.00","280,000.00","280,000.00","280,000.00",,,,"3,000,000.00","646,270.13","646,649.52","713,844.73","755,977.61","273,280.35","273,611.95"
取得投资收益收到的现金,,,,,,,,,,"14,739.73",,,,,"1,939,013.70","6,600,246.57","7,931,994.51","10,778,912.32","903,297.26","2,656,495.90","4,341,534.26","7,161,219.04","2,094,638.33","4,726,634.21","5,842,502.62","8,602,420.52","1,429,271.13","2,582,786.30"
筹资活动现金流出小计,"13,806,353.60","19,952,427.43","121,742,213.31","67,289,995.33","133,311,458.22","187,325,893.55","19,736,041.68","64,429,277.81","184,395,536.03","426,110,496.91","37,671,616.14","91,148,421.42","176,553,741.82","358,043,754.17","119,240,122.46","240,077,107.57","446,413,541.50","447,388,686.23","25,156,622.50","213,462,833.31","244,859,678.48","260,794,840.80","787,479.59","131,040,038.85","162,775,689.33","163,279,895.87","500,390.55","146,722,774.57"
处置固定资产、无形资产和其他长期资产收回的现金净额,"327,058.84","717,453.12","334,729.87","277,010.06","655,187.06","11,603,815.86","26,332.40","982,205.65","1,065,367.04","2,089,660.22","996,984.81","2,432,632.41","3,018,763.15","6,358,074.79","128,900.00","3,731,267.66","4,056,995.66","3,718,137.67","392,257.08","1,945,894.58","3,435,940.19","4,634,007.89","247,921.20","782,570.49","1,220,454.98","7,111,795.41","1,246,837.56","2,338,723.74"
筹资活动产生的现金流量净额,"-13,806,353.60","30,047,572.57","68,857,786.69","3,660,004.67","17,638,541.78","60,324,106.45","-4,736,041.68","-4,429,277.81","-20,045,536.03","-30,410,496.91","16,328,383.86","20,771,578.58","8,546,258.18","646,862,409.83","-119,240,122.46","-75,077,107.57","-281,413,541.50","-282,388,686.23","-25,156,622.50","-13,462,833.31","-44,859,678.48","-60,794,840.80","1,212,520.41","959,961.15","-30,775,689.33","-31,279,895.87","-500,390.55","53,277,225.43"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"247,150.26","-232,762.33","-359,563.47","-1,284,335.12","-2,439,581.42","-400,158.29","-350,629.88","-467,213.49","-391,466.61","5,464.91","7,702.05","-151,066.91","-5,060.37",98.47,"2,037.96","69,259.72","79,065.03","-9,011.55","-5,038.92"
收到其他与投资活动有关的现金,"7,903,149.31","791,368.76","25,780,761.72","366,112.77","449,059.78","5,631,257.41","4,210,546.50","268,207.13","333,380.74","10,990,000.00",,"5,563,700.00","14,432,700.00","17,954,700.00",,,,,"13,890,000.00","13,890,000.00","13,890,000.00","23,890,000.00","78,400.00","978,400.00","7,175,600.00","15,247,200.00","85,756.27","629,200.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,230,208.15","1,508,821.88","26,115,491.59","643,122.83","1,104,246.84","17,235,073.27","4,236,878.90","5,250,412.78","5,398,747.78","13,094,399.95","11,464,584.81","18,463,932.41","27,919,063.15","34,780,374.79","472,067,913.70","830,331,514.23","1,081,988,990.17","924,497,049.99","247,185,554.34","447,492,390.48","758,667,474.45","1,155,685,226.93","489,020,959.53","1,018,087,604.70","1,220,838,557.60","1,578,561,415.93","129,761,864.96","232,550,710.04"
五、现金及现金等价物净增加额,"-16,242,729.77","16,129,478.08","-8,226,283.42","-9,528,438.30","-7,067,818.51","36,061,186.41","-31,175,519.07","-22,062,633.92","-36,727,818.88","-18,163,742.78","7,601,165.58","30,554,435.54","6,417,624.17","684,248,337.12","-473,539,670.69","-276,886,913.13","-497,595,748.76","-256,809,088.17","-320,480,517.00","-306,522,847.54","-344,573,013.78","-368,718,091.39","72,788,760.15","40,401,214.74","-11,107,820.07","43,095,131.05","-17,523,335.49","26,693,236.27"
购建固定资产、无形资产和其他长期资产支付的现金,"68,466,709.72","75,978,069.24","142,167,862.11","31,729,433.66","44,082,684.54","55,700,292.47","14,803,355.51","34,052,384.60","44,151,400.59","31,208,479.14","41,711,985.24","57,502,959.19","67,104,336.31","78,060,448.88","10,066,485.17","27,998,293.99","41,561,598.46","61,986,475.45","28,372,084.48","55,710,276.61","87,118,948.49","121,024,458.98","22,999,461.26","46,363,001.21","81,446,345.49","103,163,055.99","31,912,213.46","62,281,326.16"
期初现金及现金等价物余额,"49,051,515.84","32,808,786.07","48,938,264.15","40,711,980.73","40,711,980.73","40,711,980.73","76,773,167.14","76,773,167.14","76,773,167.14","76,773,167.14","58,609,424.36","58,609,424.36","58,609,424.36","58,609,424.36","742,857,761.48","742,857,761.48","742,857,761.48","742,857,761.48","486,048,673.31","486,048,673.31","486,048,673.31","486,048,673.31","117,330,581.92","117,330,581.92","117,330,581.92","117,330,581.92","160,425,712.97","160,425,712.97"
投资支付的现金,,,"4,840,000.00",,,,,,"10,467,600.00","10,467,600.00",,,,"5,000,000.00","840,000,000.00","1,030,000,000.00","1,320,000,000.00","910,000,000.00","502,000,000.00","687,000,000.00","1,025,000,000.00","1,434,600,000.00","432,000,000.00","917,000,000.00","1,092,000,000.00","1,363,000,000.00","110,000,000.00","200,000,000.00"
期末现金及现金等价物余额,"32,808,786.07","48,938,264.15","40,711,980.73","31,183,542.43","33,644,162.22","76,773,167.14","45,597,648.07","54,710,533.22","40,045,348.26","58,609,424.36","66,210,589.94","89,163,859.90","65,027,048.53","742,857,761.48","269,318,090.79","465,970,848.35","245,262,012.72","486,048,673.31","165,568,156.31","179,525,825.77","141,475,659.53","117,330,581.92","190,119,342.07","157,731,796.66","106,222,761.85","160,425,712.97","142,902,377.48","187,118,949.24"
