科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"110,621,524.29","359,196,057.20","577,507,979.43","848,325,833.45","330,705,984.85","924,026,924.08","1,231,028,041.95","1,382,332,764.87","139,329,129.24","433,010,938.83","673,971,654.06","870,212,456.18","199,356,679.41","486,313,203.26","663,542,282.25","859,753,171.07","212,972,422.50","488,039,840.46","716,547,789.88","908,251,003.83","215,949,385.89","516,061,820.84","713,431,293.46","942,656,025.93","239,153,623.91","712,581,892.02","2,655,998,597.97","3,954,357,257.73","1,645,599,825.27","3,121,073,008.20","4,255,123,711.07","5,417,599,533.39","1,045,309,658.37","2,248,224,323.78","3,486,582,001.85","7,983,334,552.72","2,532,520,095.80","5,265,546,857.54","11,533,087,986.80","19,027,657,338.90","4,432,844,357.06","8,937,493,138.03","13,623,320,367.67","16,798,921,362.66","704,043,238.30","826,537,010.03","884,992,210.84","986,083,250.74","44,556,897.76"
二、营业利润,"6,517,074.46","35,750,470.86","53,774,664.36","79,865,954.76","73,790,463.95","228,184,103.65","291,318,671.63","208,054,825.88","12,073,204.39","48,806,249.53","55,676,656.41","15,070,158.29","5,398,913.48","2,251,828.72","-19,530,516.35","-125,644,290.88","-3,340,502.51","-20,160,021.22","-37,630,210.93","-89,533,847.91","-4,303,955.12","-6,734,272.50","-2,216,015.18","105,996,841.99","5,273,320.44","16,750,491.10","31,911,311.88","33,104,763.74","18,592,073.10","62,592,521.28","96,111,609.46","124,283,671.31","11,109,953.78","44,786,075.79","36,211,131.94","299,084,908.49","88,625,318.86","189,129,836.42","342,840,257.80","549,064,634.10","160,002,324.45","337,043,134.41","531,406,543.10","627,612,701.97","-51,905,532.64","-635,439,026.09","-1,184,305,008.74","-1,133,099,366.51","-19,369,413.06"
减:营业成本,"89,132,311.05","282,452,439.44","448,494,780.90","654,500,480.79","233,532,731.95","630,664,315.82","839,377,346.70","930,863,736.35","148,206,729.92","407,584,996.34","617,903,546.95","719,216,892.84","177,873,991.91","431,640,959.35","597,142,067.47","830,675,531.12","194,143,755.23","447,009,181.03","658,831,104.59","850,452,764.33","195,841,079.50","449,142,435.27","617,877,154.48","803,822,946.81","195,316,147.06","605,027,206.91","2,503,582,764.96","3,777,753,796.74","1,597,128,973.54","2,990,731,152.64","4,072,454,056.02","5,192,369,339.96","997,776,572.84","2,128,421,458.41","3,299,344,953.34","7,616,779,992.15","2,371,806,412.15","4,945,753,666.15","11,009,670,497.10","18,254,363,379.53","4,238,392,111.52","8,550,160,112.73","13,026,528,998.21","16,075,716,201.61","648,530,532.43","755,050,059.37","788,555,161.18","876,483,017.06","35,575,667.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,"271,687.68","1,456,552.56","1,671,065.33","4,387,914.19","4,573,554.68","5,387,287.05",,,"186,383.71","1,233,829.07","10,927.88","10,927.88","169,687.01","1,335,339.93",258.43,"200,582.40","315,651.91","780,139.47","1,362.50","1,362.50","1,362.50","433,647.94","128,488.75","379,743.29","656,876.62","1,064,284.73",,"503,984.44","503,984.44","1,686,396.44",861.11,"68,812.97","2,854,868.66","8,667,018.84","4,477,306.09","6,227,391.10","7,172,097.93","15,686,858.32","2,320,113.91","4,413,746.82","6,790,008.03","11,897,082.55","1,263,525.21","1,968,586.15","2,681,382.01","5,715,010.73","533,956.68"
营业外收入,"18,750.00","719,750.00","789,870.00","832,893.00","9,470.00","17,371.00","24,425.00","2,333,526.41","6,530.00","131,130.00","1,697,680.00","6,120,553.30","444,038.05","1,204,308.05","1,410,114.86","9,856,966.12","159,715.20","8,219,886.05","9,197,054.25","92,077,188.75","610,594.00","1,327,294.35","10,795,230.38","12,964,013.06","1,357,732.11","2,065,196.79","4,081,878.20","7,845,228.20","1,088,550.00","1,717,401.00","2,645,401.37","4,188,202.34","1,749,441.30","3,540,690.25","5,719,272.31","23,515,994.78","388,748.66","6,470,847.18","6,558,399.64","13,711,398.23","3,865,831.05","171,371.64","168,849.38","380,686.65","36,669.63","1,022,976.42","5,388,352.43","123,696.71","6,655.86"
销售费用,"6,009,846.69","15,874,969.73","27,951,009.22","44,970,805.45","7,718,470.33","28,163,896.28","43,363,711.71","57,693,580.98","5,949,467.94","18,586,181.35","35,145,019.30","47,437,503.32","5,560,659.28","17,264,737.46","32,020,208.48","45,090,344.85","6,869,781.97","22,114,422.55","34,003,608.15","45,532,545.25","10,863,305.47","28,358,646.46","39,537,889.91","48,859,689.63","20,157,995.39","40,723,721.27","54,449,623.00","63,880,881.39","18,203,540.04","29,500,336.29","39,813,533.32","49,038,097.36","14,832,814.52","28,501,817.63","40,467,945.85","47,398,402.77","2,857,897.92","7,226,664.30","11,562,911.37","16,519,875.78","7,587,005.14","12,246,598.35","18,057,434.28","26,870,264.07","6,591,817.99","8,645,471.48","9,360,040.52","9,528,391.92","400,577.26"
减:营业外支出,"52,544.61","79,543.20","79,543.20","665,230.11",200.00,"3,000,000.00","3,000,000.00","3,000,000.00",,,,"5,811,458.12","225,545.00","365,751.52","368,839.57","367,089.57",,,,,"104,525.68","92,525.68","92,525.68","92,525.68","98,694.49","100,035.21","100,035.21","100,035.21","1,102,985.30","1,103,770.12","1,389,821.05","1,770,086.59","4,615.62","20,495.94","191,851.53","615,751.00",,,5.59,"118,715.47",984.45,984.45,984.45,984.45,"1,215,801.41","2,654,454.63","2,654,454.63","6,027,902.21","179,823.54"
管理费用,"3,904,808.66","8,346,207.09","15,155,014.02","26,877,246.15","6,301,321.77","12,213,332.79","22,586,466.97","40,342,382.40","6,234,011.12","21,968,861.84","31,139,339.04","44,940,145.65","4,552,464.00","19,000,911.55","29,239,707.52","55,050,877.20","7,585,695.94","18,271,966.04","27,680,161.64","51,696,250.47","6,860,242.42","23,481,566.90","30,756,083.92","52,530,233.21","11,815,805.51","28,998,950.04","43,470,709.46","63,424,058.51","15,016,324.12","35,678,522.00","49,639,321.12","69,955,921.62","15,930,703.93","40,306,256.94","66,739,863.62","103,118,746.52","17,821,007.32","38,799,879.21","55,713,481.90","71,785,150.60","20,074,651.81","39,565,679.85","58,989,314.95","80,907,738.32","17,086,295.96","40,731,670.46","54,332,528.16","72,110,299.06","16,070,234.07"
其中:非流动资产处置净损失,,,,,,,,,,,,"5,811,458.12",,,,"367,089.57",,,,,"104,525.68","92,525.68","92,525.68","92,525.68","98,694.49","100,035.21","100,035.21","100,035.21","1,102,813.56","1,103,598.38","1,389,246.86","1,399,137.40",,,,"465,272.00",,,,"118,709.87",,,,,,,,,
