科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"2,025,417,879.89","2,186,555,874.75","655,738,524.19","1,046,215,297.22","1,538,604,603.41","414,966,412.44","958,647,831.06","1,549,216,482.71","2,336,971,980.39","604,642,352.39","1,507,704,072.64","2,544,798,528.35","3,488,386,875.64","765,312,041.70","1,699,315,311.56","2,701,401,813.89","3,785,998,190.06","730,328,334.74","1,570,592,070.88","2,453,744,722.61","3,359,907,269.51","689,752,933.99","1,468,492,666.06","2,302,840,466.60","3,353,542,537.61","704,062,431.68","1,692,518,104.45","2,663,397,469.26","3,603,373,823.29","721,789,588.49","1,601,387,837.63","2,499,758,323.92","3,479,301,279.19","724,602,662.73","1,717,174,772.81","2,853,361,375.57","4,094,644,605.90"
二、营业利润,"113,408,104.85","73,040,199.60","60,660,182.02","99,643,894.25","130,914,544.39","23,940,225.93","59,061,117.44","101,047,809.73","148,689,499.94","31,200,532.42","70,467,657.75","102,667,864.08","140,762,770.49","32,218,921.69","74,233,200.57","112,199,179.37","151,372,157.91","20,699,134.23","62,085,074.13","110,608,421.30","143,961,825.78","15,899,501.08","68,470,269.29","118,573,245.03","144,623,358.13","13,519,215.70","73,720,845.56","128,279,541.96","147,953,450.41","27,485,405.05","93,505,283.94","149,318,968.13","174,726,551.39","8,211,944.78","54,169,152.65","107,818,964.59","147,775,221.59"
减:营业成本,"1,798,935,476.09","1,949,130,604.72","529,848,535.34","848,262,573.79","1,261,045,615.39","358,980,607.46","834,223,668.16","1,349,086,584.38","2,037,923,305.19","527,535,236.70","1,335,563,833.75","2,274,004,504.14","3,100,436,024.60","669,332,072.60","1,493,842,458.10","2,380,057,872.02","3,340,557,326.54","653,562,966.21","1,387,221,543.22","2,157,151,943.07","2,947,986,596.66","614,487,041.68","1,284,208,871.81","2,004,915,767.66","2,936,826,529.89","617,162,597.60","1,472,904,311.68","2,320,757,432.61","3,131,797,114.68","618,517,813.95","1,378,575,960.03","2,155,034,577.09","3,022,330,346.34","665,243,083.77","1,569,713,724.33","2,601,586,766.06","3,737,548,064.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,784,122.26","7,769,627.07","3,077,601.67","4,139,576.57","5,398,556.58","1,014,406.26","2,317,042.21","2,473,656.36","3,283,764.11","25,974.45","49,303.60","983,934.36","4,105,897.93","3,095,786.85","3,586,692.07","4,859,262.90","10,306,932.64","4,069,509.38","5,300,484.90","6,423,078.55","10,551,821.64","4,529,954.54","5,725,290.37","6,528,088.60","9,853,340.83","4,422,193.65","4,447,054.87","5,502,705.55","9,678,668.89","2,846,271.02","5,274,995.85","9,524,680.80","23,418,356.84","4,733,636.26","10,451,901.55","16,128,362.39","23,452,356.48"
营业外收入,"1,538,911.64","1,342,428.70","593,454.13","809,006.13","1,066,258.61","1,384,924.34","1,542,800.23","2,176,029.44","6,130,893.29","352,842.57","7,844,256.23","12,398,237.74","12,929,008.36","693,371.43","11,341,803.33","16,691,539.39","33,340,330.85","2,072,412.78","11,638,512.82","24,193,313.52","51,218,882.13","1,465,200.57","40,740,991.17","65,369,707.97","136,305,009.87","10,822,934.79","114,861,285.06","135,595,057.17","171,236,291.80","5,741,243.26","12,457,212.90","17,830,509.54","48,435,963.21","9,660,340.89","5,982,628.13","5,267,235.13","740,590.42"
销售费用,"38,591,593.12","53,713,931.14","25,038,994.43","34,657,703.42","58,160,341.79","13,287,533.07","25,084,808.63","44,889,857.61","69,667,429.53","10,775,218.98","29,471,118.71","52,276,631.55","86,302,037.81","12,825,736.95","35,331,388.02","70,065,244.60","101,709,517.80","12,484,765.41","30,652,032.29","57,131,105.84","89,989,965.32","11,816,893.10","28,501,589.36","50,439,896.67","84,067,504.95","17,281,998.48","39,572,572.85","62,771,154.72","105,207,171.94","21,591,652.53","35,755,389.01","62,309,564.92","98,857,795.09","10,969,865.11","35,195,690.73","57,118,825.88","96,915,179.84"
减:营业外支出,"2,952,892.53","1,958,555.58","359,119.43","1,014,342.51","1,135,192.73","355,402.57","814,253.73","2,031,399.13","2,908,830.29","64,070.87","158,359.83","725,250.04","1,006,109.38","676,629.48","716,964.58","996,005.17","2,240,085.02","122,000.00","204,844.16","1,548,109.25","1,904,616.46","307,647.97","42,682,069.22","43,142,414.65","43,876,499.03","256,388.04","63,627,241.19","64,020,201.03","67,154,731.82","229,752.80","1,529,005.39","1,838,551.83","3,561,701.83","120,292.70","737,172.44","1,252,532.57","1,578,638.21"
管理费用,"48,244,003.78","55,917,224.89","29,608,465.24","47,355,655.31","59,560,099.60","11,532,608.90","25,202,106.86","37,967,480.74","58,087,580.82","14,752,581.46","34,885,822.17","50,278,535.96","77,035,306.21","20,326,753.89","40,796,008.80","59,214,137.92","82,706,966.54","18,190,699.74","41,473,913.50","62,773,910.92","87,587,121.93","18,790,382.05","43,080,003.25","61,991,880.66","98,659,982.05","31,761,604.26","61,400,642.23","90,561,157.59","135,696,912.56","28,578,441.17","51,001,252.99","74,266,833.92","95,730,455.01","21,513,680.64","44,770,118.52","68,905,916.05","90,024,941.54"
其中:非流动资产处置净损失,"217,236.44","6,498.04","188,694.73","188,694.73","181,887.08","238,721.86","240,979.36","381,758.47","1,032,058.17","-11,285.81","-11,785.81","77,846.52","20,246.75","11,736.30","20,693.38","78,653.53","24,849.83",,"22,803.74","67,420.40","3,788.55","11,346.16","42,122,953.78","42,139,592.75","42,263,690.69","9,104.67","63,124,734.69","63,124,734.69","66,046,861.02","12,646.80","1,190,919.97","1,190,919.97","2,710,594.59","7,614.70","274,189.32","274,189.32",
