科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"289,340,773.60","473,632,167.86","297,497,792.89","86,890,804.90","162,903,552.81","230,330,575.08","324,000,035.18","70,364,645.22","185,842,076.10","307,032,950.81","415,117,450.41","109,621,692.12","222,650,645.14","345,448,313.15","473,152,762.72","133,507,610.36","261,939,013.82","431,758,883.49","569,555,716.23","126,928,550.26","271,803,768.34","468,746,838.60","679,070,150.18","127,047,194.52","316,032,800.75","443,005,738.94","586,033,772.57","118,883,991.27","304,174,958.79","430,206,245.90","581,804,503.42","153,682,200.92","411,847,337.33","630,317,794.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"675,924.90",,,,,,,,,,,
收到的税费返还,"7,570,187.91",,"1,487,670.56","1,513,350.92","1,621,719.70","2,291,987.91","3,274,223.77","1,441,227.17","2,185,302.58","8,026,607.07","18,435,214.77","7,372,146.95","8,999,812.93","13,375,349.25","23,685,150.84","3,020,926.66","5,800,222.41","8,590,298.04","9,225,729.57","6,289,245.08","13,494,575.80","14,471,592.73","19,434,644.21","2,108,268.45","2,108,268.45","4,707,595.20","5,466,208.41","918,409.77","2,041,088.33","2,230,815.73","2,270,079.64","976,022.86","976,022.86","2,080,632.33"
支付其他与投资活动有关的现金,,,,,"9,524,176.24","9,524,176.24","9,524,176.24",,"10,050,000.00","525,823.76",,,,,,,,,,,,,,,,,,,,119.75,,,,
收到其他与经营活动有关的现金,"36,675,137.08","6,297,196.79","9,322,798.22","442,140.83","3,566,662.15","7,043,531.99","13,915,390.78","4,703,893.39","3,105,802.53","4,407,342.75","10,509,943.51","1,367,289.83","4,483,917.54","5,542,309.55","6,570,790.64","6,697,864.70","4,812,589.27","10,483,384.33","6,097,777.26","517,446.23","592,674.26","2,060,509.65","1,860,863.37","3,249,072.88","574,321.57","4,156,172.08","3,236,983.26","2,450,752.50","3,114,020.07","30,757,632.01","7,936,254.73","2,424,195.27","6,056,523.76","8,885,591.61"
投资活动现金流出小计,"60,771,643.06","72,189,172.46","45,975,841.27","14,772,819.32","253,568,621.48","428,355,041.34","264,041,598.39","193,838,140.73","321,556,794.37","407,398,179.55","348,025,594.29","286,342,154.68","258,424,767.27","289,006,891.42","120,180,588.27","49,221,727.78","197,865,779.51","245,433,849.55","129,925,554.57","18,082,376.06","209,882,667.43","278,026,314.95","120,363,336.27","19,084,421.56","286,084,495.35","303,720,353.15","48,119,425.29","19,243,197.08","306,058,413.44","499,040,752.79","92,344,872.00","55,095,067.29","474,280,300.02","743,526,348.14"
经营活动现金流入小计,"333,586,098.59","479,929,364.65","308,308,261.67","88,846,296.65","168,091,934.66","239,666,094.98","341,189,649.73","76,509,765.78","191,133,181.21","319,466,900.63","444,062,608.69","118,361,128.90","236,134,375.61","364,365,971.95","503,408,704.20","143,226,401.72","272,551,825.50","450,832,565.86","584,879,223.06","133,735,241.57","285,891,018.40","485,278,940.98","700,365,657.76","132,404,535.85","318,715,390.77","451,869,506.22","594,736,964.24","122,253,153.54","309,330,067.19","463,194,693.64","592,010,837.79","157,082,419.05","418,879,883.95","641,284,018.07"
投资活动产生的现金流量净额,"-49,112,032.69","-72,189,172.46","-45,975,841.27","-14,772,819.32","-213,469,854.35","-237,488,671.48","-262,554,434.01","-43,046,907.85","-169,452,136.83","-254,728,026.12","-341,419,256.82","-32,520,533.81","-4,341,019.12","2,676,336.10","-39,808,557.32","-47,707,714.09","-14,408,252.26","-59,613,769.80","-120,897,161.19","12,734,860.71","4,146,702.43","-62,199,858.51","-107,162,875.77","13,720,941.84","-1,320,128.63","-15,556,438.49","-35,292,961.84","8,445,549.62","-37,067,815.47","-34,278,723.54","-61,696,161.88","-47,078,635.26","-114,912,102.53","-170,094,827.41"
购买商品、接受劳务支付的现金,"210,088,349.06","249,556,461.17","197,459,730.44","77,354,316.41","120,710,943.98","171,178,949.77","244,500,814.63","52,673,909.36","152,212,584.98","242,097,264.11","293,053,517.29","68,618,571.79","138,583,096.01","238,148,762.40","344,465,552.14","108,978,522.52","201,584,937.70","328,100,411.97","411,527,299.69","117,689,859.99","228,505,079.93","402,581,530.07","569,796,145.65","81,134,064.52","218,763,861.37","302,327,758.93","375,702,958.04","85,835,837.13","176,714,991.92","248,862,524.02","362,787,419.87","140,981,872.79","260,000,716.88","411,417,049.23"
吸收投资收到的现金,"21,978,563.20",,,"695,174,500.00","695,174,500.00","695,174,500.00","695,174,500.00",,,,,,,,,,,,,,,,,"4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00",,,,,"127,831,600.00","127,831,600.00","127,831,600.00"
支付给职工以及为职工支付的现金,"12,790,986.69","18,683,102.21","19,678,311.15","7,744,385.83","12,290,999.73","17,875,330.57","21,220,326.09","6,865,291.75","11,639,764.08","16,066,701.66","22,041,270.50","8,848,028.96","13,829,947.67","20,715,341.11","35,184,995.99","14,303,304.83","26,803,797.26","37,548,769.63","54,250,481.04","16,712,002.00","30,818,167.71","43,227,045.16","59,291,530.60","18,925,790.59","35,720,722.50","49,983,961.81","67,060,114.37","19,180,556.83","35,173,562.40","47,191,332.45","66,112,001.65","23,915,031.62","43,547,897.85","61,619,165.93"
取得借款收到的现金,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,058,650.00",,,
支付的各项税费,"14,875,028.60","33,600,292.01","38,746,140.22","1,979,048.11","2,858,572.38","5,693,571.47","7,633,416.90","3,306,933.83","12,678,718.76","13,440,268.58","13,663,183.42","886,418.68","16,682,482.12","24,568,850.08","18,624,136.35","1,104,119.86","16,836,352.81","19,074,642.26","23,112,023.68","3,988,045.89","12,265,936.80","14,217,552.57","14,614,744.33","5,229,918.29","18,078,978.66","21,742,606.49","29,459,616.82","3,415,186.81","11,607,474.50","19,639,872.41","27,215,438.83","3,590,262.51","13,784,127.28","27,517,532.66"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"34,752,398.09","19,621,475.84","15,994,860.19","4,786,093.16","8,951,427.55","13,769,620.63","23,771,566.23","3,665,700.42","7,741,934.79","16,366,513.52","24,074,685.48","8,063,677.20","18,092,540.48","20,373,073.65","34,384,508.64","10,368,298.43","17,791,922.79","29,663,429.28","32,341,200.13","14,347,541.68","15,383,064.87","25,246,862.08","37,399,965.81","17,298,772.85","23,336,787.67","49,307,736.51","51,907,679.53","14,861,199.27","25,705,131.46","73,591,184.02","51,361,770.78","16,091,138.64","23,951,354.28","55,941,640.70"
筹资活动现金流入小计,"51,978,563.20",,,"695,174,500.00","695,174,500.00","695,174,500.00","695,174,500.00",,,,,,,,,,,,,,,,,"4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00",,,,"10,058,650.00","127,831,600.00","127,831,600.00","127,831,600.00"
经营活动现金流出小计,"272,506,762.44","321,461,331.23","271,879,042.00","91,863,843.51","144,811,943.64","208,517,472.44","297,126,123.85","66,511,835.36","184,273,002.61","287,970,747.87","352,832,656.69","86,416,696.63","187,188,066.28","303,806,027.24","432,659,193.12","134,754,245.64","263,017,010.56","414,387,253.14","521,231,004.54","152,737,449.56","286,972,249.31","485,272,989.88","681,102,386.39","122,588,546.25","295,900,350.20","423,362,063.74","524,130,368.76","123,292,780.04","249,201,160.28","389,284,912.90","507,476,631.13","184,578,305.56","341,284,096.29","556,495,388.52"
偿还债务支付的现金,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,822,880.00","9,822,880.00"
经营活动产生的现金流量净额,"61,079,336.15","158,468,033.42","36,429,219.67","-3,017,546.86","23,279,991.02","31,148,622.54","44,063,525.88","9,997,930.42","6,860,178.60","31,496,152.76","91,229,952.00","31,944,432.27","48,946,309.33","60,559,944.71","70,749,511.08","8,472,156.08","9,534,814.94","36,445,312.72","63,648,218.52","-19,002,207.99","-1,081,230.91","5,951.10","19,263,271.37","9,815,989.60","22,815,040.57","28,507,442.48","70,606,595.48","-1,039,626.50","60,128,906.91","73,909,780.74","84,534,206.66","-27,495,886.51","77,595,787.66","84,788,629.55"
分配股利、利润或偿还利息支付的现金,"12,735,128.74","2,859,571.26","35,000,000.00",,,"42,377,023.40","42,345,239.15",,"30,505,053.17","30,505,053.17","30,505,053.17",,"35,834,282.10","35,834,282.10","37,372,764.76",,"39,376,942.92","39,376,942.92","39,376,942.92",,"5,524,884.00","5,524,884.00","5,610,000.00",,,"11,093,064.00","11,220,000.00",,,"5,621,973.42","5,610,000.00",,"18,829,516.57","18,829,375.36"
收回投资收到的现金,"300,000.00",,,,"40,000,000.00","190,000,000.00",,"150,000,000.00","150,000,000.00","150,000,000.00",,"250,000,000.00","250,000,000.00","285,000,000.00","70,000,000.00",,"180,000,000.00","180,000,000.00",,"30,000,000.00","210,000,000.00","210,000,000.00",,"30,000,000.03","279,000,000.01","279,000,000.01",,"25,021,108.10","262,473,882.38","454,987,111.00","16,483,115.78","3,946,079.64","350,847,614.11","561,286,647.49"
支付其他与筹资活动有关的现金,,,,"6,754,033.90","7,147,663.97","7,248,033.97","2,969,712.63",,,,,,,,,,,,,,,,,,,,,,,"-1,000,000.00","12,000,000.00",,,
取得投资收益收到的现金,"99,173.51",,,,"98,767.13","866,369.86","1,487,164.38","791,232.88","2,104,657.54","2,670,153.43","6,606,337.47","2,637,501.09","4,083,748.15","6,683,227.52","8,548,980.95","1,514,013.69","3,457,527.25","5,820,079.75","8,656,128.84","771,328.77","4,029,369.86","5,826,456.44","10,395,042.73","2,709,821.37","5,527,415.85","8,926,963.79","12,553,363.79","2,667,638.60","6,516,715.59","9,774,031.82","14,165,594.34","4,070,352.39","8,473,650.38","12,097,940.24"
