科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"26,525,185.21","39,127,990.93","38,147,383.17","57,955,506.19",,"281,321,873.11","163,937,366.51","159,251,372.86","123,698,414.50","261,615,604.19"
短期借款,,"10,000,000.00","10,000,000.00","10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"2,483,267.04","6,873,402.84","2,189,200.00","18,069,393.66",,"13,650,806.99","1,054,250.00","16,815,793.40","10,860,473.20","5,106,264.00"
应付票据,,,,,,,,,,
应收账款,"4,547,405.23","24,743,944.57","50,558,418.37","64,878,850.03",,"78,845,334.61","74,474,482.70","81,566,108.99","75,228,169.25","81,225,548.30"
应付账款,"3,720,963.80","5,396,703.68","19,272,101.43","18,227,209.99",,"14,299,972.96","8,502,809.53","8,946,437.06","8,595,006.14","8,147,409.55"
预付款项,"7,063,962.66","43,275,550.07","46,805,174.37","18,833,065.77",,"21,298,001.95","27,071,976.93","27,660,302.66","38,146,668.43","10,711,843.93"
预收款项,"20,780,880.72","46,502,626.14","31,747,935.24","27,954,528.42",,"21,218,334.88","24,064,786.91","16,680,134.31","16,618,504.37","48,127,545.66"
其他应收款,"9,190,204.32","12,576,253.59","23,448,942.07","25,781,635.43",,"19,625,830.19","20,923,838.52","6,823,432.74","28,323,693.57","85,562,584.51"
应付职工薪酬,"1,604,353.78","2,265,556.94","1,891,147.52","2,044,612.44",,"2,013,863.78","2,422,761.08","2,284,832.99","1,512,694.99","2,555,584.99"
应收关联公司款,,,,,,,,,,
应交税费,"7,602,198.36","3,811,726.18","12,532,554.33","5,637,174.20",,"5,182,080.18","6,373,598.74","7,612,796.71","4,445,274.57","13,356,218.53"
应收利息,,,,,,,,,,
应付利息,"1,791,666.67",,"79,166.67","78,216.67",,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"27,741,693.36","30,153,809.05","46,538,206.17","40,787,016.36",,"36,676,748.32","41,576,128.92","41,389,966.01","41,187,610.00","34,169,898.98"
其他应付款,"25,932,503.91","21,069,682.71","21,971,694.78","34,576,912.83",,"36,181,055.60","39,976,920.47","52,604,007.15","49,766,772.15","53,952,793.72"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"20,000,000.00",,"10,000,000.00","10,000,000.00",,,,,,
其他流动资产,"584,514.42","2,972,139.21","707,794.15","3,986,546.89",,"591,860.47","100,698,495.36","100,700,454.28","121,149,968.94","1,169,548.80"
其他流动负债,,,,,,,,,,
流动资产合计,"78,136,232.24","159,723,090.26","208,395,118.30","230,292,014.33","225,277,600.00","452,010,455.64","429,736,538.94","434,207,430.94","438,594,997.89","479,561,292.71"
