科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"430,456,506.93","405,131,241.02","525,862,662.98","156,948,104.30","380,679,361.54","625,700,014.46","827,217,954.93","162,323,263.40","391,201,234.60","664,977,418.46","896,141,637.89","237,252,468.64","522,658,436.48","879,496,664.58","1,244,747,694.63","436,873,978.76","942,488,551.07","1,569,517,667.57","2,220,164,889.40","566,896,965.36","1,060,130,022.64","1,511,687,943.66","2,117,749,226.61","553,852,224.94","1,203,214,838.07","1,797,765,146.95","2,535,856,457.33","662,332,862.59","1,469,445,605.24","2,550,149,507.97"
二、营业利润,"51,975,416.75","72,593,641.38","75,950,616.46","16,280,162.48","38,384,882.57","53,310,645.86","46,582,445.91","2,968,768.22","9,724,345.98","15,569,824.45","-106,100,788.25","18,548,711.14","22,482,481.44","33,585,992.62","33,982,956.73","26,468,383.97","59,815,442.74","93,682,213.17","123,878,497.03","45,450,292.76","98,846,364.77","147,751,782.44","223,720,708.73","46,550,360.91","109,108,952.26","156,739,160.79","201,527,731.47","30,813,443.28","61,085,434.08","52,492,312.67"
减:营业成本,"343,784,043.30","307,591,055.24","395,610,205.89","122,281,371.05","294,996,641.92","489,534,888.86","668,678,090.83","138,233,738.83","317,580,047.95","559,741,560.74","829,010,236.98","189,757,623.92","420,375,279.70","714,442,588.23","1,023,680,625.24","341,236,787.71","734,327,497.28","1,232,121,819.26","1,755,694,531.55","435,357,790.74","840,811,761.72","1,144,714,256.81","1,595,873,721.63","429,067,975.34","954,057,913.24","1,403,536,212.47","2,001,391,532.50","542,587,897.29","1,187,717,615.01","2,107,649,412.14"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"543,743.06","790,965.38","435,246.34","33,571.62","349,668.01","790,782.24","2,462,462.91","125,376.36","298,930.20","371,077.72","793,383.20","44,415.70","224,288.79","814,070.56","2,630,350.14","1,646,350.56","3,131,965.33","4,337,756.94","4,700,117.43","3,979,757.84","9,146,671.26","11,427,031.64","13,135,541.41","3,680,746.60","7,736,567.60","10,782,745.25","15,730,401.99","2,588,240.25","8,435,335.55","13,923,341.67"
营业外收入,"179,020.01","7,411,618.14","300,836.00","50,000.00","90,000.00","258,536.00","7,637,756.21","340,112.54","1,383,559.14","1,993,462.51","3,032,344.76","454,274.21","639,478.34","1,830,523.07","3,164,801.39","694,748.42","1,095,461.15","2,910,378.04","5,053,390.98","171,581.94","2,908,579.54","3,447,567.91","5,461,832.61","3,939,035.92","4,046,265.50","12,237,991.89","14,688,522.53","5,069,773.89","5,587,120.35","17,277,249.76"
销售费用,"8,893,719.57","10,557,082.81","14,952,076.47","4,065,252.27","9,938,907.63","15,675,781.75","22,080,877.88","6,438,558.20","16,398,697.23","25,187,006.12","34,131,174.05","7,478,693.33","17,687,735.12","32,376,478.44","50,549,436.47","17,864,922.82","42,581,683.83","68,354,325.26","97,025,787.04","22,246,105.17","34,262,364.80","51,406,990.03","73,691,779.08","16,082,759.21","33,908,541.65","49,873,341.98","76,937,352.23","15,859,421.56","32,701,359.13","54,310,099.95"
减:营业外支出,"295,455.28","752,906.89",,,"2,050,005.52","2,050,945.17","2,192,062.45","129,666.80","274,694.76","349,305.96","516,746.01","25,163.20","410,440.70","514,697.05","751,412.19","136,820.12","418,821.92","4,590,019.93","5,761,436.12","515,690.27","1,828,960.22","2,227,873.27","7,524,593.27","2,698,081.13","3,418,797.68","3,424,391.86","6,017,555.77","2,931,576.14","4,160,704.52","4,417,875.04"
管理费用,"17,575,298.00","17,068,868.02","22,200,257.31","9,101,532.81","24,083,937.00","39,193,437.20","52,099,456.01","10,495,045.99","27,819,787.74","40,757,392.26","93,332,322.40","13,916,944.67","43,490,011.15","64,484,603.37","88,974,149.65","31,376,180.68","74,221,051.55","128,399,071.66","174,986,187.48","64,170,766.26","87,342,605.86","153,390,102.09","198,280,693.22","58,619,354.63","96,878,471.25","161,738,381.70","208,735,680.66","60,799,799.42","130,882,901.40","240,815,539.49"
其中:非流动资产处置净损失,"144,120.68","752,906.89",,,,,,,,,"269,799.04",,"80,836.97",,"108,125.68","78,925.26","191,726.99","4,338,801.33","5,462,068.73","243,665.27","545,849.77","663,367.53","1,906,363.16","2,561,977.70","2,998,073.94","2,998,073.94","2,911,634.88","2,901,576.11","3,365,185.74","3,567,221.31"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,057,436.11","3,454,239.90","10,635,264.64","2,505,953.22","8,256,029.23","19,807,598.71","30,241,071.58","4,379,428.64","17,022,449.56","16,804,684.57","23,289,226.13","7,146,758.53","17,750,842.34","24,299,169.79","33,936,289.89","10,060,515.49","16,999,921.99","26,949,572.46","34,289,973.28","-1,682,666.39","7,603,706.60","11,236,892.69","13,863,916.32","3,980,328.85","7,541,354.55","23,151,340.38","33,972,047.28","16,161,049.19","51,890,894.22","88,842,932.14"
三、利润总额,"51,858,981.48","79,252,352.63","76,251,452.46","16,330,162.48","36,424,877.05","51,518,236.69","52,028,139.67","3,179,213.96","10,833,210.36","17,213,981.00","-103,585,189.50","18,977,822.15","22,711,519.08","34,901,818.64","36,396,345.93","27,026,312.27","60,492,081.97","92,002,571.28","123,170,451.89","45,106,184.43","99,925,984.09","148,971,477.08","221,657,948.07","47,791,315.70","109,736,420.08","165,552,760.82","210,198,698.23","32,951,641.03","62,511,849.91","65,351,687.39"
资产减值损失,"-182,217.40","568,563.29","3,436,190.87","2,680,260.85","4,669,295.18","7,386,879.84","5,073,549.81","-317,652.84","2,356,975.94","6,545,872.60","21,689,423.13","359,321.35","647,797.94","9,493,761.57","10,993,886.51","8,220,837.53","11,410,988.35","15,672,908.82","29,863,745.59","-2,625,081.02","-7,111,439.93","4,051,455.05","14,742,579.42","846,706.90","4,854,557.97","5,411,223.19","18,724,972.35","249,461.47","3,548,841.08","10,603,955.18"
