科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"32,648,483.59","29,254,365.44","82,107,155.80","63,927,064.77","96,225,175.28","1,421,804,027.26","1,115,537,446.99","920,814,936.80","779,425,396.44","668,589,103.79","735,395,357.13","696,142,355.55","668,808,691.36","563,242,150.99","559,687,873.32","453,174,629.60","427,863,364.56","345,569,824.87","277,396,299.83","345,851,591.60","290,815,018.30","238,789,817.76","193,334,955.94","276,421,926.48","217,568,834.92","309,545,617.52","323,933,884.14","394,144,163.45","790,700,518.63","586,864,699.65","468,456,943.75","638,332,201.23","479,864,790.01"
短期借款,"114,800,000.00","87,500,000.00","157,500,000.00","193,000,000.00","223,000,000.00","215,000,000.00","53,000,000.00","73,000,000.00","178,000,000.00","128,000,000.00","220,000,000.00","203,000,000.00","255,000,000.00","220,000,000.00","320,000,000.00","350,000,000.00","354,650,000.00","334,650,000.00","322,650,000.00","442,650,000.00","420,000,000.00","323,000,000.00","310,000,000.00","415,000,000.00","405,000,000.00","545,000,000.00","570,000,000.00","488,700,000.00","287,000,000.00","237,000,000.00","237,000,000.00","370,000,000.00","313,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,860,477.76","70,399,600.40","70,600,000.00","10,700,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"9,796,522.00","8,999,602.44","16,999,647.88","16,774,915.78","14,612,860.75","15,960,767.44","7,004,704.00","12,371,410.84","18,530,409.83","33,637,728.39","26,625,102.21","118,739,651.05","111,681,721.93","90,888,325.79","48,173,935.93","59,786,040.32","58,654,391.89","90,394,929.48","50,510,009.34","34,090,802.50","34,932,408.53","67,984,265.35","29,962,031.70","26,161,133.81","40,492,818.07","38,685,522.31","16,429,782.37","20,607,799.40","41,951,469.78","68,897,960.98","60,302,035.39","104,727,155.39","87,543,189.03"
应付票据,,,,"10,365,445.60","18,187,721.20","7,193,295.60","13,462,384.60","23,268,838.90","16,078,821.15","13,842,400.00","66,901,227.15","64,925,050.30","19,793,426.00","49,064,459.28","48,558,470.28","18,832,260.00","22,173,584.00","12,334,184.00",,"33,522,029.18","48,646,347.78","42,126,724.80","47,902,406.20","56,900,000.00","108,000,000.00","277,735,500.00","230,235,500.00","188,500,000.00","234,672,894.48","117,242,894.48","108,765,064.42","98,369,335.60","47,508,940.00"
应收账款,"125,965,435.17","133,157,030.93","145,680,420.24","165,027,467.02","197,630,328.47","184,605,227.20","215,813,706.28","258,734,858.56","350,577,479.99","303,340,517.58","357,459,183.49","275,987,377.41","276,350,769.45","381,497,604.77","448,215,239.55","463,004,807.40","474,611,729.14","452,943,869.78","489,413,271.24","533,793,559.42","503,492,526.37","466,531,546.97","547,499,499.03","634,002,029.57","617,750,477.60","772,194,155.77","888,760,704.83","1,009,350,578.45","1,230,858,854.02","1,200,850,739.78","1,319,340,828.60","1,372,751,492.45","1,367,504,121.22"
应付账款,"19,852,485.81","29,423,595.25","27,034,199.09","36,633,065.95","37,780,609.78","55,247,387.82","72,741,844.13","64,504,646.70","113,092,539.37","97,690,806.99","164,277,354.26","107,123,625.05","154,606,845.47","161,545,550.42","193,759,861.57","167,665,171.40","145,787,404.96","159,264,093.62","153,866,046.25","161,620,580.62","175,852,909.86","167,663,578.35","184,409,319.80","271,953,278.33","297,555,826.32","245,487,107.38","308,364,561.88","336,501,813.35","440,416,749.43","233,079,567.78","389,756,598.30","309,066,439.42","293,102,097.57"
预付款项,"6,387,205.81","10,089,287.00","14,624,007.61","28,996,666.61","22,900,975.91","47,637,943.97","144,119,629.47","217,953,462.24","291,832,849.04","164,975,848.07","318,181,461.97","208,465,825.39","149,025,215.97","57,327,436.85","70,718,393.88","76,574,928.01","84,602,505.28","104,897,800.70","88,016,896.71","97,316,567.77","145,744,202.67","112,669,274.72","119,813,196.06","136,286,535.35","154,176,541.85","110,211,430.49","151,162,173.95","124,601,704.22","160,707,379.38","219,652,797.60","290,418,661.00","241,187,174.87","318,623,976.33"
预收款项,"3,648,875.73","5,205,560.46","14,353,019.96","11,642,815.43","16,492,444.07","20,649,250.78","28,545,336.44","21,520,858.75","18,682,659.53","24,760,583.80","29,923,304.24","32,220,288.63","29,308,726.99","25,431,533.62","37,104,639.43","48,334,061.17","31,248,199.84","42,363,805.76","36,767,009.94","46,673,639.19","40,469,684.03","60,202,778.36","66,192,181.14","60,944,855.91","57,952,329.23","60,423,388.53","50,470,468.52","65,793,786.31","78,524,029.53","117,402,321.12","100,389,602.55","92,361,597.26","109,793,711.92"
其他应收款,"9,269,028.10","7,047,957.69","12,951,555.67","28,054,873.62","27,188,400.33","15,377,838.14","37,137,455.21","51,965,036.52","64,495,126.00","80,439,622.74","94,317,597.82","33,698,928.61","51,657,628.87","37,122,782.68","42,077,065.31","51,200,438.55","81,487,139.20","41,354,363.02","60,296,592.87","86,949,570.84","114,736,611.80","68,879,085.21","55,465,441.86","89,640,771.56","138,424,027.10","79,011,339.46","76,890,739.88","86,891,632.06","136,835,041.31","91,855,887.69","102,747,272.83","112,342,688.91","117,404,218.31"
应付职工薪酬,"2,320,077.16","3,419,985.65","6,281,270.91","10,186,098.73","8,530,874.17","10,628,882.80","11,112,929.34","11,202,051.88","17,299,023.85","16,459,416.10","10,434,108.96","17,867,423.59","16,417,624.53","21,076,843.00","15,944,820.86","16,973,512.64","36,749,825.83","27,737,532.31","35,718,120.58","33,509,802.31","35,946,581.71","21,732,644.23","25,605,215.39","28,064,290.49","31,714,453.77","50,549,210.18","51,122,572.33","59,481,934.20","60,131,280.69","63,619,320.25","67,070,169.28","53,612,064.64","46,895,526.86"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"35,803,666.40","36,903,668.16","23,506,762.63","10,423,716.82","17,164,854.39","8,065,078.37","9,515,671.79","14,146,532.71","25,269,159.58","20,091,129.10","19,945,618.89","10,298,522.01","16,703,314.28","41,960,086.86","28,656,528.30","30,354,457.64","12,574,409.00","37,808,464.46","26,702,379.02","26,199,545.88","29,768,956.28","37,423,516.48","30,342,904.70","53,111,450.83","53,628,446.29","68,448,279.62","52,465,585.57","65,535,161.35","99,913,193.26","138,688,135.03","97,430,710.63","112,149,752.56","126,930,196.13"
应收利息,,,,,,,"5,748,407.43","10,729,583.30","10,287,305.52","12,292,305.52","6,884,813.87","7,048,719.44","6,342,400.60","7,291,921.82","2,683,160.80","4,286,671.70","5,237,517.50","3,959,041.82","5,171,914.04","5,977,992.51","5,249,871.70","407,175.54","524,821.37","738,527.33","516,127.04","603,514.25","689,951.60","776,388.95",,,,,
应付利息,,,,,,,,,,,,,,"189,600.00",,"847,877.85","373,564.67","651,360.83","683,694.16","675,777.50","683,905.36","1,032,892.70","664,298.49","678,206.82","672,742.94","1,471,970.92","1,500,714.49","356,878.61",,"276,291.67","747,597.78","367,750.00","707,877.77"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"43,200,000.00","130,290.30",,,"1,109,910.48",,,,,,,,"28,800,000.00","334,342.00","334,342.00","334,342.00","106,170,527.88","5,039,563.16","4,952,272.81","4,952,272.81","30,783,255.38","5,186,769.19"
存货,"30,752,817.64","38,081,727.32","56,200,445.79","112,677,899.87","119,828,389.23","127,112,547.56","158,057,889.23","176,935,293.35","185,937,017.07","195,398,439.46","247,596,946.41","181,257,104.81","190,002,061.17","154,873,559.95","206,288,297.43","216,623,522.86","195,125,825.06","233,600,271.68","247,619,491.65","251,933,251.50","285,376,503.17","314,364,768.11","342,749,396.31","327,467,756.94","376,622,002.60","413,858,417.75","375,186,175.15","355,923,385.64","408,455,422.45","406,557,901.05","469,981,709.03","466,836,447.29","533,936,749.43"
