科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"269,723,967.93","289,743,277.41","138,169,632.35","141,958,726.04","806,120,984.42","614,244,994.31","569,446,774.53","613,674,115.28","214,278,531.20","203,964,198.25","223,067,730.07","180,455,302.44","112,830,472.81","195,998,515.25","107,335,245.11","100,201,613.24","32,810,183.19","287,078,918.00","229,863,064.56","169,704,097.66","127,406,045.47","195,912,986.75","129,245,870.79"
短期借款,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","140,000,000.00","100,000,000.00","100,000,000.00","195,000,000.00","139,250,000.00","140,200,000.00","132,400,000.00","131,800,000.00","30,600,000.00","14,000,000.00",,"9,600,000.00","13,400,000.00","17,200,000.00","23,000,000.00","17,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,"10,276,614.91","10,276,614.91","10,276,614.91",,,
交易性金融负债,,,,,,,,,,"105,000,000.00","105,000,000.00","90,430,445.00","90,430,445.00","21,045,407.54","21,045,407.54","21,045,407.54","11,917,407.54","8,426,332.68",,,,,
应收票据,,,"33,357,720.00",,,,,"1,500,000.00","24,867,782.50","27,518,848.95","36,863,465.94","35,855,273.68","31,358,329.55","33,287,094.34","37,062,570.74","32,295,244.21","22,569,760.77","16,730,101.92","25,789,260.59","24,113,379.95","16,348,799.93","42,921,506.94","38,593,856.84"
应付票据,,,,,,,,,"7,316,359.80",,"4,551,946.09","12,600,495.22","22,128,292.88","19,790,027.75","26,714,477.63","29,863,326.29","13,478,680.81","1,010,739.38","1,091,295.00","3,868,333.50",,"15,505,158.15",
应收账款,"9,034,500.00","193,300,194.48","283,961,542.91","226,756,457.06","302,179,555.06","396,547,804.83","376,506,754.83","354,590,695.87","379,149,834.50","368,448,135.66","375,121,767.77","408,373,398.61","417,522,639.98","392,722,110.73","432,909,596.38","380,142,369.95","372,767,826.72","251,238,106.86","238,750,685.39","207,644,786.98","231,469,536.77","165,633,495.24","244,155,438.19"
应付账款,"45,024,952.19","45,737,366.01","70,494,653.85","73,967,311.00","106,250,726.32","122,167,382.05","106,651,689.83","100,472,189.24","113,562,185.89","121,578,334.57","127,455,282.26","150,085,313.11","157,287,486.02","164,683,475.28","165,547,430.50","139,223,550.77","136,890,704.39","124,455,684.54","127,054,635.51","120,662,382.90",,"132,581,407.62",
预付款项,"42,375,341.35","16,387,275.67","21,732,438.66","26,378,477.31","24,655,647.24","30,016,196.48","37,686,035.96","27,404,933.09","35,775,127.54","16,572,875.80","24,584,799.42","26,358,849.59","26,124,447.39","22,659,189.25","19,541,022.80","28,655,107.88","21,280,579.02","20,196,060.57","20,816,817.92","25,126,120.59","27,166,646.19","15,318,647.60","18,692,720.99"
预收款项,"25,312,458.54","17,973,458.54","17,173,458.54","17,212,713.40","58,029.92","58,029.92","58,029.92","281,993.87","645,115.32","1,032,936.56","2,505,871.80","7,844,782.91","7,378,441.03","10,186,698.72","3,132,683.80","13,064,407.85","2,392,109.29","4,262,335.82","7,034,376.89","7,274,344.49","8,061,436.22","8,602,556.57","8,041,392.14"
其他应收款,"826,552.85","837,405.61","1,003,859.21","2,138,974.09","2,593,096.77","1,559,950.91","3,487,563.86","4,538,425.30","7,434,102.64","20,774,918.56","9,791,999.48","6,849,675.83","8,147,450.03","9,659,069.93","9,352,775.91","7,877,274.40","9,147,816.41","13,832,740.90","17,516,807.94","17,878,462.18","16,792,074.99","17,993,786.18","8,994,258.68"
应付职工薪酬,"6,728,738.85","7,870,318.82","7,026,779.33","3,363,768.37","3,371,917.17","3,464,866.25","3,395,109.47","3,577,632.09","5,050,847.39","14,012,936.30","5,563,983.47","7,270,930.09","6,556,673.30","14,018,582.38","8,008,929.82","8,118,683.24","8,161,695.51","16,859,787.68","8,790,570.41","7,433,127.57","9,284,301.14","23,281,101.73","16,286,089.19"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"160,037.78","11,526,956.09","26,644,669.94","432,438.96","4,548,871.75","13,017,489.96","2,445,073.96","8,895,915.05","12,226,742.83","6,078,630.15","3,710,559.32","7,517,254.58","1,961,821.24","12,073,073.08","4,946,609.97","4,232,052.85","5,236,412.84","30,632,894.68","24,161,295.72","3,799,251.44","5,298,899.06","3,681,253.07","6,745,770.96"
应收利息,,,,,"1,580,260.37","5,905,522.36","10,810,271.46","13,399,810.19","12,876,768.16","5,724,535.93","8,635,296.48","11,469,712.96","11,153,232.99","6,735,563.75","7,763,820.41","256,026.68","348,670.31","607,613.45","577,594.37","249,006.48",,"46,473.43","638,487.67"
应付利息,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,
存货,"73,677,161.66","63,208,345.12","110,774,636.78","137,766,107.58","147,480,663.47","159,290,770.15","174,174,150.37","177,410,368.27","189,402,203.61","191,045,000.97","194,813,213.26","210,015,016.20","215,244,577.41","199,332,843.12","185,372,538.81","175,980,260.40","182,958,691.36","176,903,238.44","200,196,066.20","208,387,966.42","214,655,787.50","184,955,783.77","202,132,093.39"
其他应付款,"1,878,588.06","3,862,954.17","1,722,893.76","2,449,694.11","12,572,298.84","5,580,120.35","9,773,161.23","3,166,616.18","113,047,487.64","16,433,096.70","10,589,475.76","17,316,898.40","16,428,683.39","35,491,542.01","40,995,596.80","42,991,862.98","39,101,447.99","84,870,775.95","70,337,184.27","33,626,866.41","31,678,541.41","40,986,871.36","36,003,229.16"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,"29,626.57",,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"26,449,632.68","12,525,355.53","25,247,346.70","18,730,173.80","16,584,951.65","121,248,342.29","120,262,645.91","92,811,534.71","379,933,524.58","322,491,562.91","358,450,738.54","280,933,488.06","274,236,164.03","175,952,974.96","217,699,128.69","186,574,999.40","221,129,922.22","154,890,519.18","142,143,064.17","89,875,419.50","81,581,788.90","29,366,960.09","76,914,273.85"
其他流动负债,"23,996,647.31","12,496,969.46","24,862,106.37","17,081,936.90","14,997,367.79","262,645.91","262,645.91","4,621,413.14",,,,,,,,,"173,333.34",,"144,444.44",,,,
流动资产合计,"422,087,156.47","576,001,853.82","614,247,176.61","553,728,915.88","1,301,195,158.98","1,328,813,581.33","1,292,374,196.92","1,285,329,882.71","1,243,717,874.73","1,156,540,077.03","1,231,329,010.96","1,160,340,343.94","1,096,617,314.19","1,036,347,361.33","1,017,036,698.85","911,982,896.16","863,013,450.00","931,753,914.23","885,929,976.05","753,255,854.67","715,420,679.75","652,103,166.57","718,728,512.73"
流动负债合计,"103,101,422.73","99,468,023.09","147,924,561.79","114,507,862.74","191,799,211.79","194,550,534.44","172,585,710.32","261,015,759.57","351,848,738.87","364,135,934.28","454,377,118.70","432,316,119.31","442,371,842.86","409,688,806.76","402,191,136.06","289,139,291.52","231,351,791.71","270,518,550.73","248,213,802.24","190,064,306.31","192,603,095.72","247,638,348.50","276,655,081.25"
可供出售金融资产,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","1,302,500.00","1,302,500.00","41,057,380.00","41,057,380.00","41,057,380.00","41,057,380.00","41,057,380.00",
长期借款,,"23,000,000.00",,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,"45,039,100.00",,,,,,,,,,,,,,,
专项应付款,"11,200,000.00","2,419,167.50","775,485.89","369,081.06","369,081.06","369,081.06","369,081.06",,"1,500,000.00",,,,"1,000,000.00",,,,,,,,,,
投资性房地产,,,,,,"3,202,538.07","3,168,097.53","3,133,656.99","3,099,216.45","3,064,775.91","3,030,335.37","2,995,894.83","2,961,454.29","2,927,013.75","2,892,573.21","2,858,132.67","2,823,692.13","2,789,251.59","2,720,370.51","2,720,370.51","2,651,489.43","2,651,489.43","2,582,608.35"
预计负债,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"57,971,499.53","59,543,802.05","65,276,925.87","61,746,402.88","64,181,063.70","60,286,298.55","59,811,791.41","61,740,849.88","65,204,235.32","154,152,703.91","151,818,853.33","156,292,383.20","158,405,696.69","177,459,152.73","173,980,509.38","173,477,338.37","364,301,889.45","367,144,691.65","361,180,020.77","358,959,165.35","359,704,835.98","371,274,889.81","366,212,592.87"
递延所得税负债,,,,,,,,,,,,,,,,,,"7,100,000.00","7,100,000.00","7,100,000.00","7,100,000.00","9,535,688.94","9,535,688.94"
在建工程,"235,000.00","9,061,572.13","41,325,130.76","47,191,580.51","49,295,637.94","62,706,449.75","68,911,621.82","95,071,867.65","124,597,001.73","83,820,405.51","89,403,960.36","109,657,690.61","153,298,027.26","160,182,153.33","186,934,518.91","186,678,843.70","10,413,847.94","833,975.39","6,676,430.51","10,016,423.32","13,443,212.42","16,093,295.40","18,618,031.94"
其他非流动负债,"610,000.00","8,361,115.56","15,868,715.01","11,295,084.85","12,695,084.85",,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,810,000.00","33,780,283.06","16,644,200.90","11,664,165.91","13,064,165.91","13,919,081.06","12,409,081.06","18,134,223.34","16,866,990.35","11,621,138.84","9,871,359.71","11,233,877.93","14,333,877.93","15,140,240.07","15,743,424.12","14,837,274.38","26,659,108.54","33,062,530.67","34,403,780.68","30,867,718.11","31,932,301.48","33,939,240.43","33,346,630.44"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"114,911,422.73","133,248,306.15","164,568,762.69","126,172,028.65","204,863,377.70","208,469,615.50","184,994,791.38","279,149,982.91","368,715,729.22","375,757,073.12","464,248,478.41","443,549,997.24","456,705,720.79","424,829,046.83","417,934,560.18","303,976,565.90","258,010,900.25","303,581,081.40","282,617,582.92","220,932,024.42","224,535,397.20","281,577,588.93","310,001,711.69"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"34,479,184.64","34,479,184.64","34,479,184.64","34,479,184.64","647,424,684.64","647,424,684.64","647,424,684.64","647,424,684.64","647,424,684.64","647,424,684.64","647,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","527,424,684.64","523,334,910.15","523,334,910.16","523,334,910.16"
无形资产,"2,824,999.92","18,330,523.79","17,646,723.24","17,304,822.96","17,133,872.82","16,962,922.68","16,791,972.55","16,621,022.42","17,827,719.22","40,515,897.47","39,661,825.99","39,281,147.09","38,368,033.59","38,714,416.13","40,406,724.10","40,854,015.68","40,614,500.37","73,638,492.39","71,990,101.43","73,693,896.84","74,847,905.15","100,516,151.38","97,960,221.91"
