科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"695,413,673.04","1,045,548,723.31","1,222,017,781.44",,"718,017,671.13","1,025,609,180.93","1,459,776,642.66","412,883,877.48","895,217,803.36","1,246,281,922.68","1,711,263,863.49","412,805,812.49","770,295,635.45","1,236,119,702.22","2,151,859,028.37","658,548,297.86","2,078,680,693.28"
取得子公司及其他营业单位支付的现金净额,,"13,613,066.11",,,,"8,670,000.00","6,718,210.39",,,,,,,,"206,891,478.82",,
收到的税费返还,,,"995,405.24",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"87,702.90",,,,,,,,,,"10,000,000.00",,"3,703,367.59","4,403,367.59","214,670,000.00","1,725,000.00","980,000.00"
收到其他与经营活动有关的现金,"37,498,559.22","31,334,410.12","19,017,091.63",,"42,248,756.25","56,318,526.89","15,309,466.36","1,815,717.61","6,999,480.72","12,710,401.60","16,224,045.81","5,098,158.30","14,780,454.59","34,905,588.33","34,443,695.15","48,198,127.08","29,085,067.07"
投资活动现金流出小计,"3,534,721.28","16,015,805.58","718,078.31",,"6,149,947.34","14,898,966.85","43,078,955.28","12,063,600.00","12,354,760.64","12,628,467.18","23,769,594.55","5,152,091.30","9,033,650.18","253,523,799.68","430,736,591.86","75,195,809.99","249,106,468.22"
经营活动现金流入小计,"732,912,232.26","1,076,883,133.43","1,242,030,278.31",,"760,266,427.38","1,081,927,707.82","1,475,086,109.02","414,699,595.09","902,217,284.08","1,258,992,324.28","1,727,487,909.30","417,903,970.79","785,076,090.04","1,271,025,290.55","2,186,302,723.52","706,746,424.94","2,107,765,760.35"
投资活动产生的现金流量净额,"-3,534,721.28","-16,015,805.58","-716,878.31","-6,078,429.91","-6,149,947.34","-12,947,177.24","-43,077,155.28","-10,742,120.00","-11,032,480.64","-11,306,187.18","-22,060,132.84","-5,092,091.30","-8,077,436.15","-252,527,965.65","-243,611,676.28","-62,965,498.64","-59,501,680.36"
购买商品、接受劳务支付的现金,"594,967,024.09","881,659,996.51","1,011,526,306.88",,"734,185,016.20","1,110,976,702.08","1,544,282,275.58","430,544,183.58","742,427,222.14","1,086,367,091.98","1,449,234,639.89","472,939,438.30","723,098,531.71","1,159,664,699.97","1,904,848,769.79","661,606,828.62","1,926,910,038.46"
吸收投资收到的现金,,,,,"221,548,000.00","221,548,000.00","221,548,000.00",,,,"46,590,830.00",,,,,,
支付给职工以及为职工支付的现金,"38,583,183.53","49,072,559.78","55,854,291.32",,"32,308,040.99","45,772,139.32","59,977,340.20","19,103,469.84","37,212,915.91","56,011,027.23","68,599,848.93","16,935,101.91","33,529,856.76","49,337,492.73","80,936,948.32","26,668,677.98","95,581,279.65"
取得借款收到的现金,,,,,,,,,,,,,,,,"60,019,392.74","59,740,000.00"
支付的各项税费,"33,629,021.15","63,980,078.87","57,441,045.82",,"20,926,925.29","33,746,827.33","37,022,711.54","9,517,530.21","20,469,324.61","26,469,203.70","28,342,619.04","10,029,978.97","17,958,183.49","26,269,522.74","46,909,092.96","16,140,707.39","47,132,829.66"
收到其他与筹资活动有关的现金,,,,,,,,,,,"19,660,447.86",,,,"15,250,000.16",,"114,000,000.00"
支付其他与经营活动有关的现金,"51,830,511.48","41,843,383.74","45,889,360.42",,"34,701,441.86","55,602,642.66","44,097,095.19","10,348,711.05","24,032,849.37","38,882,687.58","58,396,453.01","12,554,247.36","24,089,614.35","47,967,933.33","53,443,264.55","18,849,548.02","36,290,116.06"
筹资活动现金流入小计,,,,,"221,548,000.00","221,548,000.00","221,548,000.00",,,,"66,251,277.86",,,,"15,250,000.16","60,019,392.74","173,740,000.00"
经营活动现金流出小计,"719,009,740.25","1,036,556,018.90","1,170,711,004.44",,"822,121,424.34","1,246,098,311.39","1,685,379,422.51","469,513,894.68","824,142,312.03","1,207,730,010.49","1,604,573,560.87","512,458,766.54","798,676,186.31","1,283,239,648.77","2,086,138,075.62","723,265,762.01","2,105,914,263.83"
偿还债务支付的现金,,,,,,,,,,,,,,,,"25,001,329.17","5,000,000.00"
经营活动产生的现金流量净额,"13,902,492.01","40,327,114.53","71,319,273.87","-86,541,511.40","-61,854,996.96","-164,170,603.57","-210,293,313.49","-54,814,299.59","78,074,972.05","51,262,313.79","122,914,348.43","-94,554,795.75","-13,600,096.27","-12,214,358.22","100,164,647.90","-16,519,337.07","1,851,496.52"
分配股利、利润或偿还利息支付的现金,,,,,,,,,,,,,,"10,031,181.00","25,938,202.53","7,370,469.73","16,703,417.19"
收回投资收到的现金,,,,,,,,,,,,,,,,"10,850,000.00","179,160,000.00"
支付其他与筹资活动有关的现金,,,,,"2,305,600.00","8,785,600.00","8,785,600.00",,,,"962,500.00",,,"818,000.00","13,348,170.00","318,000.00","318,000.00"
取得投资收益收到的现金,,,,,,,,,,,"387,181.71",,"895,414.03","895,414.03","1,247,419.10","1,380,311.35","2,879,587.86"
筹资活动现金流出小计,,,,,"2,305,600.00","8,785,600.00","8,785,600.00",,,,"962,500.00",,,"10,849,181.00","39,286,372.53","32,689,798.90","22,021,417.19"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"1,200.00",,,,"1,800.00",,"1,322,280.00","1,322,280.00","1,322,280.00","60,000.00","60,800.00","100,420.00","100,420.00",,"65,200.00"
筹资活动产生的现金流量净额,,,,,"219,242,400.00","212,762,400.00","212,762,400.00",,,,"65,288,777.86",,,"-10,849,181.00","-24,036,372.37","27,329,593.84","151,718,582.81"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"533,532.41",,"7,500,000.00"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,"1,951,789.61",,"1,321,480.00",,,,,,,"185,243,544.07",,
