科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"219,181,265.55","290,722,549.26","356,846,325.56","160,274,796.93","361,198,444.61","70,718,380.27","150,093,276.88","229,453,659.13","350,903,548.87","112,286,310.79","269,279,435.35","430,339,605.23","656,514,862.43","261,350,596.09","577,680,933.30","789,551,233.04","1,633,569,154.67","261,492,902.85","582,525,265.81","835,011,023.66","1,560,646,697.88","380,309,920.47","705,937,891.01","1,134,719,789.97","1,703,905,967.19","243,584,085.98"
取得子公司及其他营业单位支付的现金净额,"2,608,408.18","1,252,400.00",,,,,,,,,,,,,"59,800,430.00","59,800,430.00","80,137,481.85",,"10,000,000.00","16,155,891.72","43,504,368.88",,"5,000,000.00","5,000,000.00","15,084,283.07","41,680,001.00"
收到的税费返还,"120,506.75","68,813.73","37,645.64","42,437.94","62,090.03","46,586.71","91,355.32","132,336.17","130,748.59","3,210,916.22","5,530,436.10","6,206,070.91","10,762,992.36","2,816,839.27","10,709,987.80","17,334,794.11","23,726,915.28","10,578,235.69","20,042,888.94","25,507,366.99","30,883,230.63","10,692,360.98","20,478,882.28","31,365,483.67","29,718,944.54","6,308,640.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"125,000,000.00",,,,,,,"339,582.00","10,000,000.00",,,"50,000.00",,
收到其他与经营活动有关的现金,"3,645,997.80","7,823,420.31","9,155,241.02","3,477,959.83","8,436,732.15","448,968.20","1,653,662.99","8,021,844.59","8,850,871.21","6,294,820.05","6,824,327.49","9,926,526.21","27,510,711.39","13,482,537.70","35,445,591.00","56,702,158.68","46,849,675.67","6,020,596.51","71,146,048.14","131,934,994.66","78,338,432.32","22,390,924.35","82,166,144.10","52,495,739.69","100,323,868.50","19,294,987.75"
投资活动现金流出小计,"8,633,382.75","17,924,657.26","36,617,065.35","37,995,125.30","58,748,684.91","9,904,596.02","16,215,983.87","29,595,418.66","172,577,921.06","51,096,892.58","83,127,800.53","244,680,285.57","487,188,590.68","148,029,629.09","189,413,448.35","247,799,284.19","476,507,878.96","130,941,090.57","250,732,476.27","283,886,625.60","402,992,297.47","110,339,133.81","156,821,576.62","247,135,317.84","326,179,673.33","198,098,422.36"
经营活动现金流入小计,"222,947,770.10","298,614,783.30","366,039,212.22","163,795,194.70","369,697,266.79","71,213,935.18","151,838,295.19","237,607,839.89","359,885,168.67","121,792,047.06","281,634,198.94","446,472,202.35","694,788,566.18","277,649,973.06","623,836,512.10","863,588,185.83","1,704,145,745.62","278,091,735.05","673,714,202.89","992,453,385.31","1,669,868,360.83","413,393,205.80","808,582,917.39","1,218,581,013.33","1,833,948,780.23","269,187,713.73"
投资活动产生的现金流量净额,"-8,633,382.75","-15,930,457.26","-36,459,565.35","-37,989,118.42","-58,734,570.91","-9,867,913.52","-16,172,251.37","-29,540,666.16","-152,063,869.83","-31,316,769.58","-20,087,800.53","-124,640,285.57","-367,121,840.68","-147,941,581.99","-189,322,976.31","-247,701,312.15","-475,420,236.30","-130,932,156.47","-245,723,542.17","-278,848,445.50","-335,128,459.37","-83,378,661.65","-129,382,204.46","-131,281,696.33","-148,147,997.14","-197,055,860.25"
购买商品、接受劳务支付的现金,"86,880,873.03","107,207,044.31","135,100,831.42","56,405,377.99","117,262,359.06","46,570,478.04","66,570,950.51","90,336,865.76","123,150,131.90","99,780,412.49","152,919,382.13","230,408,125.36","325,340,697.07","163,203,979.65","487,483,373.90","629,682,010.23","1,254,555,549.63","113,843,865.07","310,071,278.57","528,790,417.11","1,122,580,668.92","276,897,032.09","445,547,168.22","727,204,542.11","1,046,886,435.94","159,279,813.15"
吸收投资收到的现金,"678,634.33",,,,,"172,112,384.27","168,271,969.21","168,271,969.21","168,271,969.21","56,499,999.12","56,496,917.27","56,496,917.27","56,496,917.27",,"504,000,000.27","504,000,000.27","504,000,000.27",,,,,,,,,
