科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"106,007,568.01","131,453,127.15","86,775,289.24","155,218,978.04","85,909,318.97","108,529,720.37","204,706,918.33","25,042,566.72","72,467,968.91","126,649,943.06","220,034,640.13","57,087,291.28","117,605,444.24","180,354,822.28","303,251,871.17","66,887,687.89","160,116,923.40","170,294,237.46","410,055,133.60","97,888,689.91","201,263,075.42","305,000,291.08","513,570,969.38","99,406,159.20","216,681,999.67"
二、营业利润,"40,174,444.73","44,907,060.57","16,871,179.99","42,155,047.56","15,602,006.74","17,197,701.03","44,110,118.46","1,199,058.02","9,720,881.63","12,879,486.89","30,216,766.42","1,280,246.88","4,404,866.26","2,449,643.30","15,575,785.97","894,815.07","4,341,481.11","-772,673.05","-21,488,571.43","-10,916,401.90","-13,760,952.18","-8,320,972.78","7,988,438.55","-1,613,754.54","1,444,213.69"
减:营业成本,"35,374,524.20","50,002,412.15","38,805,224.56","68,999,961.42","43,857,258.37","54,469,980.54","102,233,892.56","12,212,392.37","34,673,247.42","65,404,685.62","117,663,695.77","30,841,488.27","61,057,277.75","96,380,816.35","174,916,455.82","37,716,427.43","93,335,918.26","170,294,237.46","269,395,315.74","62,042,230.63","129,758,477.87","184,609,633.85","332,978,955.11","60,247,139.60","135,240,763.20"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,945,399.13","2,592,924.73","261,412.17","450,125.76","295,594.56","399,603.05","556,571.60","86,281.23","199,724.82","352,863.71","703,191.84","107,569.81","346,949.34","569,350.64","1,324,743.47","43,446.72","385,285.60","840,317.76","2,716,983.79","453,624.84","1,180,365.54","2,030,513.71","4,085,530.09","442,318.14","1,418,267.06"
营业外收入,"722,391.24","2,496,640.00","6,871,638.61","9,369,026.98","2,763,932.20","4,362,016.17","6,753,799.52","1,624,303.63","3,639,520.27","7,434,409.14","10,810,971.76","945,732.42","2,372,535.32","7,662,127.15","6,238,190.77","1,390,425.45","1,990,813.73","2,399,440.44","930,993.10","385,391.05","1,649,157.25","3,351,336.20","1,497,527.97","1,418,547.97","1,136,432.12"
销售费用,"3,033,636.60","4,607,122.37","4,170,810.40","6,223,958.62","4,368,059.76","6,140,320.13","9,015,909.60","2,591,174.58","5,307,863.09","8,237,555.34","12,403,018.00","3,986,902.26","8,543,009.20","14,577,644.36","18,663,876.96","3,711,314.50","9,558,698.83","14,947,974.51","24,361,555.35","5,586,423.12","12,133,260.66","18,645,925.67","26,989,972.12","6,448,375.56","13,202,920.29"
减:营业外支出,"17,885.35","59,590.85","10,040.00","10,708.00","76,000.00","76,000.00","114,061.19",,,"4,393.53","26,372.50",,"353,056.75","353,056.75","573,157.54",,"210,000.00","210,000.00","878,333.96","1,531.97","1,830.71","204,313.76","1,054,053.57","101,411.29","184,729.12"
管理费用,"24,254,066.94","31,044,333.28","27,802,159.96","37,958,145.30","21,518,189.52","30,836,332.77","48,781,665.11","10,210,458.48","25,970,171.55","44,033,566.20","66,742,894.60","21,426,044.81","44,740,857.47","68,275,214.49","96,357,190.32","24,399,064.17","49,386,244.57","81,723,059.74","115,062,370.52","38,227,163.40","66,155,498.67","99,068,380.06","134,663,268.58","31,360,411.52","61,891,336.81"
其中:非流动资产处置净损失,,,,,,,"38,061.19",,,,"1,978.97",,,,"3,157.54",,,,,,,,,,
