科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
货币资金,"1,808,810.30","2,125,393.49","828,391.04","7,861,231.33","3,408,883.03","3,153,211.60","2,487,217.98","5,319,917.20","3,799,753.08","28,373,284.48","7,343,414.32","41,204,761.00","36,637,524.69","80,832,277.13","78,822,726.31","90,903,754.49","36,543,706.76","29,465,413.45","33,732,516.34","77,887,604.32","26,776,363.19","20,574,589.85","14,881,167.24","14,453,085.08","8,799,731.07","72,265,817.72","104,112,174.70","73,395,163.53","55,158,299.46","15,696,593.34","19,241,417.08","11,430,647.58","8,645,008.11","6,331,551.04","7,605,672.91","121,352,877.97","91,336,715.24","33,938,247.96","27,251,136.85","40,859,550.89","26,794,150.74"
短期借款,"3,000,000.00","2,900,000.00","2,850,000.00","2,800,000.00","2,750,000.00","2,750,000.00","2,750,000.00","2,750,000.00","2,750,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,"285,000.00","285,000.00",,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"8,619,237.75","11,243,902.54","12,577,194.83","15,524,674.32","16,966,887.08","16,338,021.56","17,920,652.38","19,782,556.33","18,696,122.90","19,659,364.69","23,530,135.21","10,339,679.95","12,054,293.43","11,064,044.00","10,841,601.10","13,024,986.46","11,993,308.02","9,604,040.10","10,250,547.44","10,890,701.65","10,195,551.97","11,446,047.37","12,124,794.46","13,156,483.75","13,390,175.18","15,521,125.15","16,656,021.21","7,246,659.37","14,418,744.48","17,990,726.39","14,712,548.92","7,697,997.92","7,182,655.18","8,085,499.74","8,539,209.16","2,881,636.27","7,531,176.09","7,322,659.67","11,735,732.98","9,779,771.55","10,063,609.48"
应付账款,"3,080,769.52","3,072,266.42","3,847,821.86","2,268,764.80","1,492,909.04","2,186,463.38","2,595,100.76","1,812,223.45","2,065,539.22","3,485,856.16","3,550,730.35","3,512,994.53","3,811,205.48","3,793,179.27","3,470,001.57","4,140,953.80","3,173,614.53","3,081,345.33","3,112,482.53","3,101,814.37","2,704,909.32","2,880,566.68","2,986,309.53","2,955,743.60","2,608,383.55","2,621,650.81","2,730,265.51","3,346,579.05","1,863,816.15","2,920,568.11","2,078,036.90","2,298,568.62","1,835,410.14","1,438,836.34","1,874,503.60","1,349,068.05","2,291,040.21","2,866,740.80","3,753,037.38","5,496,065.01","4,137,306.36"
预付款项,"8,072,998.48","8,130,375.77","8,266,013.21","8,030,260.38","8,402,577.81","8,222,758.81","402,116.00","150,000.00","579,486.50","299,850.00","413,646.70","227,593.40","230,593.40","380,785.46","1,128,022.78","255,022.53","358,828.59","7,941,449.81","7,014,216.88","532,650.00","823,910.00","608,050.00","227,400.00","171,200.00","60,200.00","49,733.00","290,144.00","61,267.00","147,034.00","355,911.00","121,801.00","46,858.00","76,954.00","134,333.00","81,974.00",,"201,833.55","6,680,164.11","488,260.49","2,748,658.04","1,852,026.07"
预收款项,"229,166.66","166,666.64","10,104,166.62","10,449,312.03","10,132,766.59","20,043,166.58","3,635,766.57","435,628.68","137,349.88","46,499.86","137,849.84","491,824.81","137,974.81","407,278.47","137,058.14","266,500.34","139,016.47","343,497.23","117,666.76","491,721.40","122,687.58","366,087.97","147,187.56","966,285.84","158,484.42","10,605,936.66","9,045,010.83","872,643.75","164,571.12","1,021,325.03","391,342.62","6,987,825.19","7,184,323.61","6,752,499.64","6,029,999.72",,,"243,093.33",,"258,886.69","389,320.07"
